Номер;Код;Тема;Анализ
11;A11;Numerali | ora | data;Время и дата как тренировка падежной упаковки через предлоги: a mezzogianno (точка) di lunedì (повторяемость) in estate (период) nel 2024 (внутренность). Студент должен усвоить что каждая временная точка требует своей предлоговой «упаковки» несущей падежный оттенок.
12;A12;Avverbi di frequenza | quantità | базовая отрицательность;non...mai и non...più как логические расширения контраста sempre ↔ mai — базовые A1-паттерны без которых речь искусственно позитивная. Студент должен осознать что частотные наречия занимают фиксированные позиции в предложении а отрицание частотности — это продолжение шкалы частотности.
13;A13;Comparativi e Superlativi;Сравнение как падежное отношение где di = genitiv comparationis (больше КОГО) — прямая параллель с A09 (un libro di Marco). Студент должен различать di после сущ./местоим. и che после прил./глаг./двух свойств через падежный анализ не на слух.
14;A14;Verbi Modali (только чистый инфинитив);Студент учит выражать отношение к действию через модальные глаголы + чистый инфинитив без местоимений. Ключевой методологический момент: жёсткое ограничение — только простые конструкции (voglio mangiare), чтобы не смешивать с возвратными местоимениями (B13) и clitici (B16).
15;A15;Condizionale di cortesia (узко);Студент осваивает готовые формулы вежливости для мягких просьб без изучения полной парадигмы. Ключевой момент: функциональный подход — учим не грамматику условного наклонения, а конкретные высокочастотные выражения для коммуникации.
16;A16;Imperativo (tu/voi/noi/Lei);Студент учит прямое побуждение к действию через повелительное наклонение в разных адресных формах. Ключевой методологический момент: Lei-форма императива служит первым практическим «следом» Congiuntivo, подготавливая почву для B25, но без теории.
17;B01;Imperfetto;Студент учит описывать фон и привычки в прошлом через камеру Imperfetto. Ключевой момент: сначала определить функцию (привычка/состояние/фон), не переводя через русский вид; английский якорь used to/was doing помогает концептуализации.
18;B02;Participio Passato;Студент осваивает итальянский V3 — строительный блок для всех сложных времён курса. Ключевой методологический момент: это инвестиция в весь блок B и C, поэтому неправильные participi (fatto/detto/visto) нужно заучить надёжно как базу для будущих конструкций.
19;B03;Passato Prossimo con Avere;Студент учит выражать завершённые действия с результатом через avoir + participio. Ключевой момент: почти точное совпадение с английским present perfect позволяет использовать существующую ментальную схему; конструкция non...ancora логично закрепляется здесь.
20;B04;Passato Prossimo con Essere;Студент распространяет правило Passato Prossimo на глаголы движения и изменения состояния с согласованием participio. Ключевой методологический момент: системная тренировка рода/числа (lui è arrivato/lei è arrivata), при этом возвратные глаголы сознательно отложены до B13.
21;B05;PP vs Imperfetto;Контраст фона и события: Imperfetto как «камера» (готовил, когда позвонили), Passato Prossimo как «вспышка». Студент учится видеть нарративную логику через маркеры mentre и когда, избегая ложных друзей из русского вида глагола.
22;B06;Trapassato Prossimo;Предпрошедшее время из Imperfetto вспомогательного + Participio passato. Логика хронологии: когда я пришёл (PP), он уже ушёл (Trapassato). Полное совпадение с английским past perfect позволяет студенту конструировать форму самостоятельно.
23;B07;Futuro Semplice;Будущее время с регулярными и 9 неправильными формами. Критически важна двойная функция: чистое будущее + предположение в настоящем (Saranno le tre). Понимание последнего необходимо для будущего Futuro Anteriore.
24;B08;Futuro Anteriore;Будущее совершенное из avrò/sarò + participio. Двойная функция: завершённость к точке в будущем + предположение о прошлом. Собирается из известных блоков (Futuro + Participio) без усложнения условными конструкциями.
25;B09;Condizionale Semplice;Полная парадигма условного наклонения: основа от Futuro, окончания от Imperfetto. Студент конструирует форму самостоятельно. Функции: гипотеза, вежливость, мягкие утверждения — прямой перенос английского would.
26;B10;Condizionale Composto;Сложное условное наклонение из avrei/serei + participio. Критическая точка для русскоязычных: «будущее в прошлом» = Condizionale Composto, НЕ Imperfetto. Английский якорь would have предотвращает ошибку he said that he would come.
27;B11;Pronomi Diretti;Прямые объектные местоимения как свёрнутый винительный падеж. Логика замены: vedo il libro → lo vedo. Обязательное согласование participio с lo/la/li/le — ключевое отличие от русского порядка слов.
28;B12;Pronomi Indiretti;Урок вводит свёрнутый дательный падеж через местоимения mi/ti/gli/le/ci/vi/gli, которые заменяют дополнение с предлогом a. Ключевой момент — понять, что предлог a «схлопывается» в местоимение при глаголах типа dire/parlare/scrivere/telefonare.
29;B13;Verbi Riflessivi;Урок объясняет механику возвратных глаголов, где субъект и объект совпадают, с местоимениями mi/ti/si/ci/vi/si и обязательным essere в прошедшем времени с согласованием. Ключевой момент — двойная конструкция с модальными глаголами из A14: devo alzarmi/mi devo alzare.
30;B14;Ci e Ne;Урок вводит две свёртки: ci как место и ne как родительный падеж, через падежный диагноз без абстрактной теории. Ключевой момент — понимать «туда» как ci и «из них/об этом» как ne, опираясь на падежные отношения.
31;B15;Pronomi Combinati;Урок собирает все предыдущие свёртки в комбинированные местоимения типа me lo/te lo/glielo/ce lo/ve lo по математической механике слияния. Ключевой момент — понять каждый элемент конструкции: te lo dico = a te + la cosa + dico.
32;B16;Местоимения с modali/imperativo/infinito/gerundio;Финальная сборка местоимений со всеми типами глагольных форм: модальные, герундий, императив с правилами расположения. Ключевой момент — осознанный выбор позиции: местоимение примыкает к инфинитиву/герундию/утвердительному императиву или стоит перед спрягаемым глаголом.
33;B17;Stare + Gerundio;Урок вводит конструкцию sto mangiando/sta facendo для выражения процесса «прямо сейчас» по аналогии с английским Present Continuous. Ключевой момент — жёстко ограничить значением актуального процесса и показать анти-примеры: domani incontro Marco, а не sto incontrando Marco domani.
34;B18;Gerundio: другие функции + Gerundio Passato;Урок расширяет герундий за пределы прогрессива до свёрнутого придаточного с временным/причинным/модальным значением и вводит Gerundio Passato. Ключевой момент — понять герундий как инструмент письменной речи для сжатия придаточного при совпадении субъектов.
35;B19;Infinito Passato;Инфинитив прошедшего времени как свёрнутое временное придаточное: aver fatto / essere andato выражает действие, завершённое к моменту речи. Используется после dopo, prima di, per. Ключевой момент — сборка конструкции из знакомого participio passato и вспомогательных глаголов avere/essere.
36;B20;Participio Assoluto;Абсолютный причастный оборот с собственным подлежащим: Finita la cena, siamo usciti. Participio согласовывается с собственным существительным, а не с подлежащим главного предложения. Ключевой момент — разграничение с Gerundio Passato по субъекту и письменный/литературный регистр конструкции.
37;B21;Negazione estesa;Расширение системы отрицания за пределы базового non и non...mai/più/ancora: non...niente, non...nessuno, né...né, non...affatto. Двойное отрицание в итальянском усиливает, а не отменяет отрицание. Ключевой момент — работа с парами контрастных маркеров и понимание отличной от английской логики усиления.
38;B22;Pronomi Relativi;Относительные местоимения как инструмент связки предложений через падежный диагноз: che без предлога, cui с предлогом по падежной функции (a cui — дат., di cui — род.). Ключевой момент — анализ функции местоимения в предложении, а не механический перевод слова «который».
39;B23;Forma Passiva e Si;Пассив как падежная перестановка: объект становится подлежащим, исполнитель уходит в da, essere + participio во всех временах. Разграничение si passivante (si parlano le lingue) и si impersonale (si parla italiano). Ключевой момент — сборка из знакомых элементов с новой функцией.
40;B24;Connettivi testuali базовые;Текстовые связки для построения связного высказывания: поэтому, следовательно, наоборот, тем не менее, кроме того. Без коннекторов невозможна связная речь уровня B2. Ключевой момент — тренировка через мини-тексты и контекст.
41;B25;Congiuntivo Presente: концепция;Введение в сослагательное наклонение как способ выражения субъективного отношения, мнения или сомнения, в отличие от Indicativo для фактов. Студент учится осознанно выбирать наклонение через диагноз «я утверждаю факт или выражаю отношение?».
42;B26;Congiuntivo Presente: irregolari;Освоение ключевых неправильных форм Congiuntivo (sia/abbia/faccia/vada/venga/possa/voglia/debba/dia/stia/sappia) в живой формуле che + глагол. Студент проговаривает конструкции типа «Voglio che tu venga» через механику «хочу + чтобы + сделал».
43;B27;Congiuntivo Imperfetto;Изучение прошедшей формы сослагательного наклонения на основе знакомых прошедших основ (parlassi/facessi/fossi/avessi/dessi/stessi) с правилом согласования времён. Студент понимает: главное предложение в прошлом (Credevo) автоматически требует зависимое в Congiuntivo Imperfetto (che fosse).
44;C01;Congiuntivo Trapassato;Сборка сложной формы из avessi/fossi + participio passato как комбинации изученных блоков (Congiuntivo Imperfetto + причастие). Студент видит ничего нового в структуре, осваивает применение в нереальных условиях прошлого и согласовании времён.
45;C02;Periodo Ipotetico: 3 типа;Квинтэссенция грамматических блоков: три типа условных предложений от реального (Se piove → resto) до нереального в прошедшем (Se avessi saputo → sarei venuto). Студент осознанно подставляет уже изученные конструкции в формулу условия-следствия.
46;C03;Periodo ipotetico misto;Выход за рамки трёх чистых типов C02 к смешению времён: условие в прошлом с следствием в настоящем, или наоборот. Студент учится хронологическому анализу — определять время условия и следствия отдельно.
47;C04;Discorso Indiretto: главное в настоящем;Введение в косвенную речь с минимальным согласованием времён — главное предложение в настоящем, поэтому зависимое остаётся в Congiuntivo Presente/Passato. Ключевой навык — преобразование прямых местоимений и обстоятельств (io→lui/lei, oggi→quel giorno, qui→lì).
48;C05;Discorso Indiretto: главное в прошлом;Полная система согласования времён для косвенной речи: Pres→Imp, PP→Trap.Pross, Fut→Cond.Composto (критический момент — «будущее в прошлом» через Condizionale Composto). Студент должен освоить сдвиг обстоятельств — типовая зона ошибок русскоязычных.
49;C06;Concordanza dei tempi (Congiuntivo);Систематизация выбора времени Congiuntivo в зависимых предложениях через хронологическую логику: одновременность/будущее относительно главного требуют Cong. Pres./Imp., предшествование — Cong. Passato/Trapassato.
50;C07;Passato Remoto: рецептивно;Литературное простое прошедшее для чтения классики (Кальвино, Эко, Пиранделло) и южной прессы — узнавание ключевых неправильных форм (fece, disse, andò, ebbe, fu, nacque, morì). Только пассивное распознавание без активного воспроизведения.
51;C08;Passato Remoto: продуктивно (опц. C2);Полная парадигма Passato Remoto для активного использования в письменной речи и сторителлинга — опциональный модуль для C1→C2. Не обязателен для базового уровня, актуален при написании художественных текстов или проживании на юге Италии.
52;C09;Trapassato Remoto;Предпрошедшее литературное время (ebbe fatto, fu andato) используется только после quando/appena/dopo che + Passato Remoto — исключительно рецептивно для чтения. Конструируется из Passato Remoto вспомогательного глагола + participio passato.
53;C10;Si passivante avanzato;Продвинутые конструкции с si: безличное в сложных временах (Si è parlato di — ВСЕГДА essere), двойное si (Ci si sveglia), согласование participio в si passivante с подразумеваемым объектом. Двойное si — типичная зона ошибок.
54;C11;Forma passiva: venire e andare;Альтернативные пассивные конструкции с venire (процесс/динамика) и andare (долженствование). Студент учится различать оттенки смысла: stato = факт, venire = процесс, andare = необходимость, вместо механической замены на essere.
55;C12;Stare per + infinito / Stare + gerundio в прошлом;Расширение конструкции stare за пределы настоящего времени: stare per = «быть на грани» (was about to) в любом времени, stare + gerundio = длительный процесс в прошлом. Студент понимает универсальные паттерны темпоральной организации.
56;C13;Verbi pronominali idiomatici;Свертки типа farcela/andarsene/cavarsela/volerci/metterci как сборка знакомых элементов (ci/ne/la + verbo). Студент осваивает декодирование через морфологический разбор, а не зубрёжку «новых слов».
57;C14;Connettivi avanzati;Продвинутые связки (nondimeno/pertanto/ciononostante/qualora/purché/affinché) для письменной речи уровня C1+. Многие коннекторы автоматически требуют Congiuntivo — это готовит связку со следующим уроком.
58;C15;Congiuntivo dopo congiunzioni;Союзы, автоматически запускающие Congiuntivo: prima che/senza che/a meno che/purché/benché/sebbene/affinché/qualora/come se. Ключевое понимание: Congiuntivo = маркер нефактичности, которую эти союзы и вводят.
59;C16;Alterati: diminutivi e accrescitivi;Морфологическая упаковка оттенка: -ino/-etto/-ello (уменьшительные), -one (увеличительное), -accio (пейоративное), -uccio (ласковое). Студент учится узнавать стилистические нюансы и понимает устойчивые сочетания.
60;C17;Registri: formale scritto / parlato colloquiale;Гибкость регистра — ключевой навык C1+: одно содержание в трёх вариантах (формальный/нейтральный/разговорный). Студент осваивает разные синтаксис, лексику и обращения: от бюрократического Le scrivo per до разговорных dai/mica/boh/tipo.
61;C18;Idiomatica e collocazioni;Системные коллокации для C1+: fare il punto, prendere atto, mettere a fuoco, avere a che fare con, dare per scontato. Студент учится узнавать паттерны построения с 5 ключевыми глаголами (fare/dare/prendere/mettere/avere), формирующими 80% идиоматики.
62;C19;Мета-карта: русские падежи → итальянские конструкции;Финальная систематизация: каждый русский падеж → ВСЕ его итальянские упаковки (предлог, позиция, местоимения, ci/ne, относительные, пассив). Студент видит, что курс собрал ПОЛНУЮ падежную систему, просто упакованную иначе.
63;C20;Stile: parafrasi | sinonimia | riformulazione;Ключевой навык C2: студент берёт одну мысль и упаковывает её 5-7 способами через осознанный выбор конструкции (актив↔пассив, сущ.↔глагол, прямая↔косвенная речь). Это итоговая интеграция всего курса: грамматика становится инструментом стиля.
