Verb Conjugation Drill Italian
RU;IT;Verb;Tense;Group;Rank
мы бы были осведомлены (essere consapevole);Noi saremmo consapevoli.;essere;Condizionale Presente;irregular_unique;1
вы бы были осведомлены (essere consapevole);Voi sareste consapevoli.;essere;Condizionale Presente;irregular_unique;1
они бы были осведомлены (essere consapevole);Loro sarebbero consapevoli.;essere;Condizionale Presente;irregular_unique;1
я был бы осведомлен (essere consapevole);Io sarei stato consapevole.;essere;Condizionale Passato;irregular_unique;1
ты был бы осведомлен (essere consapevole);Tu saresti stato consapevole.;essere;Condizionale Passato;irregular_unique;1
он был бы осведомлен (essere consapevole);Lui sarebbe stato consapevole.;essere;Condizionale Passato;irregular_unique;1
она была бы осведомлена (essere consapevole);Lei sarebbe stata consapevole.;essere;Condizionale Passato;irregular_unique;1
мы были бы осведомлены (essere consapevole);Noi saremmo stati consapevoli.;essere;Condizionale Passato;irregular_unique;1
вы были бы осведомлены (essere consapevole);Voi sareste stati consapevoli.;essere;Condizionale Passato;irregular_unique;1
они были бы осведомлены (essere consapevole);Loro sarebbero stati consapevoli.;essere;Condizionale Passato;irregular_unique;1
он хочет, чтобы я был осведомлен (essere consapevole);Lui vuole che io sia consapevole.;essere;Congiuntivo Presente;irregular_unique;1
она хочет, чтобы ты был осведомлен (essere consapevole);Lei vuole che tu sia consapevole.;essere;Congiuntivo Presente;irregular_unique;1
я думаю, что он осведомлен (essere consapevole);Io penso che lui sia consapevole.;essere;Congiuntivo Presente;irregular_unique;1
мы думаем, что она осведомлена (essere consapevole);Noi pensiamo che lei sia consapevole.;essere;Congiuntivo Presente;irregular_unique;1
ты думаешь, чтобы мы были осведомлены (essere consapevole);Tu pensi che noi siamo consapevoli.;essere;Congiuntivo Presente;irregular_unique;1
я думаю, что вы осведомлены (essere consapevole);Io penso che voi siate consapevoli.;essere;Congiuntivo Presente;irregular_unique;1
он хочет, чтобы они были осведомлены (essere consapevole);Lui vuole che loro siano consapevoli.;essere;Congiuntivo Presente;irregular_unique;1
она хотела, чтобы я был осведомлен (essere consapevole);Lei voleva che io fossi consapevole.;essere;Congiuntivo Imperfetto;irregular_unique;1
он думал, чтобы ты был осведомлен (essere consapevole);Lui pensava che tu fossi consapevole.;essere;Congiuntivo Imperfetto;irregular_unique;1
я верил, что он был осведомлен (essere consapevole);Io credevo che lui fosse consapevole.;essere;Congiuntivo Imperfetto;irregular_unique;1
мы надеялись, что она была осведомлена (essere consapevole);Noi speravamo che lei fosse consapevole.;essere;Congiuntivo Imperfetto;irregular_unique;1
вы хотели, чтобы мы были осведомлены (essere consapevole);Voi volevate che noi fossimo consapevoli.;essere;Congiuntivo Imperfetto;irregular_unique;1
они думали, чтобы вы были осведомлены (essere consapevole);Loro pensavano che voi foste consapevoli.;essere;Congiuntivo Imperfetto;irregular_unique;1
я верил, что они были осведомлены (essere consapevole);Io credevo che loro fossero consapevoli.;essere;Congiuntivo Imperfetto;irregular_unique;1
он думает, что я уже был в курсе (essere consapevole);Lui pensa che io sia stato consapevole.;essere;Congiuntivo Passato;irregular_unique;1
она надеется, что ты уже был в курсе (essere consapevole);Lei spera che tu sia stato consapevole.;essere;Congiuntivo Passato;irregular_unique;1
я думаю, что он уже был в курсе (essere consapevole);Io penso che lui sia stato consapevole.;essere;Congiuntivo Passato;irregular_unique;1
мы верим, что она уже была в курсе (essere consapevole);Noi crediamo che lei sia stata consapevole.;essere;Congiuntivo Passato;irregular_unique;1
вы сомневаетесь, что мы уже были в курсе (essere consapevole);Voi dubitate che noi siamo stati consapevoli.;essere;Congiuntivo Passato;irregular_unique;1
они полагают, что вы уже были в курсе (essere consapevole);Loro suppongono che voi siate stati consapevoli.;essere;Congiuntivo Passato;irregular_unique;1
я верю, что они уже были в курсе (essere consapevole);Io credo che loro siano stati consapevoli.;essere;Congiuntivo Passato;irregular_unique;1
я способный (essere capace);Io sono capace.;essere;Presente;irregular_unique;1
ты способный (essere capace);Tu sei capace.;essere;Presente;irregular_unique;1
он способный (essere capace);Lui è capace.;essere;Presente;irregular_unique;1
она способная (essere capace);Lei è capace.;essere;Presente;irregular_unique;1
мы способные (essere capace);Noi siamo capaci.;essere;Presente;irregular_unique;1
вы способные (essere capace);Voi siete capaci.;essere;Presente;irregular_unique;1
они способные (essere capace);Loro sono capaci.;essere;Presente;irregular_unique;1
я был способным (essere capace);Io ero capace.;essere;Imperfetto;irregular_unique;1
ты был способным (essere capace);Tu eri capace.;essere;Imperfetto;irregular_unique;1
он был способным (essere capace);Lui era capace.;essere;Imperfetto;irregular_unique;1
она была способной (essere capace);Lei era capace.;essere;Imperfetto;irregular_unique;1
мы были способными (essere capace);Noi eravamo capaci.;essere;Imperfetto;irregular_unique;1
вы были способными (essere capace);Voi eravate capaci.;essere;Imperfetto;irregular_unique;1
они были способными (essere capace);Loro erano capaci.;essere;Imperfetto;irregular_unique;1
я был способным (essere capace);Io fui capace.;essere;Passato Remoto;irregular_unique;1
ты был способным (essere capace);Tu fosti capace.;essere;Passato Remoto;irregular_unique;1
он был способным (essere capace);Lui fu capace.;essere;Passato Remoto;irregular_unique;1
она была способной (essere capace);Lei fu capace.;essere;Passato Remoto;irregular_unique;1
мы были способными (essere capace);Noi fummo capaci.;essere;Passato Remoto;irregular_unique;1
вы были способными (essere capace);Voi foste capaci.;essere;Passato Remoto;irregular_unique;1
они были способными (essere capace);Loro furono capaci.;essere;Passato Remoto;irregular_unique;1
я был способным (essere capace);Io sono stato capace.;essere;Passato Prossimo;irregular_unique;1
ты был способным (essere capace);Tu sei stato capace.;essere;Passato Prossimo;irregular_unique;1
он был способным (essere capace);Lui è stato capace.;essere;Passato Prossimo;irregular_unique;1
она была способной (essere capace);Lei è stata capace.;essere;Passato Prossimo;irregular_unique;1
мы были способными (essere capace);Noi siamo stati capaci.;essere;Passato Prossimo;irregular_unique;1
вы были способными (essere capace);Voi siete stati capaci.;essere;Passato Prossimo;irregular_unique;1
они были способными (essere capace);Loro sono stati capaci.;essere;Passato Prossimo;irregular_unique;1
я уже был способен (essere capace);Io ero stato capace.;essere;Trapassato Prossimo;irregular_unique;1
ты уже был способен (essere capace);Tu eri stato capace.;essere;Trapassato Prossimo;irregular_unique;1
он уже был способен (essere capace);Lui era stato capace.;essere;Trapassato Prossimo;irregular_unique;1
она уже была способна (essere capace);Lei era stata capace.;essere;Trapassato Prossimo;irregular_unique;1
мы уже были способны (essere capace);Noi eravamo stati capaci.;essere;Trapassato Prossimo;irregular_unique;1
вы уже были способны (essere capace);Voi eravate stati capaci.;essere;Trapassato Prossimo;irregular_unique;1
они уже были способны (essere capace);Loro erano stati capaci.;essere;Trapassato Prossimo;irregular_unique;1
я буду способным (essere capace);Io sarò capace.;essere;Futuro Semplice;irregular_unique;1
ты будешь способным (essere capace);Tu sarai capace.;essere;Futuro Semplice;irregular_unique;1
он будет способным (essere capace);Lui sarà capace.;essere;Futuro Semplice;irregular_unique;1
она будет способной (essere capace);Lei sarà capace.;essere;Futuro Semplice;irregular_unique;1
мы будем способными (essere capace);Noi saremo capaci.;essere;Futuro Semplice;irregular_unique;1
вы будете способными (essere capace);Voi sarete capaci.;essere;Futuro Semplice;irregular_unique;1
они будут способными (essere capace);Loro saranno capaci.;essere;Futuro Semplice;irregular_unique;1
я буду способен (essere capace);Io sarò stato capace.;essere;Futuro Anteriore;irregular_unique;1
ты будешь способен (essere capace);Tu sarai stato capace.;essere;Futuro Anteriore;irregular_unique;1
он будет способен (essere capace);Lui sarà stato capace.;essere;Futuro Anteriore;irregular_unique;1
она будет способна (essere capace);Lei sarà stata capace.;essere;Futuro Anteriore;irregular_unique;1
мы будем способны (essere capace);Noi saremo stati capaci.;essere;Futuro Anteriore;irregular_unique;1
вы будете способны (essere capace);Voi sarete stati capaci.;essere;Futuro Anteriore;irregular_unique;1
они будут способны (essere capace);Loro saranno stati capaci.;essere;Futuro Anteriore;irregular_unique;1
я был бы способным (essere capace);Io sarei capace.;essere;Condizionale Presente;irregular_unique;1
ты был бы способным (essere capace);Tu saresti capace.;essere;Condizionale Presente;irregular_unique;1
он был бы способным (essere capace);Lui sarebbe capace.;essere;Condizionale Presente;irregular_unique;1
она была бы способной (essere capace);Lei sarebbe capace.;essere;Condizionale Presente;irregular_unique;1
мы были бы способными (essere capace);Noi saremmo capaci.;essere;Condizionale Presente;irregular_unique;1
вы были бы способными (essere capace);Voi sareste capaci.;essere;Condizionale Presente;irregular_unique;1
они были бы способными (essere capace);Loro sarebbero capaci.;essere;Condizionale Presente;irregular_unique;1
я бы был способным (essere capace);Io sarei stato capace.;essere;Condizionale Passato;irregular_unique;1
ты бы был способным (essere capace);Tu saresti stato capace.;essere;Condizionale Passato;irregular_unique;1
он бы был способным (essere capace);Lui sarebbe stato capace.;essere;Condizionale Passato;irregular_unique;1
она бы была способной (essere capace);Lei sarebbe stata capace.;essere;Condizionale Passato;irregular_unique;1
мы бы были способными (essere capace);Noi saremmo stati capaci.;essere;Condizionale Passato;irregular_unique;1
вы бы были способными (essere capace);Voi sareste stati capaci.;essere;Condizionale Passato;irregular_unique;1
они бы были способными (essere capace);Loro sarebbero stati capaci.;essere;Condizionale Passato;irregular_unique;1
она хочет, чтобы я был способным (essere capace);Lei vuole che io sia capace.;essere;Congiuntivo Presente;irregular_unique;1
он надеется, что ты будешь способным (essere capace);Lui spera che tu sia capace.;essere;Congiuntivo Presente;irregular_unique;1
я думаю, что он будет способным (essere capace);Io penso che lui sia capace.;essere;Congiuntivo Presente;irregular_unique;1
мы верим, что она будет способной (essere capace);Noi crediamo che lei sia capace.;essere;Congiuntivo Presente;irregular_unique;1
вы думаете, что мы будем способными (essere capace);Voi pensate che noi siamo capaci.;essere;Congiuntivo Presente;irregular_unique;1
они надеются, что вы будете способными (essere capace);Loro sperano che voi siate capaci.;essere;Congiuntivo Presente;irregular_unique;1
я думаю, что они будут способными (essere capace);Io penso che loro siano capaci.;essere;Congiuntivo Presente;irregular_unique;1
он думал, чтобы я был способным (essere capace);Lui pensavo che io fossi capace.;essere;Congiuntivo Imperfetto;irregular_unique;1
она хотела, чтобы ты был способным (essere capace);Lei voleva che tu fossi capace.;essere;Congiuntivo Imperfetto;irregular_unique;1
я верил, что он будет способным (essere capace);Io credevo che lui fosse capace.;essere;Congiuntivo Imperfetto;irregular_unique;1
мы надеялись, что она будет способной (essere capace);Noi speravamo che lei fosse capace.;essere;Congiuntivo Imperfetto;irregular_unique;1
они думали, чтобы мы были способными (essere capace);Loro pensavano che noi fossimo capaci.;essere;Congiuntivo Imperfetto;irregular_unique;1
я верил, что вы будете способными (essere capace);Io credevo che voi foste capaci.;essere;Congiuntivo Imperfetto;irregular_unique;1
она хотела, чтобы они были способными (essere capace);Lei voleva che loro fossero capaci.;essere;Congiuntivo Imperfetto;irregular_unique;1
она думает, что я уже был способным (essere capace);Lei pensa che io sia stato capace.;essere;Congiuntivo Passato;irregular_unique;1
он надеется, что ты уже был способным (essere capace);Lui spera che tu sia stato capace.;essere;Congiuntivo Passato;irregular_unique;1
я верю, что он уже был способным (essere capace);Io credo che lui sia stato capace.;essere;Congiuntivo Passato;irregular_unique;1
мы сомневаемся, что она уже была способной (essere capace);Noi dubitiamo che lei sia stata capace.;essere;Congiuntivo Passato;irregular_unique;1
вы полагаете, что мы уже были способными (essere capace);Voi supponete che noi siamo stati capaci.;essere;Congiuntivo Passato;irregular_unique;1
они думают, что вы уже были способными (essere capace);Loro pensano che voi siate stati capaci.;essere;Congiuntivo Passato;irregular_unique;1
я верю, что они уже были способными (essere capace);Io credo che loro siano stati capaci.;essere;Congiuntivo Passato;irregular_unique;1
я счастливый (felice);Io sono felice.;essere;Presente;irregular_unique;1
ты счастливый (felice);Tu sei felice.;essere;Presente;irregular_unique;1
он счастливый (felice);Lui è felice.;essere;Presente;irregular_unique;1
она счастливая (felice);Lei è felice.;essere;Presente;irregular_unique;1
мы счастливые (felice);Noi siamo felici.;essere;Presente;irregular_unique;1
вы счастливые (felice);Voi siete felici.;essere;Presente;irregular_unique;1
они счастливые (felice);Loro sono felici.;essere;Presente;irregular_unique;1
я был счастливым (essere felice);Io ero felice.;essere;Imperfetto;irregular_unique;1
ты был счастливым (essere felice);Tu eri felice.;essere;Imperfetto;irregular_unique;1
он был счастливым (essere felice);Lui era felice.;essere;Imperfetto;irregular_unique;1
она была счастливой (essere felice);Lei era felice.;essere;Imperfetto;irregular_unique;1
мы были счастливыми (essere felice);Noi eravamo felici.;essere;Imperfetto;irregular_unique;1
вы были счастливыми (essere felice);Voi eravate felici.;essere;Imperfetto;irregular_unique;1
они были счастливыми (essere felice);Loro erano felici.;essere;Imperfetto;irregular_unique;1
я был счастлив (essere felice);Io fui felice.;essere;Passato Remoto;irregular_unique;1
ты был счастлив (essere felice);Tu fosti felice.;essere;Passato Remoto;irregular_unique;1
он был счастлив (essere felice);Lui fu felice.;essere;Passato Remoto;irregular_unique;1
она была счастлива (essere felice);Lei fu felice.;essere;Passato Remoto;irregular_unique;1
мы были счастливы (essere felice);Noi fummo felici.;essere;Passato Remoto;irregular_unique;1
вы были счастливы (essere felice);Voi foste felici.;essere;Passato Remoto;irregular_unique;1
они были счастливы (essere felice);Loro furono felici.;essere;Passato Remoto;irregular_unique;1
я был счастливым (essere felice);Io sono stato felice.;essere;Passato Prossimo;irregular_unique;1
ты был счастливым (essere felice);Tu sei stato felice.;essere;Passato Prossimo;irregular_unique;1
он был счастливым (essere felice);Lui è stato felice.;essere;Passato Prossimo;irregular_unique;1
она была счастливой (essere felice);Lei è stata felice.;essere;Passato Prossimo;irregular_unique;1
мы были счастливыми (essere felice);Noi siamo stati felici.;essere;Passato Prossimo;irregular_unique;1
вы были счастливыми (essere felice);Voi siete stati felici.;essere;Passato Prossimo;irregular_unique;1
они были счастливыми (essere felice);Loro sono stati felici.;essere;Passato Prossimo;irregular_unique;1
я уже был счастлив (essere felice);Io ero stato felice.;essere;Trapassato Prossimo;irregular_unique;1
ты уже был счастлив (essere felice);Tu eri stato felice.;essere;Trapassato Prossimo;irregular_unique;1
он уже был счастлив (essere felice);Lui era stato felice.;essere;Trapassato Prossimo;irregular_unique;1
она уже была счастлива (essere felice);Lei era stata felice.;essere;Trapassato Prossimo;irregular_unique;1
мы уже были счастливы (essere felice);Noi eravamo stati felici.;essere;Trapassato Prossimo;irregular_unique;1
вы уже были счастливы (essere felice);Voi eravate stati felici.;essere;Trapassato Prossimo;irregular_unique;1
они уже были счастливы (essere felice);Loro erano stati felici.;essere;Trapassato Prossimo;irregular_unique;1
я буду счастливым (felice);Io sarò felice.;essere;Futuro Semplice;irregular_unique;1
ты будешь счастливым (felice);Tu sarai felice.;essere;Futuro Semplice;irregular_unique;1
он будет счастливым (felice);Lui sarà felice.;essere;Futuro Semplice;irregular_unique;1
она будет счастливой (felice);Lei sarà felice.;essere;Futuro Semplice;irregular_unique;1
мы будем счастливыми (felice);Noi saremo felici.;essere;Futuro Semplice;irregular_unique;1
вы будете счастливыми (felice);Voi sarete felici.;essere;Futuro Semplice;irregular_unique;1
они будут счастливыми (felice);Loro saranno felici.;essere;Futuro Semplice;irregular_unique;1
я буду счастливым (essere felice);Io sarò stato felice.;essere;Futuro Anteriore;irregular_unique;1
ты будешь счастливым (essere felice);Tu sarai stato felice.;essere;Futuro Anteriore;irregular_unique;1
он будет счастливым (essere felice);Lui sarà stato felice.;essere;Futuro Anteriore;irregular_unique;1
она будет счастливой (essere felice);Lei sarà stata felice.;essere;Futuro Anteriore;irregular_unique;1
мы будем счастливыми (essere felice);Noi saremo stati felici.;essere;Futuro Anteriore;irregular_unique;1
вы будете счастливыми (essere felice);Voi sarete stati felici.;essere;Futuro Anteriore;irregular_unique;1
они будут счастливыми (essere felice);Loro saranno stati felici.;essere;Futuro Anteriore;irregular_unique;1
я был бы счастлив (essere felice);Io sarei felice.;essere;Condizionale Presente;irregular_unique;1
ты был бы счастлив (essere felice);Tu saresti felice.;essere;Condizionale Presente;irregular_unique;1
он был бы счастлив (essere felice);Lui sarebbe felice.;essere;Condizionale Presente;irregular_unique;1
она была бы счастлива (essere felice);Lei sarebbe felice.;essere;Condizionale Presente;irregular_unique;1
мы были бы счастливы (essere felice);Noi saremmo felici.;essere;Condizionale Presente;irregular_unique;1
вы были бы счастливы (essere felice);Voi sareste felici.;essere;Condizionale Presente;irregular_unique;1
они были бы счастливы (essere felice);Loro sarebbero felici.;essere;Condizionale Presente;irregular_unique;1
я был бы счастливым (essere felice);Io sarei stato felice.;essere;Condizionale Passato;irregular_unique;1
ты был бы счастливым (essere felice);Tu saresti stato felice.;essere;Condizionale Passato;irregular_unique;1
он был бы счастливым (essere felice);Lui sarebbe stato felice.;essere;Condizionale Passato;irregular_unique;1
она была бы счастливой (essere felice);Lei sarebbe stata felice.;essere;Condizionale Passato;irregular_unique;1
мы были бы счастливыми (essere felice);Noi saremmo stati felici.;essere;Condizionale Passato;irregular_unique;1
вы были бы счастливыми (essere felice);Voi sareste stati felici.;essere;Condizionale Passato;irregular_unique;1
они были бы счастливыми (essere felice);Loro sarebbero stati felici.;essere;Condizionale Passato;irregular_unique;1
она хочет, чтобы я был счастливым (essere felice);Lei vuole che io sia felice.;essere;Congiuntivo Presente;irregular_unique;1
он надеется, что ты будешь счастливым (essere felice);Lui spera che tu sia felice.;essere;Congiuntivo Presente;irregular_unique;1
я думаю, что он будет счастливым (essere felice);Io penso che lui sia felice.;essere;Congiuntivo Presente;irregular_unique;1
мы верим, что она будет счастливой (essere felice);Noi crediamo che lei sia felice.;essere;Congiuntivo Presente;irregular_unique;1
вы хотите, чтобы мы были счастливыми (essere felice);Voi volete che noi siamo felici.;essere;Congiuntivo Presente;irregular_unique;1
они думают, что вы будете счастливыми (essere felice);Loro pensano che voi siate felici.;essere;Congiuntivo Presente;irregular_unique;1
я верю, что они будут счастливыми (essere felice);Io credo che loro siano felici.;essere;Congiuntivo Presente;irregular_unique;1
он думал, чтобы я был счастливым (essere felice);Lui pensavo che io fossi felice.;essere;Congiuntivo Imperfetto;irregular_unique;1
она хотела, чтобы ты была счастливой (essere felice);Lei voleva che tu fossi felice.;essere;Congiuntivo Imperfetto;irregular_unique;1
я верил, что он будет счастливым (essere felice);Io credevo che lui fosse felice.;essere;Congiuntivo Imperfetto;irregular_unique;1
мы надеялись, что она будет счастливой (essere felice);Noi speravamo che lei fosse felice.;essere;Congiuntivo Imperfetto;irregular_unique;1
они думали, чтобы мы были счастливыми (essere felice);Loro pensavano che noi fossimo felici.;essere;Congiuntivo Imperfetto;irregular_unique;1
я верил, что вы будете счастливыми (essere felice);Io credevo che voi foste felici.;essere;Congiuntivo Imperfetto;irregular_unique;1
он надеялся, чтобы они были счастливыми (essere felice);Lui sperava che loro fossero felici.;essere;Congiuntivo Imperfetto;irregular_unique;1
она думает, что я уже был счастлив (essere felice);Lei pensa che io sia stato felice.;essere;Congiuntivo Passato;irregular_unique;1
он надеется, что ты уже был счастлив (essere felice);Lui spero che tu sia stato felice.;essere;Congiuntivo Passato;irregular_unique;1
я думаю, что он уже был счастлив (essere felice);Io penso che lui sia stato felice.;essere;Congiuntivo Passato;irregular_unique;1
мы верим, что она уже была счастлива (essere felice);Noi crediamo che lei sia stata felice.;essere;Congiuntivo Passato;irregular_unique;1
вы сомневаетесь, что мы уже были счастливы (essere felice);Voi dubitate che noi siamo stati felici.;essere;Congiuntivo Passato;irregular_unique;1
они полагают, что вы уже были счастливы (essere felice);Loro suppongono che voi siate stati felici.;essere;Congiuntivo Passato;irregular_unique;1
я верю, что они уже были счастливы (essere felice);Io credo che loro siano stati felici.;essere;Congiuntivo Passato;irregular_unique;1
я любопытный (essere curioso);Io sono curioso.;essere;Presente;irregular_unique;1
ты любопытный (essere curioso);Tu sei curioso.;essere;Presente;irregular_unique;1
он любопытный (essere curioso);Lui è curioso.;essere;Presente;irregular_unique;1
она любопытная (essere curioso);Lei è curiosa.;essere;Presente;irregular_unique;1
мы любопытные (essere curioso);Noi siamo curiosi.;essere;Presente;irregular_unique;1
вы любопытные (essere curioso);Voi siete curiosi.;essere;Presente;irregular_unique;1
они любопытные (essere curioso);Loro sono curiosi.;essere;Presente;irregular_unique;1
я был любопытным (essere curioso);Io ero curioso.;essere;Imperfetto;irregular_unique;1
ты был любопытным (essere curioso);Tu eri curioso.;essere;Imperfetto;irregular_unique;1
он был любопытным (essere curioso);Lui era curioso.;essere;Imperfetto;irregular_unique;1
она была любопытной (essere curioso);Lei era curiosa.;essere;Imperfetto;irregular_unique;1
мы были любопытными (essere curioso);Noi eravamo curiosi.;essere;Imperfetto;irregular_unique;1
вы были любопытными (essere curioso);Voi eravate curiosi.;essere;Imperfetto;irregular_unique;1
они были любопытными (essere curioso);Loro erano curiosi.;essere;Imperfetto;irregular_unique;1
я был любопытным (essere curioso);Io fui curioso.;essere;Passato Remoto;irregular_unique;1
ты был любопытным (essere curioso);Tu fosti curioso.;essere;Passato Remoto;irregular_unique;1
он был любопытным (essere curioso);Lui fu curioso.;essere;Passato Remoto;irregular_unique;1
она была любопытной (essere curioso);Lei fu curiosa.;essere;Passato Remoto;irregular_unique;1
мы были любопытными (essere curioso);Noi fummo curiosi.;essere;Passato Remoto;irregular_unique;1
вы были любопытными (essere curioso);Voi foste curiosi.;essere;Passato Remoto;irregular_unique;1
они были любопытными (essere curioso);Loro furono curiosi.;essere;Passato Remoto;irregular_unique;1
я был любопытным (essere curioso);Io sono stato curioso.;essere;Passato Prossimo;irregular_unique;1
ты был любопытным (essere curioso);Tu sei stato curioso.;essere;Passato Prossimo;irregular_unique;1
он был любопытным (essere curioso);Lui è stato curioso.;essere;Passato Prossimo;irregular_unique;1
она была любопытной (essere curioso);Lei è stata curiosa.;essere;Passato Prossimo;irregular_unique;1
мы были любопытными (essere curioso);Noi siamo stati curiosi.;essere;Passato Prossimo;irregular_unique;1
вы были любопытными (essere curioso);Voi siete stati curiosi.;essere;Passato Prossimo;irregular_unique;1
они были любопытными (essere curioso);Loro sono stati curiosi.;essere;Passato Prossimo;irregular_unique;1
я уже был любопытным (essere curioso);Io ero stato curioso.;essere;Trapassato Prossimo;irregular_unique;1
ты уже был любопытным (essere curioso);Tu eri stato curioso.;essere;Trapassato Prossimo;irregular_unique;1
он уже был любопытным (essere curioso);Lui era stato curioso.;essere;Trapassato Prossimo;irregular_unique;1
она уже была любопытной (essere curioso);Lei era stata curiosa.;essere;Trapassato Prossimo;irregular_unique;1
мы уже были любопытными (essere curioso);Noi eravamo stati curiosi.;essere;Trapassato Prossimo;irregular_unique;1
вы уже были любопытными (essere curioso);Voi eravate stati curiosi.;essere;Trapassato Prossimo;irregular_unique;1
