rank	original	lemma	POS
371	sera	sera	NOUN
372	giro	giro	NOUN
373	morte	morto	NOUN
375	qua	qua	ADV
380	diavolo	diavolo	NOUN
381	quasi	quasi	ADV
382	piacere	piacere	NOUN
383	bel	belo	ADJ
388	felice	felice	ADJ
389	colpa	colpa	NOUN
390	punto	punto	NOUN
395	chiesto	chiedere	VERB
396	invece	invece	ADV
398	migliore	migliore	ADJ
400	finito	finire	VERB
403	papa	Papa	NOUN
404	almeno	almeno	ADV
408	ore	ora	NOUN
409	passato	passare	VERB
410	magari	magari	ADV
411	minuti	minuto	NOUN
412	terra	terra	NOUN
414	strada	strada	NOUN
415	sola	solo	ADJ
417	importante	importante	ADJ
419	salve	salvo	ADJ
420	settimana	settimana	NOUN
421	perso	perdere	VERB
422	uscire	uscire	VERB
424	papà	papà	NOUN
425	stasera	stasera	ADV
426	scusi	scusi	ADV
427	dollari	dollaro	NOUN
428	occhi	occhio	NOUN
430	ultima	ultimo	ADJ
431	possibile	possibile	ADJ
432	scuola	scuola	NOUN
433	significa	significare	VERB
440	importa	importare	VERB
441	indietro	indietro	ADV
442	riesco	riuscire	VERB
443	sangue	sangue	NOUN
444	chiama	chiamare	VERB
445	messo	mettere	VERB
446	piccolo	piccolo	ADJ
447	traduzione	traduzione	NOUN
448	tardi	tardi	ADV
449	cuore	cuore	NOUN
450	marito	marito	NOUN
453	ieri	ieri	ADV
454	spero	sperare	VERB
455	ricordi	ricordo	NOUN
458	lasciato	lasciare	VERB
459	ascolta	ascoltare	VERB
460	difficile	difficile	ADJ
462	auto	auto	NOUN
468	fantastico	fantastico	ADJ
470	numero	numero	NOUN
471	veramente	veramente	ADV
473	com'	com	NOUN
474	serio	serio	ADJ
477	entrare	entrare	VERB
482	acqua	acqua	NOUN
484	stanza	stanza	NOUN
486	forte	forte	ADJ
489	amo	amare	VERB
490	roba	roba	NOUN
491	agente	agente	NOUN
492	dietro	dietro	ADV
493	corpo	Corpo	NOUN
494	pare	parere	VERB
496	foto	foto	NOUN
497	telefono	telefono	NOUN
499	poco	poco	ADV
502	vicino	vicino	ADV
504	sacco	sacco	NOUN
509	strano	strano	ADJ
514	bravo	bravo	ADJ
515	ragazze	ragazza	NOUN
516	festa	festa	NOUN
517	senso	senso	NOUN
518	genere	genere	NOUN
521	attimo	attimo	NOUN
522	sorella	sorella	NOUN
523	pure	pure	ADV
524	probabilmente	probabilmente	ADV
525	film	film	NOUN
527	ufficio	ufficio	NOUN
529	mesi	mese	NOUN
531	unica	unico	ADJ
533	signorina	signorino	NOUN
534	vecchio	vecchio	ADJ
535	domanda	domandare	NOUN
537	guerra	guerra	NOUN
538	dottore	dottore	NOUN
539	conosco	conoscere	VERB
541	vivere	vivere	VERB
543	prova	provare	VERB
545	ricordo	ricordare	NOUN
546	divertente	divertente	ADJ
549	paio	paio	NOUN
550	conto	conto	NOUN
555	mezzo	mezzo	NOUN
556	lavorare	lavorare	VERB
558	esattamente	esattamente	ADV
559	squadra	squadra	NOUN
560	esatto	esatto	ADJ
563	faro	faro	NOUN
566	parola	parola	NOUN
567	piedi	piede	NOUN
568	sopra	sopra	ADV
569	motivo	motivo	NOUN
571	cavolo	cavolo	NOUN
572	capitano	capitano	NOUN
577	gioco	gioco	NOUN
578	perfetto	perfetto	ADJ
580	mente	menta	NOUN
581	mangiare	mangiare	VERB
582	resto	resto	NOUN
584	fortuna	fortuna	NOUN
585	tratta	trattare	VERB
586	chiamo	chare	VERB
588	là	là	ADV
592	cena	cena	NOUN
595	controllo	controllo	NOUN
596	affari	affare	NOUN
597	spiace	spiacere	VERB
599	facile	facile	ADJ
601	buongiorno	Buongiorno	VERB
602	davanti	davanti	ADV
603	tizio	tizio	NOUN
605	sicurezza	sicurezza	NOUN
609	matrimonio	matrimonio	NOUN
613	culo	culo	NOUN
614	fuoco	fuoco	NOUN
616	pistola	pistola	NOUN
618	re	re	NOUN
619	mandato	mandare	NOUN
620	puttana	puttano	ADJ
623	inizio	inizio	NOUN
625	causa	causa	NOUN
632	però	però	ADV
633	genitori	genitore	NOUN
634	sesso	sesso	NOUN
636	ricevuto	ricevere	VERB
637	vivo	vivo	ADJ
638	presidente	presidente	NOUN
639	città	città	NOUN
640	citta	citta	NOUN
642	ospedale	ospedale	NOUN
645	scritto	scrivere	VERB
646	smettila	smettere	VERB
648	attenzione	attenzione	NOUN
650	bere	bere	VERB
651	situazione	situazione	NOUN
652	omicidio	omicidio	NOUN
653	revisione	revisione	NOUN
655	ottimo	ottimo	ADJ
656	cura	cura	NOUN
663	prossima	prossimo	ADJ
665	arrivato	arrivare	VERB
666	paese	paese	NOUN
670	capisci	capiscre	VERB
671	pace	pace	NOUN
672	immagino	immaginare	VERB
673	musica	musica	NOUN
674	tieni	tienere	VERB
675	oddio	oddio	ADJ
676	jack	Jack	NOUN
677	libro	libro	NOUN
679	amica	amico	ADJ
680	diventare	diventare	VERB
682	sbagliato	sbagliare	VERB
688	scelta	scegliere	NOUN
691	assolutamente	assolutamente	ADV
695	scoperto	scoprire	VERB
700	prigione	prigione	NOUN
701	giornata	giornata	NOUN
702	piuttosto	piuttosto	ADV
707	lungo	lungo	ADJ
709	avvocato	avvocato	NOUN
710	deciso	decidere	VERB
712	messaggio	messaggio	NOUN
713	dormire	dormire	VERB
715	stupido	stupido	ADJ
716	usare	usare	VERB
718	cielo	cielo	NOUN
720	bagno	bagno	NOUN
721	aria	aria	NOUN
722	voce	voce	NOUN
725	giù	giù	ADV
729	verita	verita	NOUN
730	cane	cane	NOUN
731	restare	restare	VERB
734	campo	campo	NOUN
735	luce	luce	NOUN
738	giovane	giovane	ADJ
743	saperlo	sapere lo	VERB
744	lontano	lontano	ADV
745	gruppo	gruppo	NOUN
746	continua	continuare	VERB
747	arrivo	arrivo	NOUN
749	realta	realta	NOUN
751	passo	passo	NOUN
752	domande	domanda	NOUN
753	insomma	insomma	ADV
756	capelli	capello	NOUN
758	onore	onore	NOUN
759	aiutare	aiutare	VERB
760	verità	verità	NOUN
761	prove	prova	NOUN
763	funziona	funzionare	VERB
764	alto	alto	ADJ
765	giu	giue	NOUN
767	futuro	futuro	ADJ
768	preoccuparti	preoccuparre ti	VERB
769	idiota	idiota	ADV
770	cibo	cibo	NOUN
771	fretta	fretta	NOUN
772	cara	caro	ADJ
773	finalmente	finalmente	ADV
775	odio	odiare	VERB
776	solito	solito	NOUN
779	incidente	incidente	NOUN
781	dev'	dev	NOUN
782	intenzione	intenzione	NOUN
783	speciale	speciale	ADJ
784	cambiare	cambiare	VERB
786	camera	Camera	NOUN
787	oltre	oltre	ADV
788	semplice	semplice	ADJ
790	riguardo	riguardo	NOUN
792	aspetto	aspettare	NOUN
793	viaggio	viaggio	NOUN
794	chiaro	chiaro	ADJ
796	bocca	bocca	NOUN
797	permesso	permettere	VERB
800	giocare	giocare	VERB
801	ordine	ordine	NOUN
802	circa	circa	ADV
803	ovviamente	ovviamente	ADV
806	natale	Natale	ADJ
813	mattina	mattina	NOUN
816	sistema	sistema	NOUN
818	fondo	fondo	NOUN
825	potere	potere	NOUN
826	milioni	milione	NOUN
827	soltanto	soltanto	ADV
828	armi	arma	NOUN
830	fermo	fermo	ADJ
833	cristo	cristo	NOUN
836	controllare	controllare	VERB
837	appuntamento	appuntamento	NOUN
841	detective	detective	NOUN
842	pero	pero	NOUN
844	grado	grado	NOUN
846	nave	nave	NOUN
847	iniziato	iniziare	VERB
849	informazioni	informazione	NOUN
850	libero	libero	ADJ
851	stronzo	stronzo	NOUN
853	pezzo	pezzo	NOUN
854	segreto	segreto	ADJ
855	colpo	colpo	NOUN
858	porto	porto	NOUN
860	completamente	completamente	ADV
861	vederti	vedere ti	VERB
862	lista	listare	NOUN
864	veloce	veloce	ADV
865	assassino	assassino	ADJ
869	ormai	ormai	ADV
870	interessa	interessare	VERB
871	generale	generale	ADJ
873	tenere	tenere	VERB
874	pazzo	pazzo	NOUN
875	vittima	vittima	NOUN
876	giuro	giurare	VERB
877	consiglio	consiglio	NOUN
880	semplicemente	semplicemente	ADV
881	zio	zio	NOUN
882	centro	centro	NOUN
883	specie	specie	NOUN
885	sogno	sogno	NOUN
886	lasci	lascare	VERB
887	carino	carino	ADJ
889	brutto	brutto	ADJ
891	aspetti	aspetto	NOUN
892	incredibile	incredibile	ADJ
893	sole	sole	NOUN
895	legge	legge	NOUN
896	spesso	spesso	ADV
899	scena	scena	NOUN
902	lasciami	lasciare mi	NOUN
903	gentile	gentile	ADJ
904	rispetto	rispetto	ADV
907	zitto	ziggere	NOUN
908	incontro	incontro	NOUN
911	rapporto	rapporto	NOUN
912	errore	errore	NOUN
915	pagare	pagare	VERB
916	sorpresa	sorprendere	NOUN
917	occhiata	occhiare	NOUN
918	risposta	risposta	NOUN
920	servizio	servizio	NOUN
921	medico	medico	NOUN
923	hey	hey	NOUN
925	schifo	schifo	NOUN
927	dolore	dolore	NOUN
929	personale	personale	ADJ
932	peggio	peggio	ADV
933	addio	addio	NOUN
934	addosso	addosso	ADV
937	pieno	pieno	ADJ
938	diverso	diverso	ADJ
939	vestiti	vestito	NOUN
940	sparato	sparare	VERB
941	realtà	realtà	NOUN
944	normale	normale	ADJ
945	fame	fama	NOUN
946	programma	programma	NOUN
947	nonna	nonno	NOUN
951	notizie	notizia	NOUN
954	posizione	posizione	NOUN
956	rimanere	rimanere	VERB
957	compagnia	compagnia	NOUN
958	proposito	proposito	NOUN
959	farci	fare ci	VERB
961	ricorda	ricordare	VERB
962	frank	frank	NOUN
967	chiuso	chiudere	VERB
968	terribile	terribile	ADJ
969	ritardo	ritardo	NOUN
970	attento	attento	ADJ
971	bar	bar	NOUN
973	fallo	fallo	NOUN
974	dimenticato	dimenticare	VERB
975	bisogna	bisognare	VERB
976	impossibile	impossibile	ADJ
977	cioè	cioè	ADV
978	studio	studio	NOUN
982	uscita	uscita	NOUN
983	ii	ii	ADJ
989	guai	guaio	NOUN
990	intorno	intorno	ADV
992	manca	mancare	VERB
993	esserci	essere ci	VERB
994	grosso	grosso	ADJ
996	dolce	dolce	ADJ
997	chiave	chiave	NOUN
998	cervello	cervello	NOUN
999	coraggio	coraggere	VERB
1000	interessante	interessante	ADJ
1001	peccato	peccato	NOUN
1002	questione	questione	NOUN
1003	adoro	adorare	VERB
1004	aereo	aereo	NOUN
1006	rubato	rubare	VERB
1007	sala	sala	NOUN
1008	base	base	NOUN
1013	compleanno	compleanno	NOUN
1015	relazione	relazione	NOUN
1016	cliente	cliente	NOUN
1017	spalle	spalla	NOUN
1018	seconda	secondo	ADJ
1020	vale	valere	VERB
1022	diritto	diritto	NOUN
1023	sicuramente	sicuramente	ADV
1024	appartamento	appartamento	NOUN
1025	pranzo	pranzo	NOUN
1027	denaro	denaro	NOUN
1030	serata	serata	NOUN
1031	nero	nero	ADJ
1032	vestito	vestire	VERB
1033	carta	carta	NOUN
1034	ex	ex	ADJ
1035	dottoressa	dottoresse	NOUN
1036	bastardo	Bastardo	NOUN
1042	zona	zona	NOUN
1044	intendo	intendere	VERB
1045	negozio	negozio	NOUN
1048	partita	partire	NOUN
1050	spazio	spazio	NOUN
1054	linea	linea	NOUN
1056	riguarda	riguardare	VERB
1060	poliziotto	poliziotto	NOUN
1061	scappare	scappare	VERB
1062	fronte	fronte	NOUN
1063	vinto	vincere	VERB
1064	averlo	avere lo	VERB
1065	tranquillo	tranquillo	ADJ
1066	silenzio	silenzio	NOUN
1069	simile	simile	ADJ
1071	calma	calma	NOUN
1072	santo	santo	NOUN
1073	ricerca	ricerca	NOUN
1074	pena	pena	NOUN
1077	esiste	esistere	VERB
1079	altrimenti	altrimenti	ADV
1081	luogo	luogo	NOUN
1082	lettera	lettera	NOUN
1084	salvare	salvare	VERB
1085	canzone	canzone	NOUN
1087	pubblico	pubblico	ADJ
1089	corso	correre	VERB
1091	regalo	regalo	NOUN
1096	scherzando	scherzare	VERB
1097	stamattina	stamattina	ADV
1098	missione	missione	NOUN
1100	salute	salute	NOUN
1102	scelto	scegliere	VERB
1103	dura	durare	VERB
1104	computer	computer	NOUN
1107	aiutarti	aiutare ti	VERB
1108	contatto	contatto	NOUN
1109	pericolo	pericolo	NOUN
1113	freddo	freddo	ADJ
1114	triste	triste	ADJ
1115	promesso	promettere	VERB
1116	esercito	esercito	NOUN
1120	dunque	dunque	ADV
1121	guardia	guardia	NOUN
1123	infatti	infatti	ADV
1124	possibilita	possibilita	NOUN
1126	fbi	fbi	NOUN
1127	casino	casino	NOUN
1128	buonanotte	buonanotte	NOUN
1129	caccia	cacciare	NOUN
1130	gay	gay	ADJ
1134	certamente	certamente	ADV
1135	regole	regola	NOUN
1138	secondi	secondo	NOUN
1139	ballo	ballo	NOUN
1141	birra	birra	NOUN
1142	ovunque	ovunque	ADV
1146	governo	governo	NOUN
1148	oro	oro	NOUN
1149	duro	duro	ADJ
1150	cucina	cucina	NOUN
1151	decisione	decisione	NOUN
1152	anima	anima	NOUN
1153	forma	formare	NOUN
1155	esempio	esempio	NOUN
1156	incontrato	incontrare	VERB
1157	occasione	occasione	NOUN
1158	stanotte	stanotte	NOUN
1160	droga	droga	NOUN
1161	possibilità	possibilità	NOUN
1162	cellulare	cellulare	ADJ
1163	necessario	necessario	ADJ
1165	ferma	fermare	VERB
1166	borsa	borsa	NOUN
1167	prometto	promettare	VERB
1168	palle	palla	NOUN
1171	attacco	attacco	NOUN
1173	affatto	affatto	ADV
1174	colpito	colpire	VERB
1176	siediti	siedire	VERB
1177	reale	reale	ADJ
1178	comprare	comprare	VERB
1179	inferno	inferno	NOUN
1180	parlarne	parlare ne	VERB
1182	regina	regina	NOUN
1184	aperto	aprire	VERB
1186	braccio	braccio	NOUN
1189	crimine	crimine	NOUN
1191	chiesa	chiesa	NOUN
1192	effetti	effetto	NOUN
1193	tenente	tenente	NOUN
1194	sapevi	sapevere	VERB
1196	scommetto	scommettare	VERB
1197	paziente	paziente	NOUN
1198	scarpe	scarpa	NOUN
1199	danny	danny	NOUN
1200	livello	livello	NOUN
1204	mentito	mentire	VERB
1205	viva	vivere	ADJ
1206	spettacolo	spettacolo	NOUN
1208	visita	visita	NOUN
1211	precedenti	precedente	ADJ
1213	mica	mica	ADV
1214	sinistra	sinistra	NOUN
1215	percio	percio	ADV
1216	processo	processo	NOUN
1217	mare	mare	NOUN
1218	direttore	direttore	NOUN
1219	intelligente	intelligente	ADJ
1221	rende	rendere	VERB
1223	classe	classe	NOUN
1225	cambio	cambio	NOUN
1226	scorsa	scorso	ADJ
1228	bianco	Bianco	ADJ
1229	tavolo	tavolo	NOUN
1230	stagione	stagione	NOUN
1232	nick	nick	NOUN
1233	dannazione	dannazione	NOUN
1234	cavallo	cavallo	NOUN
1235	sergente	sergente	NOUN
1236	incinta	incinto	ADJ
1237	rotto	rompere	VERB
1239	episodio	episodio	NOUN
1240	rispondere	rispondere	VERB
1241	contento	contento	ADJ
1243	inglese	inglese	NOUN
1244	volo	volo	NOUN
1247	differenza	differenza	NOUN
1252	codice	codice	NOUN
1253	lato	lato	NOUN
1255	maggiore	maggiore	ADJ
1256	farsi	fare si	VERB
1259	eccolo	eccolo	ADV
1260	carne	carne	NOUN
1263	umano	umano	ADJ
1264	certa	certo	ADJ
1266	averti	avere ti	VERB
1269	libera	liberare	ADJ
1272	caldo	caldo	ADJ
1273	pelle	pelle	NOUN
1274	interno	interno	ADJ
1275	temo	temere	VERB
1277	comandante	comandante	NOUN
1280	pomeriggio	pomeriggio	NOUN
1281	documenti	documento	NOUN
1283	giudice	giudice	NOUN
1284	mostro	mostro	NOUN
1285	destra	destro	ADJ
1286	luna	luna	NOUN
1287	ringrazio	ringraziare	VERB
1289	pericoloso	pericoloso	ADJ
1292	figliolo	figliolo	NOUN
1294	vino	vino	NOUN
1296	presente	presente	ADJ
1298	arrivederci	arrivedere ci	VERB
1299	caffè	caffè	NOUN
1300	barca	barca	NOUN
1301	maledizione	maledizione	NOUN
1304	lezione	lezione	NOUN
1305	intero	intero	ADJ
1307	partire	partire	VERB
1308	venuti	venere	VERB
1312	nord	nord	NOUN
1315	parlarti	parlare ti	VERB
1316	perciò	perciò	ADV
1317	congratulazioni	congratulazione	NOUN
1319	sposato	sposare	VERB
1320	gliel'	gliel	NOUN
1322	treno	treno	NOUN
1323	radio	radio	NOUN
1325	comune	comune	ADJ
1326	cattivo	cattivo	ADJ
1327	imparato	imparare	VERB
1330	aiutarmi	aiutare mi	VERB
1331	ama	amira	VERB
1333	responsabile	responsabile	ADJ
1337	bomba	bomba	NOUN
1340	m'	m	NOUN
1344	periodo	periodo	NOUN
1345	energia	energia	NOUN
1346	segno	segno	NOUN
1348	calmati	calmare	VERB
1350	posti	posto	NOUN
1351	accidenti	accidento	NOUN
1356	speranza	speranza	NOUN
1357	rischio	rischio	NOUN
1358	caffe	Caffe	NOUN
1359	rosso	rosso	ADJ
1360	soprattutto	soprattutto	ADV
1361	combattere	combattere	VERB
1362	tocca	toccare	VERB
1363	operazione	operazione	NOUN
1364	zia	zia	NOUN
1365	sexy	sexy	ADJ
1366	gamba	gamba	NOUN
1367	biglietto	biglietto	NOUN
1368	pazza	pazzo	ADJ
1369	ufficiale	ufficiale	ADJ
1373	pressione	pressione	NOUN
1375	seguito	seguire	NOUN
1376	nascosto	nascondere	VERB
1377	maestro	maestro	NOUN
1379	benvenuto	benvenuto	NOUN
1382	offerta	offerta	NOUN
1387	finta	finta	NOUN
1388	testimone	testimone	NOUN
1390	banca	bancare	NOUN
1393	stronzate	stronzata	NOUN
1394	indirizzo	indirizzo	NOUN
1396	ottenere	ottenere	VERB
1399	esperienza	esperienza	NOUN
1400	portata	portare	NOUN
1403	piangere	piangere	VERB
1404	bill	bill	NOUN
1405	segreti	segreto	NOUN
1407	tony	tony	NOUN
1410	sud	sud	NOUN
1414	pianeta	pianeta	NOUN
1416	inoltre	inoltre	ADV
1417	serie	serie	NOUN
1419	ray	ray	NOUN
1422	porca	porco	ADJ
1423	guida	guidare	VERB
1424	prezzo	prezzo	NOUN
1426	arrabbiato	arrabbiato	ADJ
1429	orribile	orribile	ADJ
1431	ritorno	ritorno	NOUN
1433	animali	animale	NOUN
1434	enorme	enorme	ADJ
1437	passaggio	passaggio	NOUN
1439	progetto	progetto	NOUN
1441	naturalmente	naturalmente	ADV
1442	colpevole	colpevole	ADJ
1443	ragazzino	ragazzino	NOUN
1444	metri	metro	NOUN
1447	mossa	mossare	VERB
1448	finestra	finestra	NOUN
1450	destino	destino	NOUN
1452	saltare	saltare	VERB
1454	frega	fregare	VERB
1455	edificio	edificio	NOUN
1456	colazione	colazione	NOUN
1457	collo	collo	NOUN
1458	difesa	difesa	NOUN
1460	vicini	vicino	ADJ
1461	fiducia	fiducia	NOUN
1464	avermi	avere mi	VERB
1467	ristorante	ristorante	NOUN
1469	laboratorio	laboratorio	NOUN
1471	comando	comando	NOUN
1473	arte	arte	NOUN
1474	meta	meta	NOUN
1475	discorso	discorso	NOUN
1478	segnale	segnale	NOUN
1480	fortunato	fortunato	ADJ
1482	carriera	carriera	NOUN
1483	blu	blu	ADJ
1484	cominciare	cominciare	VERB
1485	muro	muro	NOUN
1486	will	will	NOUN
1488	bob	bob	NOUN
1489	proteggere	proteggere	VERB
1491	dubbio	dubbio	NOUN
1493	stazione	Stazione	NOUN
1494	emergenza	emergenza	NOUN
1495	giustizia	giustizia	NOUN
1496	immediatamente	immediatamente	ADV
1497	odore	odore	NOUN
1500	ascolti	ascolto	NOUN
1501	contrario	contrario	ADJ
1502	terzo	terzo	ADJ
1503	preoccupare	preoccupare	VERB
1504	locale	locale	ADJ
1507	battaglia	battaglia	NOUN
1508	aiutarla	aiutare la	VERB
1510	notato	notare	VERB
1511	chiamate	chiamata	NOUN
1512	sceriffo	sceriffo	NOUN
1514	evitare	evitare	VERB
1515	spirito	spirito	NOUN
1516	seduto	sedere	VERB
1519	lingua	lingua	NOUN
1520	dipartimento	dipartimento	NOUN
1522	massimo	massimo	ADJ
1523	praticamente	praticamente	ADV
1524	riunione	riunione	NOUN
1526	rumore	rumore	NOUN
1527	torta	torta	NOUN
1528	guardami	guardamo	NOUN
1530	accanto	accanto	ADV
1531	eroe	eroe	NOUN
1532	turno	turno	NOUN
1540	fiori	fiore	NOUN
1542	persino	persino	ADV
1543	ovvio	ovvio	ADJ
1544	furgone	furgone	NOUN
1545	amy	amy	NOUN
1546	coppia	coppia	NOUN
1547	ridere	ridere	VERB
1549	pausa	pausa	NOUN
1550	billy	Billy	NOUN
1551	grave	grave	ADJ
1553	memoria	memoria	NOUN
1558	naso	naso	NOUN
1560	nemico	nemico	NOUN
1564	colonnello	colonnello	NOUN
1566	giovani	giovane	NOUN
1567	richard	richard	NOUN
1569	costa	costare	VERB
1570	laggiù	laggiù	ADV
1572	scatola	scatola	NOUN
1574	albero	albero	NOUN
1576	tribunale	tribunale	NOUN
1577	razza	razza	NOUN
1578	anello	anello	NOUN
1582	ferita	ferito	ADJ
1583	ferito	ferire	VERB
1585	preoccupato	preoccupato	ADJ
1587	sentimenti	sentimento	NOUN
1588	arresto	arresto	NOUN
1589	project	projecte	ADV
1590	averla	avere la	VERB
1592	soldato	soldato	NOUN
1593	natura	natura	NOUN
1595	inutile	inutile	ADJ
1598	colore	colore	NOUN
1599	basso	basso	ADJ
1600	uso	uso	NOUN
1601	don	don	NOUN
1602	anzi	anzi	ADV
1604	digli	diglio	NOUN
1606	preferito	preferire	VERB
1607	dirle	dire le	VERB
1608	utile	utile	ADJ
1618	professore	professore	NOUN
1619	fidanzato	fidanzare	VERB
1620	sensazione	sensazione	NOUN
1621	andartene	andare te ne	VERB
1622	legale	legale	ADJ
1624	compito	compito	NOUN
1625	srt	srt	ADJ
1630	corte	corto	ADJ
1632	pesce	pesce	NOUN
1635	obiettivo	obiettivo	NOUN
1637	nato	nascere	VERB
1639	show	show	NOUN
1640	conta	contare	VERB
1641	accesso	accesso	NOUN
1642	breve	breve	ADJ
1643	risolvere	risolvere	VERB
1644	isola	isola	NOUN
1645	povero	povero	ADJ
1646	stavolta	stavolta	ADV
1648	affrontare	affrontare	VERB
1650	opera	opera	NOUN
1653	ballare	ballare	VERB
1654	bacio	bacio	NOUN
1657	bordo	bordo	NOUN
1658	sbaglio	sbaglio	NOUN
1660	verde	verde	ADJ
1662	aperta	aperto	ADJ
1663	improvviso	improvviso	ADJ
1665	fianco	fianco	NOUN
1666	alzati	alzare	VERB
1667	accettare	accettare	VERB
1668	metà	metà	NOUN
1669	continuo	continuo	ADJ
1670	peso	peso	NOUN
1672	stile	stile	NOUN
1673	corsa	corsa	NOUN
1675	soluzione	soluzione	NOUN
1678	contratto	contrattare	NOUN
1681	retro	retro	NOUN
1682	meraviglioso	meraviglioso	ADJ
1684	denti	dente	NOUN
1685	mandare	mandare	VERB
1686	fidati	fidare	VERB
1687	sveglia	svegliare	NOUN
1689	ultimamente	ultimamente	ADV
1690	creato	creare	VERB
1691	prendermi	prendere mi	VERB
1693	dipende	dipendere	VERB
1694	innocente	innocente	ADJ
1695	scopo	scopo	NOUN
1696	coltello	coltello	NOUN
1698	fila	fila	NOUN
1699	magia	magia	NOUN
1701	procuratore	procuratore	NOUN
1704	dna	dna	NOUN
1705	vendere	vendere	VERB
1706	pantaloni	pantalone	NOUN
1708	centrale	centrale	ADJ
1709	azione	azione	NOUN
1710	principe	principe	NOUN
1711	cadavere	cadavere	NOUN
1713	fede	fede	NOUN
1714	nipote	nipote	NOUN
1715	andro	andro	NOUN
1722	stampa	stampa	NOUN
1724	assistente	assistente	NOUN
1727	debole	debole	ADJ
1728	risultati	risultato	NOUN
1729	ridicolo	ridicolo	NOUN
1731	vaffanculo	vaffanculo	NOUN
1732	andarci	andare ci	VERB
1735	grandioso	grandioso	ADJ
