rank	original	lemma	POS
1971	credimi	credimi	ADJ
1976	nient'	nient	NOUN
1978	vedermi	vedere mi	VERB
1982	dirgli	dire gli	VERB
1985	facevo	facere	VERB
1989	perfettamente	perfettamente	ADV
1991	bicchiere	bicchiere	VERB
1993	dargli	darge li	VERB
1995	porte	porta	NOUN
1996	animale	animale	ADJ
2007	completo	completo	ADJ
2016	matt	matt	NOUN
2025	eravate	eravate	VERB
2026	fan	fan	NOUN
2029	bevi	bevere	VERB
2034	alice	aole	ADJ
2036	chiamarmi	chiamare mi	VERB
2037	magnifico	magnifico	ADJ
2040	quartiere	quartiere	NOUN
2041	uccidermi	uccidere mi	VERB
2042	andarsene	andare se ne	VERB
2045	lascialo	lasciae lo	VERB
2055	velocemente	velocemente	ADV
2056	potente	potente	ADJ
2070	assurdo	assurdo	ADJ
2071	mr	mr	NOUN
2073	dimmelo	dimmelo	ADJ
2075	annie	annia	NOUN
2079	naturale	naturale	ADJ
2089	corrente	corrente	ADJ
2096	conoscerti	conoscere ti	VERB
2097	tantissimo	tantissimo	ADV
2100	militare	militare	ADJ
2102	prenderlo	prendere lo	VERB
2111	gratis	gratis	ADV
2126	c	c	NOUN
2137	abbiate	abbiate	VERB
2139	tette	tetta	NOUN
2140	vorrà	vorere	VERB
2146	dritto	drittare	VERB
2150	succedera	succedee ro	VERB
2151	son	son	VERB
2161	lasciarmi	lasciare mi	VERB
2163	street	street	NOUN
2165	domattina	domattina	ADV
2166	lasciatemi	Lasciatemi	VERB
2167	pensavi	pensavi	VERB
2172	sali	sale	NOUN
2179	andarcene	andare ce ne	VERB
2180	est	Est	NOUN
2187	caduta	caduta	NOUN
2188	calmo	calmo	ADJ
2190	parlarle	parlare le	VERB
2192	fossimo	essime	VERB
2202	dirai	dirai	VERB
2203	starai	stare ai	VERB
2207	lady	Lady	NOUN
2214	entrate	entrata	NOUN
2215	sarete	sarete	VERB
2238	dappertutto	dappertutto	ADV
2239	dave	dave	VERB
2242	profondo	profondo	ADJ
2245	finora	finora	ADV
2257	jeff	Jeff	NOUN
2258	vorra	vorrare	VERB
2263	pulito	pulito	ADJ
2267	assieme	assieme	ADV
2268	dicevo	dicevo	VERB
2271	pesante	pesante	ADJ
2273	park	park	NOUN
2276	scusarmi	scusare mi	VERB
2280	santa	Santa	ADJ
2281	dirci	dire ci	VERB
2293	potra	potra	VERB
2296	ricco	ricco	ADJ
2302	dirmelo	dirmelo	VERB
2304	nervoso	nervoso	ADJ
2308	inghilterra	inghilterra	ADJ
2312	falso	falso	ADJ
2313	dirglielo	dirglielo	VERB
2314	ucciderlo	uccidere lo	VERB
2315	polvere	polvere	NOUN
2321	sessuale	sessuale	ADJ
2323	privata	privato	ADJ
2326	totale	totale	ADJ
2329	sentirmi	sentire mi	VERB
2333	scherzi	scherzo	NOUN
2335	lord	Lord	NOUN
2340	aiutarci	aiutare ci	VERB
2347	dovessi	dovessi	VERB
2349	superiore	superiore	ADJ
2357	piaccia	piacciere	VERB
2360	dovro	dovro	VERB
2361	dovrò	dovrò	VERB
2362	dillo	dillo	VERB
2364	credito	credito	NOUN
2365	recente	recente	ADJ
2368	fatemi	fatemi	NOUN
2370	kyle	kyle	NOUN
2381	preferirei	preferirei	VERB
2385	muoversi	muovere si	VERB
2390	farvi	fare vi	VERB
2392	sissignore	sissignore	NOUN
2395	baby	baby	NOUN
2397	assicuro	assicuro	ADJ
2399	facilmente	facilmente	ADV
2402	darò	daere	VERB
2403	smetterla	smettere la	VERB
2418	accuse	accusa	NOUN
2425	scrivania	scrivaniare	NOUN
2426	complicato	complicato	ADJ
2431	famoso	famoso	ADJ
2432	desideri	desidero	NOUN
2433	lily	lily	NOUN
2436	eccoti	eccoe ti	VERB
2439	prestito	prestito	NOUN
2440	potreste	potreste	VERB
2441	solamente	solamente	ADV
2442	chissà	chissà	ADV
2449	specialmente	specialmente	ADV
2451	darle	dare le	VERB
2457	mettiti	mettire	VERB
2460	roger	roger	NOUN
2463	folle	folle	ADJ
2466	tuttavia	tuttavia	ADV
2468	affascinante	affascinare	ADJ
2472	jenny	Jenny	NOUN
2474	prenderla	prendere la	VERB
2479	trovarmi	trovare mi	VERB
2480	frattempo	frattempo	ADV
2487	lago	Lago	NOUN
2488	barry	barry	NOUN
2495	facciamolo	facciamolo	VERB
2500	occhiali	occhialo	NOUN
2501	conoscete	conoscete	VERB
2504	resynch	resynch	NOUN
2507	sito	sito	NOUN
2508	maiale	maiale	ADJ
2509	dubito	dubire	VERB
2514	comodo	comodo	ADJ
2526	sapessi	sapessare	VERB
2527	facevi	facevi	VERB
2528	diretta	diretta	ADJ
2529	averne	avere ne	VERB
2534	maggie	maggia	NOUN
2539	volto	volgere	NOUN
2556	darci	dare ci	VERB
2564	mezz'	mezz	NOUN
2565	trovarla	trovare la	VERB
2574	smetti	smettare	VERB
2577	portarlo	portare lo	VERB
2579	mettermi	mettere mi	VERB
2580	elizabeth	elizabeth	NOUN
2584	idioti	idioto	ADJ
2591	daro	daro	VERB
2593	amanda	amandare	VERB
2597	dovra	dovra	VERB
2598	farne	fare ne	VERB
2602	coso	coso	ADJ
2615	molly	molly	NOUN
2616	portarti	portare ti	VERB
2618	gelato	gelato	ADJ
2621	lentamente	lentamente	ADV
2622	metterti	mettere ti	VERB
2624	adorabile	adorabile	ADJ
2625	iniziamo	inizere	VERB
2626	chloe	Chloe	NOUN
2633	colleghi	collega	NOUN
2638	conoscerla	conoscere la	VERB
2648	risolto	risogliere	VERB
2649	sporco	sporco	ADJ
2650	pari	pari	ADJ
2652	sentirti	sentire ti	VERB
2656	nathan	nae th an	VERB
2671	band	band	NOUN
2686	uguale	uguale	ADJ
2694	veloci	veloce	ADJ
2696	interessato	interessato	ADJ
2699	positivo	positivo	ADJ
2700	muovetevi	muovetevi	VERB
2701	andiamocene	andiamocena	NOUN
2702	diamine	diamine	NOUN
2705	onesto	onesto	ADJ
2707	portami	portami	VERB
2710	tenerlo	tenere lo	VERB
2714	stara	Stara	VERB
2715	patrick	patrick	NOUN
2716	provarci	provare ci	VERB
2725	personalmente	personalmente	ADV
2727	b	b	NOUN
2737	morale	morale	ADJ
2739	caspita	caspitare	VERB
2743	occupo	occupo	VERB
2747	rendi	rendi	VERB
2748	preciso	preciso	ADJ
2753	totalmente	totalmente	ADV
2755	babbo	babboo	NOUN
2766	parlarmi	parlare mi	VERB
2772	eccellente	eccellente	ADJ
2773	originale	originale	ADJ
2774	muoverti	muovere ti	VERB
2775	stammi	stamma	NOUN
2778	probabile	probabile	ADJ
2779	lasciala	Lasciala	VERB
2781	jones	Jones	NOUN
2789	stan	stan	VERB
2793	yo	yo	NOUN
2796	champagne	champagna	NOUN
2800	troverai	trovere ai	VERB
2805	oliver	oliver	NOUN
2806	calmi	calmi	VERB
2809	vendita	venditare	NOUN
2810	togliti	toglire	VERB
2813	carcere	carcere	NOUN
2815	rock	rock	NOUN
2817	arthur	arthuro	NOUN
2822	single	singlee	ADJ
2827	passeggiata	passeggiata	NOUN
2829	amen	amen	ADV
2830	lasciarlo	lasciare lo	VERB
2833	lasciarti	lasciare ti	VERB
2836	dirvi	dire vi	VERB
2838	trovarti	trovare ti	VERB
2841	football	football	NOUN
2844	charlotte	charlotte	ADJ
2852	aiutarvi	aiutare vi	VERB
2853	opportunita	opportunita	NOUN
2857	pò	pò	ADV
2858	scendi	scendi	VERB
2859	episode	episode	NOUN
2860	sembro	sembro	NOUN
2869	essermi	essere mi	VERB
2870	terry	terry	NOUN
2876	sinceramente	sinceramente	ADV
2877	vorremmo	vorremmo	VERB
2881	ross	ross	VERB
2883	esca	ere	VERB
2885	attivita	attivita	NOUN
2891	ucciderti	uccidere ti	VERB
2895	lieto	lieto	ADJ
2896	confuso	confuso	ADJ
2900	portarla	portare la	VERB
2908	federale	federale	ADJ
2911	messico	Messico	ADJ
2921	red	red	NOUN
2922	dicessi	dicessare	VERB
2924	sufficiente	sufficiente	ADJ
2925	oscar	oscar	NOUN
2926	farete	farere	VERB
2927	calci	calca	NOUN
2939	uscendo	uscere	VERB
2941	penny	penny	NOUN
2943	vice	vice	ADJ
2944	rebecca	rebecca	NOUN
2951	cominciamo	comincere	VERB
2956	dormendo	dormere	VERB
2957	eccomi	eccomi	VERB
2961	jay	jay	NOUN
2963	esco	escare	VERB
2965	west	West	NOUN
2967	vederci	vedere ci	VERB
2968	sfortunatamente	sfortunatamente	ADV
2973	onestamente	onestamente	ADV
2979	casey	casey	NOUN
2980	fiero	fiero	ADJ
2981	spalla	spallo	ADJ
2986	portarmi	portare mi	VERB
2993	chiedermi	chiedere mi	VERB
2995	spari	spario	NOUN
2996	pochino	pochare	ADV
3007	corda	Corda	NOUN
3008	benzina	benzinare	NOUN
3009	dissi	dissi	VERB
3010	rick	ricko	NOUN
3014	king	King	NOUN
3020	capite	capite	ADJ
3026	lascero	lascero	VERB
3027	andrew	Andrew	VERB
3033	letteralmente	letteralmente	ADV
3035	ione	ione	NOUN
3037	frankie	frankie	VERB
3039	sociale	sociale	ADJ
3043	prendero	prenderare	VERB
3044	disgustoso	disgustoso	ADJ
3046	venerdi	venerdo	NOUN
3048	perdonami	perdonami	VERB
3058	conviene	convenere	VERB
3059	jamie	Jamie	ADJ
3066	tedesco	tedesco	ADJ
3070	nascita	nascita	NOUN
3078	universita	universito	NOUN
3080	illegale	illegale	ADJ
3081	man	man	NOUN
3082	on	on	NOUN
3083	big	big	NOUN
3087	piacevole	piacevole	ADJ
3091	chiederle	chiedere le	VERB
3092	cioccolato	cioccolare	NOUN
3093	farli	fare li	VERB
3099	talmente	talmente	ADV
3100	ricky	ricky	NOUN
3104	esserne	essere ne	VERB
3114	mangi	mangare	VERB
3116	potrò	potrò	VERB
3118	ethan	ethan	NOUN
3119	jackie	Jackie	NOUN
3121	tornerò	tornerò	VERB
3125	cooper	cooper	NOUN
3128	ufficialmente	ufficialmente	ADV
3136	stiano	stiano	VERB
3138	jesse	Jesse	ADJ
3141	online	online	NOUN
3143	fred	fred	NOUN
3144	metterci	mettere ci	VERB
3150	agio	agio	ADJ
3153	orgoglioso	orgoglioso	ADJ
3161	civile	civile	ADJ
3162	betty	Betty	NOUN
3168	aiutatemi	aiutatemi	VERB
3173	pago	pago	ADJ
3174	verrai	verrai	VERB
3176	mondiale	mondiale	ADJ
3179	avreste	avreste	VERB
3180	parlargli	parlarge li	VERB
3181	accada	accada	VERB
3192	doc	doc	NOUN
3200	mac	mac	NOUN
3201	aiutarlo	aiutare lo	VERB
3203	divertendo	divertere	VERB
3205	scientifica	scientifico	ADJ
3210	disponibile	disponibile	ADJ
3211	estremamente	estremamente	ADV
3216	fegato	fegato	NOUN
3217	stretto	stretto	ADJ
3218	torre	torrere	NOUN
3219	pessima	pessima	ADJ
3221	todd	todd	VERB
3226	cole	cola	NOUN
3228	porno	porno	ADV
3229	professionale	professionale	ADJ
3231	doug	doug	ADJ
3233	adatto	adatto	ADJ
3235	dille	dille	VERB
3237	brillante	brillante	ADJ
3243	darsi	dare si	VERB
3245	vegas	vegas	NOUN
3247	lascerò	Lascerò	VERB
3248	harvey	Harvey	NOUN
3251	tornera	tornerare	NOUN
3252	chiacchiere	chiacchiera	NOUN
3254	scoprirlo	scoprire lo	VERB
3255	maledetta	maledetto	ADJ
3256	deserto	deserto	ADJ
3258	mando	mandere	VERB
3260	ricordati	ricordare ti	VERB
3262	staro	Staro	VERB
3268	splendida	splendido	ADJ
3269	gliene	glieno	VERB
3270	intanto	intanto	ADV
3275	prenderò	prendeere	VERB
3284	prendilo	prendie lo	VERB
3288	lassù	lassù	ADV
3294	crudele	crudele	ADJ
3299	catherine	catherina	NOUN
3300	linda	linda	VERB
3302	owen	owen	NOUN
3304	sentirlo	sentire lo	VERB
3305	averci	avere ci	VERB
3313	sally	sally	NOUN
3320	capirlo	capire lo	VERB
3327	miller	Miller	NOUN
3329	racconti	racconto	NOUN
3336	black	black	NOUN
3338	datemi	datemi	VERB
3339	negativo	negativo	ADJ
3345	jess	jess	NOUN
3347	prenditi	prendire	VERB
3351	viviamo	vivare	VERB
3355	assassini	assassino	NOUN
3357	poterlo	potere lo	VERB
3360	shawn	shawn	NOUN
3362	prendersi	prendere si	VERB
3363	offro	offrore	VERB
3365	tornero	tornero	VERB
3366	caroline	carolina	ADJ
3368	smettetela	smettetele	VERB
3369	house	house	NOUN
3371	fidarti	fidare ti	VERB
3372	urgente	urgente	ADJ
3375	potro	potro	VERB
3380	rivederti	rivedere ti	VERB
3382	improvvisamente	improvviso	ADV
3401	synch	synch	NOUN
3402	connor	connor	VERB
3405	giovanotto	giovanurre	NOUN
3409	steven	steven	NOUN
3412	deluso	deluso	ADJ
3413	ditemi	ditemi	VERB
3418	avevate	avevate	VERB
3421	sposarmi	sposare mi	VERB
3423	romantico	romantico	ADJ
3430	tecnicamente	tecnicamente	ADV
3432	finto	finto	ADJ
3433	noioso	noioso	ADJ
3435	justin	Justin	NOUN
3439	piantala	piantae la	VERB
3441	gia'	gia	VERB
3444	bevo	bevo	VERB
3448	buffo	buffo	ADJ
3455	oscuro	oscuro	ADJ
3458	gang	gang	NOUN
3462	geniale	geniale	ADJ
3466	chiamarti	chiamare ti	VERB
3471	extra	extra	NOUN
3482	fermarlo	fermare lo	VERB
3488	responsabilita	responsabilita	NOUN
3489	preoccuparsi	preoccupare si	VERB
3493	mettilo	mettilo	VERB
3504	morso	morsare	NOUN
3508	nina	nina	NOUN
3510	realmente	realmente	ADV
3514	contea	Contea	NOUN
3519	entriamo	entrere	VERB
3521	ron	ron	NOUN
3522	simpatico	simpatico	ADJ
3524	delizioso	delizioso	ADJ
3525	fottiti	fottito	ADJ
3526	coraggioso	coraggioso	ADJ
3529	assicurarmi	assicurare mi	VERB
3540	gibbs	Gibbs	VERB
3543	sophie	sophie	NOUN
3547	lasciarla	lasciare la	VERB
3548	dylan	dylan	VERB
3555	nancy	Nancy	NOUN
3560	dennis	dennis	NOUN
3564	geloso	geloso	ADJ
3565	randy	randy	ADJ
3572	dicevi	dicevi	VERB
3576	eccitante	eccitante	ADJ
3579	han	han	VERB
3583	dacci	daccio	NOUN
3585	commerciale	commerciale	ADJ
3588	furbo	furbo	ADJ
3590	set	set	NOUN
3597	davis	davis	NOUN
3599	chissa	chisso	ADJ
3600	chiamarlo	chiamare lo	VERB
3601	grant	grant	NOUN
3602	odi	odi	VERB
3607	troverò	troverò	VERB
3610	brav'	brav	ADJ
3613	passiamo	passere	VERB
3614	pessimo	pessimo	ADJ
3617	uccido	uccidare	VERB
3618	trovero	trovero	VERB
3620	mmm	mmm	ADV
3621	servira	servirare	VERB
3624	diglielo	diglielo	NOUN
3626	essersi	essere si	VERB
3629	metterlo	mettere lo	VERB
3643	ebrei	ebreo	ADJ
3645	andranno	annide	VERB
3646	brown	Brown	NOUN
3648	guardarmi	guardare mi	VERB
3649	procedura	procedurare	NOUN
3651	mentale	mentale	ADJ
3658	party	party	NOUN
3660	spencer	spencer	NOUN
3663	attraente	attraente	ADJ
3665	dira	dirare	VERB
3667	accorto	accriro	VERB
3672	madame	madama	NOUN
3673	carol	Carol	NOUN
3682	vergine	vergine	ADJ
3683	ubriaca	ubriacare	ADJ
3688	dopotutto	dopotutto	ADV
3691	pura	puro	ADJ
3693	fatelo	fatelo	VERB
3710	fidarmi	fidare mi	VERB
3720	tornerai	tornerai	VERB
3721	fiato	fiato	NOUN
3723	margaret	margaret	ADJ
3726	wayne	Wayne	NOUN
3731	jules	Jules	NOUN
3733	foste	foste	VERB
3738	giapponese	giapponese	ADJ
