rank,noun,collocations,ru
3471,extra,,экстра/дополнительно
3488,responsabilita,,ответственность
3504,morsare,,кусать
3508,nina,,Нина
3514,Contea,,графство/округ
3521,ron,,Рон
3543,sophie,,Софи
3555,Nancy,,Нэнси
3560,dennis,,Деннис
3583,daccio,,даю
3590,set,,набор/множество
3597,davis,,Дэвис
3601,grant,,Грант
3624,diglielo,,скажи ему/скажи ей
3646,Brown,,Браун
3649,procedurare,,процедура
3658,party,,вечеринка
3660,spencer,,Спенсер
3672,madama,,мадам/госпожа
3673,Carol,,Кэрол
3721,fiato,,дыхание
3726,Wayne,,Уэйн
3731,Jules,,Джулс
3752,eli,,Эли
3765,nozza,,свадьба
3770,novita,,новость
3790,identire,,идентифицировать
3800,arrivera,,прибудет
3821,bico,,велосипед
3829,cavaliere,,рыцарь/всадник
3841,bonnia,,Бонни
3842,Whoa,,ого/ух ты
3845,velocitare,,ускорять
3855,deposito,,депозит/склад
3857,Walker,,Уокер
3868,booth,,кабина/будка
3888,Jenna,,Дженна
3895,edward,,Эдвард
3896,Giappone,,Япония
3905,verso,,к/в сторону/стих
3913,ken,,Кен
3926,Hill,,Хилл
3952,battito,,биение/удар
3980,Leslie,,Лесли
4001,lunede,,понедельник
4006,miles,,Майлс
4030,accompagno,,сопровождаю
4050,reato,,преступление
4053,carria,,карьера
4061,Villa,,вилла
4084,comitato,,комитет
4101,cameriere,,официант
4110,earl,,Эрл
4112,j,,джей
4124,istituto,,институт
4130,clay,,Клэй
4135,vaccio,,делаю
4143,matthew,,Мэттью
4151,funzionera,,будет работать
4152,staff,,персонал/штат
4167,prostituta,,проститутка
4185,Janet,,Джанет
4190,Brindisi,,тост/Бриндизи
4214,Frigo,,холодильник
4232,insalata,,салат
4261,baco,,червь/баг
4262,filmato,,видеозапись
4264,aliciare,,ключи/алиби
4278,ellie,,Элли
4295,sbirra,,коп/полицейский
4318,Halloween,,Хэллоуин
4344,autorito,,авторитет
4351,serial,,сериал/серийный
4375,chiamero,,позвоню
4381,Lois,,Лоис
4388,felix,,Феликс
4393,carattere,,характер
4405,prodotto,,продукт/товар
4409,finira,,закончится
4428,Lassu,,вверху/там наверху
4449,mestiere,,профессия/ремесло
4453,maya,,Майя
4458,sparata,,выстрел/заявление
4469,stivale,,сапог
4472,feci,,дерьмо/экскременты
4485,grillettare,,гриль/жарить
4497,uccidero,,убью
4500,operatoria,,операционная
4502,erico,,Эрик
4505,capacitare,,способность/уметь
4531,cottare,,варить/готовить
4551,presumo,,предполагаю
4553,dee,,богини
4556,qualita,,качество
4558,green,,Грин/зелёный
4561,iscrew,,экипаж/команда
4566,mitchell,,Митчелл
4594,yeah,,да/ага
4612,pubblicita,,реклама
4620,mickey,,Микки
4627,comunire,,сообщать/коммуницировать
4635,figato,,круто/офигенно
4642,Wade,,Уэйд
4643,pipio,,птенец/малыш
4645,Jill,,Джилл
4646,senz,,без
4657,consigliere,,советник/консильери
4658,ferito,,раненый
4673,malcolm,,Малкольм
4682,faccia,,лицо
4685,tracy,,Трейси
4691,sfortuno,,невезение
4697,spegno,,выключаю
4707,ehila,,привет/эй
4738,ronnia,,Ронни
4750,nora,,Нора
4759,moriro,,умру
4762,Barney,,Барни
4788,amber,,Эмбер
4789,candidare,,кандидат/выдвигать
4790,subsfactory,,субтитры
4793,out,,вне/наружу
4798,dozzinare,,дюжина/считать десятками
4807,Colin,,Колин
4820,eun,,один
4849,cameron,,Камерон
4857,chiacchierata,,беседа/разговор
4859,cam,,Кам
4863,appetito,,аппетит
4869,pam,,Пэм
4884,norman,,Норман
4905,dog,,собака
4910,partita,,матч/партия
4911,lancia,,копьё/автомобиль Ланча
4918,manetta,,наручник
4922,drew,,Дрю
4933,hunter,,охотник
4935,girl,,девушка/девочка
4936,preghierare,,молиться
4938,tuta,,комбинезон/спецовка
4945,stefan,,Стефан
4949,martedi,,вторник
4957,aspettame,,подожди меня
4960,daisy,,Дейзи
4965,Boy,,мальчик/парень
4970,stufore,,надоело
4980,Klaus,,Клаус
4993,stone,,Стоун
5001,minaccia,,угроза
5008,grare,,жарить
5034,ruth,,Рут
5036,quartier,,квартал/район
5038,databasa,,база данных
5085,ambasciare,,посольство/посланник
5097,pattugliare,,патрулировать
5118,melissa,,Мелисса
5127,giovedio,,четверг
5162,gita,,экскурсия/поход
5167,Katherine,,Кэтрин
5169,taro,,таро
5185,Christine,,Кристин
5195,carine,,милая
5196,salvatore,,Сальваторе
5201,bishop,,епископ
5220,cellulare,,мобильный телефон
5222,Andre,,Андре
5226,stuart,,Стюарт
5232,brooklyn,,Бруклин
5233,angel,,ангел
5242,chase,,погоня
5253,post,,почта/пост
5255,Seminterrato,,подвал
5258,won,,выиграл
5267,chiappa,,ягодица
5274,muoio,,умираю
5276,monsieur,,господин/мсье
5277,Felicita,,счастье
5282,turner,,Тёрнер
5288,pat,,Пэт
5297,bosco,,лес
5302,Gina,,Джина
5303,flynn,,Флинн
5312,beach,,пляж
5327,graham,,Грэм
5340,luttare,,бороться
5353,cocktailo,,коктейль
5390,jen,,Джен
5391,tac,,так/тик
5405,mcgee,,Макги
5420,collins,,Коллинз
5429,lira,,лира
5431,supermercato,,супермаркет
5438,more,,больше/ещё
5439,evvai,,ура/давай
5443,cassia,,кассия/корица
5445,senzatettere,,без дома/бездомный
5466,seattle,,Сиэтл
5469,Vacca,,корова
5472,banca,,банк
5483,Garcia,,Гарсия
5490,up,,вверх
5509,cale,,улица/переулок
5518,Kitty,,Китти
5530,Harper,,Харпер
5534,jin,,Джин
5537,ingegnere,,инженер
5547,connie,,Конни
5550,Wallace,,Уоллес
5559,manny,,Мэнни
5560,violet,,фиалка/фиолетовый
5573,bicchiere,,стакан
5586,tess,,Тесс
5605,caleb,,Калеб
5606,tucker,,Такер
5621,curtis,,Кёртис
5634,troy,,Трой
5681,fa il,,делает
5682,partito,,партия
5696,sorpresa,,сюрприз
5702,preghiera,,молитва
5705,grey,,Грэй/серый
5710,Statua,,статуя
5737,roryo,,Рори
5755,vomire,,блевать
5779,g,,же/г
5782,Benny,,Бенни
5790,Sharon,,Шэрон
5803,spia,,шпион/шпионка
5806,night,,ночь
5822,angia,,Анжела
5831,corso,,курс
5851,detestare,,ненавидеть
5858,parliamone,,поговорим об этом
5863,andersono,,Андерсон
5871,forma,,форма
5879,Lloyd,,Ллойд
5886,Lemon,,лимон
5890,nedo,,нужно
5901,Patty,,Пэтти
5903,denise,,Дениз
5912,joy,,Джой/радость
5918,long,,Лонг/длинный
5919,sid,,Сид
5936,terro,,Терри/страх
5944,eve,,Ив
5950,Clan,,клан
5951,Louise,,Луиза
5953,Avenue,,авеню/проспект
5970,rivoglio,,хочу обратно
5972,Maestra,,учительница
5975,brick,,кирпич
6001,manco,,не хватает/еле
6008,favola,,сказка
6012,Becky,,Бекки
6013,server,,сервер
6016,risparmio,,экономия/сбережение
6017,gemma,,драгоценный камень
6022,color,,цвет
6024,orleans,,Орлеан
6027,diploma,,диплом
6028,contenuto,,содержание/содержимое
6030,riga,,строка/линейка
6044,goccia,,капля
6046,vena,,вена
6048,alfa,,альфа
6050,foglia,,лист
6052,lampada,,лампа
6056,sconfitta,,поражение
6057,durata,,длительность
6058,salvataggio,,спасение
6060,lavanderia,,прачечная
6065,competizione,,соревнование
6068,vernice,,краска/лак
6069,round,,раунд
6070,freccia,,стрела
6071,gentilezza,,доброта/вежливость
6073,spreco,,трата/растрата
6076,commercio,,торговля/коммерция
6080,paraggio,,уровень/пари
6082,assassinio,,убийство
6084,suite,,люкс/апартаменты
6086,vendita,,продажа
6088,riabilitazione,,реабилитация
6089,rancore,,обида/злоба
6091,flusso,,поток
6095,quantità,,количество
6100,mm,,мм
6101,foglio,,лист
6105,vincio,,выигрываю
6111,nota,,заметка/нота
6118,diagnosi,,диагноз
6128,queen,,королева
6135,codico,,код
6137,satana,,сатана
6142,astronave,,космический корабль
6145,via,,улица/путь
6149,saggezza,,мудрость
6150,approvazione,,одобрение
6155,nuvola,,облако
6163,candela,,свеча
6165,bisteccare,,стейк/бифштекс
6173,alexander,,Александр
6179,letto,,кровать
6181,riscontro,,подтверждение/квитанция
6184,palmer,,Палмер
6186,Cristallo,,кристалл
6188,applauso,,аплодисменты
6191,cicatore,,шрам
6194,riferimento,,ссылка/указание
6195,infermeria,,лазарет/больница
6196,riconoscimento,,признание/распознавание
6198,molo,,причал/мол
6199,erede,,наследник
6209,protagonista,,главный герой/протагонист
6213,force,,сила
6215,animo,,душа/дух
6219,impulso,,импульс/порыв
6225,oscurire,,затемнять/скрывать
6237,commento,,комментарий
6238,sensore,,датчик
6255,ego,,эго
6258,Judy,,Джуди
6260,curriculum,,резюме/учебный план
6262,budget,,бюджет
6263,priorito,,приоритет
6264,nerd,,ботаник/гик
6266,sindacato,,профсоюз
6269,dimissione,,выписка/увольнение
6270,spedizione,,отправка/экспедиция
6272,multa,,штраф
6274,probabilita,,вероятность
6276,solitudine,,одиночество
6277,mento,,подбородок
6284,elvis,,Элвис
6290,professione,,профессия
6291,commedia,,комедия
6294,scacco,,шах
6297,calzino,,носок
6302,detenuto,,заключённый
6303,yang,,Ян
6304,omar,,Омар
6306,Lawrence,,Лоуренс
6311,business,,бизнес/дело
6313,salita,,подъём
6316,f,,ф
6317,quantita,,количество
6323,campionato,,чемпионат
6325,dawn,,Дон/рассвет
6327,nicky,,Ники
6330,volontario,,волонтёр/доброволец
6338,ginnastica,,гимнастика
6341,yoga,,йога
6342,pipì,,пи-пи/моча
6348,ranger,,рейнджер
6350,colonna,,колонна/столбец
6353,conforto,,комфорт/утешение
6355,vicepresidente,,вице-президент
6366,supervisore,,руководитель/супервайзер
6370,ninja,,ниндзя
6371,gwen,,Гвен
6374,cereale,,хлопья/злаки
6383,missile,,ракета/снаряд
6390,cambierare,,изменю/поменяю
6402,cd,,компакт-диск
6403,crescita,,рост
6405,radar,,радар
6409,nebbia,,туман
6411,sconto,,скидка
6413,portale,,портал
6416,etichetta,,этикетка/ярлык
6420,entusiasmo,,энтузиазм
6428,probabilità,,вероятность
6433,fisher,,Фишер
6434,regione,,регион/область
6438,iniezione,,инъекция/укол
6440,woo,,ву/ува
6441,grano,,зерно/пшеница
6448,stevia,,стевия
6450,deposizione,,показание/отложение
6451,galassia,,галактика
6455,stark,,Старк
6461,archivio,,архив
6464,Jared,,Джаред
6465,intese,,понял/договорились
6466,xena,,Зена
6477,sequenza,,последовательность
6478,colonia,,колония
6480,esplosivo,,взрывчатка/взрывной
6481,alleanza,,альянс/союз
6482,fenomeno,,феномен/явление
6483,south,,юг
6485,pop,,поп
6488,fetta,,ломоть/кусок
6489,obbligo,,обязанность
6490,artia,,артерия
6491,cuoco,,повар
6493,testo,,текст
6495,panno,,ткань/полотно
6497,Gabinetto,,кабинет/туалет
6500,hammond,,Хаммонд
6504,provero,,докажу
6511,circuito,,цепь/контур
6514,pianoforte,,пианино
6515,orbita,,орбита
6520,preavviso,,предупреждение
6525,laurelre,,Лорел
6527,douglas,,Дуглас
6529,costruzione,,строительство
6533,casco,,шлем
6535,pirata,,пират
6536,richia,,крик/зов
6537,scudo,,щит
6539,Jeffrey,,Джеффри
6546,mikey,,Майки
6550,Willie,,Вилли
6555,riva,,берег
6557,prato,,луг/газон
6558,assalto,,нападение/штурм
6563,guardiano,,страж/охранник
6567,tesi,,тезис/диссертация
6568,orrore,,ужас
6570,urlo,,крик/вой
6572,bowling,,боулинг
6578,cecchino,,снайпер
6583,scarico,,слив/выгрузка
6587,barone,,барон
6590,mercoledi,,среда
6591,pallone,,мяч/воздушный шар
6593,reggiseno,,бюстгальтер
6595,hobby,,хобби
6596,calcolo,,расчёт/вычисление
6599,ranch,,ранчо
6602,jazz,,джаз
6604,asso,,туз
6606,omaggio,,дань/подарок
6608,lotteria,,лотерея
6609,bottone,,кнопка/пуговица
6626,dramma,,драма
6627,serratura,,замок
6628,dannato,,проклятый
6629,attentato,,покушение
6631,zampa,,лапа
6632,latino,,латынь/латиноамериканец
6634,hockey,,хоккей
6637,umanitare,,гуманитарный
6638,bancone,,барная стойка/прилавок
6639,look,,вид/взгляд
6644,pro,,за/про
6646,innocenza,,невинность
6649,rilascio,,освобождение/выпуск
6661,supplico,,умоляю
6665,destinazione,,назначение/пункт назначения
6678,maniaco,,маньяк
6680,Baker,,Бейкер
6681,iris,,ирис
6687,soffirre,,страдать
6691,senato,,сенат
6692,schmidt,,Шмидт
6693,brividio,,дрожь/мурашки
6696,bananare,,банан
6698,venditore,,продавец
6702,mattinata,,утро/утреннее время
6704,riscatto,,выкуп/искупление
6713,cha,,ча/чай
6715,sasha,,Саша
6719,menzogna,,ложь
6721,foster,,Фостер
6722,fotografo,,фотограф
6723,fulmine,,молния
6727,porter,,Портер
6733,marijuana,,марихуана
6735,manicomio,,сумасшедший дом/психбольница
6736,pompiere,,пожарный
6742,illusione,,иллюзия
6756,demonio,,демон
6757,asciugamano,,полотенце
6765,frattura,,перелом/трещина
6768,stephania,,Стефания
6773,negre,,негры/чёрные
6780,roulotte,,автоприцеп/караван
6784,riscaldamento,,отопление/разогрев
6788,sosta,,остановка/пауза
6789,cannone,,пушка
6791,allucinazione,,галлюцинация
6796,personalità,,личность
6797,dipendenza,,зависимость
6801,uccellino,,птичка
6802,matty,,Мэтти
6808,batman,,Бэтмен
6810,campana,,колокол
6813,sciopero,,забастовка
6815,toast,,тост
6825,operaio,,рабочий
6826,min,,мин
6829,lenny,,Ленни
6830,Murray,,Мюррей
6831,agenda,,ежедневник/повестка
6832,blog,,блог
6835,Kara,,Кара
6836,jonah,,Иона/Джона
6846,occupero,,займу/оккупирую
6849,salitare,,здороваться
6852,provino,,прослушивание/проба
6853,Femminuccia,,девчонка/бабник
6856,sheilae,,Шейла
6858,precisione,,точность
6860,dj,,диджей
6864,melania,,Мелания
6868,central,,центральный
6871,Karma,,карма
6874,ossessione,,одержимость/навязчивая идея
6878,sirenare,,сирена
6880,aspettare mi,,подожди меня
6885,reynoldso,,Рейнольдс
6887,verma,,Верма
6894,Juliette,,Джульетта
6896,comprensione,,понимание
6901,dimostrazione,,демонстрация
6903,tasso,,уровень/такса/куница
6904,axl,,Аксел
6905,gangster,,гангстер
6912,palo,,столб/шест
6913,tattica,,тактика
6916,val,,Вэл
6925,ape,,пчела
6926,marinaio,,моряк
6928,cavaliero,,рыцарь/всадник
6929,espertare,,эксперт/опытный
6932,fato,,судьба/рок
6938,sacchetto,,пакет/мешочек
6941,garanzia,,гарантия
6943,Mona,,Мона
6944,approccio,,подход
6945,ragno,,паук
6947,ivy,,Плющ/Иви
6954,papo,,бабушка/дедушка
6959,salone,,салон/зал
6962,omicida,,убийца
6963,massacro,,резня/бойня
6964,ballerina,,балерина
6967,seme,,семя/косточка
6969,sherlock,,Шерлок
6971,gestione,,управление
6973,torcia,,факел/фонарик
6975,marea,,прилив
6977,piper,,Пайпер
6980,costola,,ребро
6981,disgrazia,,несчастье/позор
6983,hacker,,хакер
6989,fungo,,гриб
6991,rex,,Рекс
6997,antenato,,предок
6999,silver,,Сильвер/серебро
7000,portiere,,портье/вратарь
7001,carità,,милосердие/благотворительность
7011,software,,программное обеспечение
7014,elefante,,слон
7016,schedare,,картотека/регистрировать
7018,audizione,,прослушивание
7029,georgia,,Джорджия
7030,epidemia,,эпидемия
7032,rospo,,жаба
7040,pompa,,насос
7043,volto,,лицо
7049,intelligence,,разведка/интеллект
7050,ash,,Эш/зола
7052,giochetto,,игрушка/трюк
7053,disordine,,беспорядок
7054,priorità,,приоритет
7059,Clarke,,Кларк
7065,limousine,,лимузин
7070,cheerleader,,чирлидер
7073,carbone,,уголь
7074,pugnale,,кинжал
7076,sapone,,мыло
7077,gin,,джин
7081,posa,,поза
7083,chen,,Чен
7085,Hugh,,Хью
7096,dibattito,,дебаты
7098,ring,,кольцо/ринг
7101,spaghetto,,спагетти
7106,candidato,,кандидат
7107,Ward,,Уорд
7110,creazione,,создание/творение
7111,sceneggiatura,,сценарий
7118,crana,,череп
7119,ohio,,Огайо
7124,delusione,,разочарование
7128,disperazione,,отчаяние
7132,raffreddore,,простуда
7134,schianto,,крах/столкновение
7141,categoria,,категория
7143,filosofia,,философия
7145,Chang,,Чанг
7157,tacco,,каблук
7160,dominio,,господство/домен
7162,invasione,,вторжение
7170,democrazia,,демократия
7171,trapianto,,трансплантация
7172,Moore,,Мур
7176,volpe,,лиса
7177,dossier,,досье
7179,pesta,,толчёный/давка
7182,inchiesta,,расследование
7184,soprannome,,прозвище
7189,musical,,мюзикл
7195,cemento,,цемент
7197,frode,,мошенничество
7200,inganno,,обман
7204,sung,,Сан
7207,yen,,иена
7211,radice,,корень
7214,fusione,,слияние/плавка
7216,generatore,,генератор
7228,tequila,,текила
7229,squale,,акула
7231,acquisto,,покупка
7236,Jasper,,Джаспер
7240,ciambella,,пончик/бублик
7241,stupidaggine,,глупость
7243,prosciutto,,ветчина
7244,edizione,,издание
7246,cenere,,пепел/зола
7247,iniziativa,,инициатива
7248,Mindy,,Минди
7255,contesse,,графиня
7260,mancia,,чаевые
7263,donnia,,женщина/дама
7264,nascondiglio,,укрытие/тайник
7269,limone,,лимон
7270,barriera,,барьер/преграда
7271,finestrino,,окошко
7276,presentimento,,предчувствие
7277,gratitudina,,благодарность
7279,apparecchio,,аппарат/прибор/брекеты
7282,panchina,,скамейка
7286,ji,,джи
7288,contadino,,крестьянин/фермер
7290,fondazione,,фонд/основание
7291,sbarra,,засов/решётка
7294,mito,,миф
7296,end,,конец
7298,adozione,,усыновление/усыновление
7304,seta,,шёлк
7305,ditta,,фирма/компания
7322,Jun,,Джун
7326,allerta,,тревога/предупреждение
7339,pollice,,большой палец/дюйм
7340,ostacolo,,препятствие
7352,poeta,,поэт
7354,polo,,поло
7356,mutandina,,трусики
7358,know,,знать
7362,can,,может/банка
7372,squillo,,звонок
7374,country,,страна/деревня
7376,bunker,,бункер
7381,alloggio,,жильё/помещение
7383,poltrona,,кресло
7390,sufficienza,,достаточность
7391,gray,,Грэй/серый
7393,american,,американец
7395,grandezza,,величие/величина
7396,percy,,Перси
7398,Rocky,,Рокки
7400,definizione,,определение
7402,sudore,,пот
7403,bud,,Бад/почка
7406,shepherd,,пастух/Шепард
7407,pancake,,блинчик
7408,gelosia,,ревность
7409,gallina,,курица
7410,aquila,,орёл
7411,Bestiame,,скот
7413,Lite,,ссора/спор
7416,ometto,,маленький человечек/человечек
7419,muso,,морда/рыло
7424,benone,,прекрасно
7426,broadway,,Бродвей
7434,giubbotto,,куртка
7439,residenza,,резиденция/местожительство
7443,aspettativa,,ожидание
7446,pecora,,овца
7448,Kirk,,Кёрк
7456,cervo,,олень
7462,ficare,,втыкать/совать
7466,maglione,,свитер
7467,sponsor,,спонсор
7468,stima,,оценка/уважение
7469,bacon,,бекон
7474,tana,,берлога/логово
7475,seo,,СЕО
7481,punteggio,,счёт/очки
7483,soo,,су
7484,vigilia,,канун
7486,sasso,,камень
7488,sottomarino,,подводная лодка
7492,vescovo,,епископ
7494,Lupin,,Люпен
7502,libretto,,брошюра/либретто
7503,litro,,литр
7505,farmacia,,аптека
7510,politica,,политика
7511,cognare,,знать/понимать
7517,piegare,,сгибать
7518,discrezione,,усмотрение/осмотрительность
7521,Woody,,Вуди
7528,dozzina,,дюжина
7531,scrittura,,письмо/письменность
7537,tonnellata,,тонна
7544,senno,,рассудок/ум
7551,notiziario,,новости/информационная программа
7557,altare,,алтарь
7559,esposizione,,экспозиция/выставка
7560,tecnica,,техника
7562,news,,новости
7568,lente,,линза
7572,dawson,,Доусон
7574,pano,,ткань/хлеб
7577,guarigione,,исцеление
7578,spot,,ролик/место
7579,scotty,,Скотти
7580,air,,воздух
7584,ascia,,топор
7590,oliva,,оливка
7592,cestinare,,выбрасывать/корзина
7596,circolazione,,циркуляция/обращение
7599,calendario,,календарь
7600,insegno,,знак/вывеска
7604,soddisfazione,,удовлетворение
7606,cavernare,,пещера
7612,sorso,,глоток
7614,frontiera,,граница/фронт
7615,jeda,,Джеда
7616,defunto,,покойный/умерший
7617,profitto,,прибыль
7621,confraternita,,братство
7622,portatemi,,принесите мне/отведите меня
7623,semestre,,семестр
7629,razzo,,ракета
7632,psicologo,,психолог
7636,scadenza,,срок годности/истечение
7637,bong,,бонг
7643,nicholas,,Николас
7646,ricchezza,,богатство
7647,Homer,,Гомер
7654,Sophia,,София
7656,turista,,турист
7660,balla,,балл/ложь
7668,rudy,,Руди
7671,macellaio,,мясник
7672,What,,что
7677,capanno,,сарай/навес
7679,donatore,,донор
7681,cospirazione,,заговор
7682,shin,,Шин
7684,picnic,,пикник
7685,barattolo,,банка
7689,Wall,,стена
7696,nsa,,АНБ
7704,manica,,рукав
7706,mentirmo,,солгать мне
7710,nucleo,,ядро
7713,app,,приложение
7716,freno,,тормоз
7721,side,,сторона/бок
7722,invito,,приглашение
7724,vivian,,Вивиан
7727,morfina,,морфин
7729,crociera,,круиз
7730,arabo,,араб
7731,immondizia,,мусор
7732,corrispondenza,,корреспонденция/переписка
7741,falco,,сокол
7742,bonus,,бонус
7743,legna,,дрова
7748,monitor,,монитор
7752,feccia,,отброс/накипь
7755,Braccialetto,,браслет
7762,sidney,,Сидней
7763,Baciami,,поцелуй меня
7769,privilegio,,привилегия
7771,ironia,,ирония
7772,smoking,,смокинг
7773,manzo,,говядина/бык
7774,song,,песня
7776,ricevimento,,приём
7778,cocco,,кокос/любимец
7781,abuso,,злоупотребление
7784,feria,,праздник/выходной
7790,cagnolino,,собачонка/пёсик
7794,cantiere,,стройка
7797,secchio,,ведро
7802,frammento,,осколок/фрагмент
7805,forbico,,ножницы
7806,batto,,бью/стучу
7807,vaccino,,вакцина
7808,individuo,,индивид/лицо
7814,Pope,,Папа Римский
7816,bum,,бум/бах
7817,palude,,болото
7819,zucca,,тыква/голова
7820,carrello,,тележка/корзина
7822,esibizione,,выступление
7823,mais,,кукуруза
7827,Fitz,,Фитц
7828,strip,,полоса/стриптиз
7829,creatore,,создатель
7831,benessere,,благополучие
7838,interruzione,,прерывание
7842,arancia,,апельсин
7843,coppa,,кубок/чаша
7853,particella,,частица
7854,Kathy,,Кэти
7855,terrorismo,,терроризм
7856,marca,,бренд/марка
7857,dessert,,десерт
7864,sonny,,Сонни
7866,mandy,,Мэнди
7870,quaranteno,,карантин
7874,premuto,,нажатый
7877,terapista,,терапевт
7878,visitatore,,посетитель
7884,federazione,,федерация
7885,Baxter,,Бакстер
7889,Merlino,,Мерлин
7891,concentrazione,,концентрация
7895,incrocio,,перекрёсток
7897,damieno,,Дэмиен
7899,chan,,Чан
7901,joshua,,Джошуа
7905,Caserma,,казарма
7906,ahia,,ой/ай
7909,attrazione,,притяжение/аттракцион
7913,tessera,,карточка/купон
7926,marciapiede,,тротуар
7937,furia,,ярость/фурия
7938,ferrovia,,железная дорога
7943,domicilio,,местожительство/дом
7945,tartaruga,,черепаха
7947,sushi,,суши
7949,casinò,,казино
7950,oz,,унция/Оз
7952,apocalisse,,апокалипсис
7954,shelly,,Шелли
7959,risonanza,,резонанс
7963,pos,,терминал/позиция
7968,uva,,виноград
7969,curiosità,,любопытство
7970,lotto,,лотерея/лот
7971,parata,,парад
