rank	original	lemma	POS	tag
164	amico	amico	NOUN	S
165	ed	e	CCONJ	CC
166	posto	porre	NOUN	S
167	nessuno	nessuno	PRON	PI
168	via	via	ADV	B
169	cos'	cos	DET	S
170	fai	fare	VERB	V
171	signore	signore	NOUN	S
172	meglio	meglio	ADV	B
173	cazzo	cazzo	NOUN	S
174	dai	da il	ADP	E_RD
175	dal	da il	ADP	E_RD
176	vuole	volere	VERB	V
177	sembra	sembrare	VERB	V
178	giorno	giorno	NOUN	S
179	ogni	ogni	DET	DI
180	modo	modo	NOUN	S
181	senza	senza	ADP	E
182	vedere	vedere	VERB	V
183	dobbiamo	dovere	VERB	VM
184	signor	signore	NOUN	S
185	qualche	qualche	DET	DI
186	dispiace	dispiacere	VERB	V
187	penso	pensare	VERB	V
188	ecco	ecco	ADV	B
189	parlare	parlare	VERB	V
190	tra	tra	ADP	E
191	mamma	mamma	NOUN	S
192	già	già	ADV	B
193	sarebbe	essere	VERB	V
194	dalla	da il	ADP	E_RD
195	troppo	troppo	ADV	B
196	fosse	essere	VERB	V
197	possiamo	potere	VERB	VM
198	ce	ce	PRON	PC
199	nuovo	nuovo	ADJ	A
200	male	male	ADV	B
201	madre	madre	NOUN	S
202	avete	avere	VERB	V
203	tanto	tanto	ADV	B
204	favore	favore	NOUN	S
205	successo	successo	NOUN	S
206	vai	vai	VERB	V
207	sulla	su il	ADP	E_RD
208	giusto	giusto	ADJ	A
209	sa	sapere	VERB	V
210	miei	mio	DET	AP
211	aspetta	aspettare	VERB	V
212	avere	avere	VERB	V
213	altra	altro	PRON	DI
214	farlo	fare lo	VERB	V_PC
215	alle	a il	ADP	E_RD
216	facendo	fare	VERB	V
217	abbia	avere	VERB	VA
218	momento	momento	NOUN	S
219	ero	essere	VERB	V
220	aveva	avere	VERB	V
221	ragazzi	ragazzo	NOUN	S
222	deve	dovere	VERB	VM
223	persone	persona	NOUN	S
224	nostro	nostro	DET	AP
225	tipo	tipo	NOUN	S
226	prego	pregare	VERB	V
227	grande	grande	ADJ	A
228	può	potere	VERB	VM
229	senti	sentire	VERB	V
230	appena	appena	ADV	B
231	potrebbe	potere	VERB	VM
232	soldi	soldo	NOUN	S
233	dice	dire	VERB	V
234	sapere	sapere	VERB	V
235	tre	tre	NUM	N
236	oggi	oggi	ADV	B
237	questi	questo	PRON	PD
238	piace	piacere	VERB	V
239	idea	idea	NOUN	S
240	siete	essere	VERB	V
241	ai	a il	ADP	E_RD
242	avevo	avere	VERB	VA
243	figlio	figlio	NOUN	S
244	accordo	accordo	NOUN	S
245	gente	gente	NOUN	S
246	sicuro	sicuro	ADJ	A
247	vieni	vieni	VERB	VA
248	degli	di il	ADP	E_RD
249	guarda	guardare	VERB	V
250	dentro	dentro	ADV	B
251	trovato	trovare	VERB	V
252	queste	questo	PRON	PD
253	caso	caso	NOUN	S
254	forza	forza	NOUN	S
255	dov'	dov	VERB	VA
256	tutte	tutto	PRON	PI
257	pensi	pensare	VERB	V
258	signora	signore	NOUN	S
259	faccio	fare	VERB	V
260	nome	nome	NOUN	S
261	avuto	avere	VERB	V
262	problema	problema	NOUN	S
263	altri	altro	PRON	PI
264	puo	puo	VERB	VM
265	aver	avere	VERB	VA
266	mondo	mondo	NOUN	S
267	tutta	tutto	DET	T
268	preso	prendere	VERB	V
269	nulla	nulla	PRON	PI
270	nostra	nostro	DET	AP
271	donna	donna	NOUN	S
272	stare	stare	VERB	V
273	basta	bastare	VERB	V
274	insieme	insieme	ADV	B
275	faccia	fare	VERB	V
276	ragazza	ragazzo	NOUN	S
277	subito	subito	ADV	B
278	famiglia	famiglia	NOUN	S
279	ragazzo	ragazzo	NOUN	S
280	volevo	volere	VERB	VM
281	okay	okay	NOUN	S
282	sentito	sentire	VERB	V
283	ah	ah	INTJ	I
284	stesso	stesso	ADJ	A
285	ragione	ragione	NOUN	S
286	sarà	essere	VERB	V
287	tuoi	tuo	PRON	PP
288	capito	capire	VERB	V
289	notte	notte	NOUN	S
290	volte	volta	NOUN	S
291	testa	testa	NOUN	S
292	serve	servire	VERB	V
293	tesoro	tesoro	NOUN	S
294	sotto	sotto	ADV	B
295	eh	eh	INTJ	I
296	suoi	suo	DET	AP
297	vado	vado	VERB	V
298	sara	sara	VERB	V
299	dato	dare	VERB	V
300	stiamo	stare	VERB	VA
301	bella	bello	ADJ	A
302	scusa	scusare	VERB	V
303	erano	essere	VERB	V
304	pensavo	pensare	VERB	V
305	avrei	avere	VERB	VA
306	prendere	prendere	VERB	V
307	buona	buono	ADJ	A
308	porta	portare	VERB	V
309	bello	bello	ADJ	A
310	moglie	moglie	NOUN	S
311	vorrei	volere	VERB	VM
312	storia	storia	NOUN	S
313	succede	succedere	VERB	V
314	morto	morire	VERB	V
315	cercando	cercare	VERB	V
316	dici	dici	VERB	V
317	persona	persona	NOUN	S
318	pronto	pronto	ADJ	A
319	meno	meno	ADV	B
320	dovuto	dovere	VERB	VM
321	avanti	avanti	ADV	B
322	capisco	capire	VERB	V
323	secondo	secondo	ADP	E
324	venire	venire	VERB	V
325	polizia	polizia	NOUN	S
326	lì	lì	ADV	B
327	avrebbe	avere	VERB	VA
328	stanno	stare	VERB	VA
329	mentre	mentre	SCONJ	CS
330	letto	leggere	VERB	V
331	fino	fino	ADV	B
332	dico	dire	VERB	V
333	amici	amico	NOUN	S
334	fine	fine	NOUN	S
335	aiuto	aiuto	NOUN	S
336	paura	paura	NOUN	S
337	fratello	fratello	NOUN	S
338	stavo	stare	VERB	VA
339	uomini	uomo	NOUN	S
340	nell'	nell	ADP	E_RD
341	domani	domani	ADV	B
342	facciamo	fare	VERB	V
343	abbastanza	abbastanza	ADV	B
344	capo	capo	NOUN	S
345	amore	amore	NOUN	S
346	nei	in il	ADP	E_RD
347	ucciso	uccidere	VERB	V
348	state	essere	VERB	VA
349	piano	piano	NOUN	S
350	macchina	macchina	NOUN	S
351	trovare	trovare	VERB	V
352	comunque	comunque	ADV	B
353	vediamo	vedere	VERB	V
354	giorni	giorno	NOUN	S
355	nemmeno	nemmeno	ADV	BN
356	mano	mano	NOUN	S
357	dall'	dall	ADP	E_RD
358	presto	presto	ADV	B
359	stati	essere	VERB	VA
360	merda	merda	NOUN	S
361	far	fare	VERB	V
362	bambino	bambino	NOUN	S
363	andato	andare	VERB	V
364	vedo	vedere	VERB	V
365	tornare	tornare	VERB	V
366	quelle	quello	PRON	PD
367	cio	cio	PRON	PE
368	primo	primo	ADJ	NO
369	vostro	vostro	DET	AP
370	neanche	neanche	ADV	BN
371	sera	sera	NOUN	S
372	giro	giro	NOUN	S
373	morte	morto	NOUN	S
374	e'	e	CCONJ	CC
375	qua	qua	ADV	B
376	pensato	pensare	VERB	V
377	buon	buono	ADJ	A
378	anno	anno	NOUN	S
379	mie	mio	PRON	PE
380	diavolo	diavolo	NOUN	S
381	quasi	quasi	ADV	B
382	piacere	piacere	NOUN	S
383	bel	belo	ADJ	A
384	dovrei	dovrei	VERB	VM
385	nessun	nessuno	DET	DI
386	contro	contro	ADP	E
387	stessa	stesso	ADJ	A
388	felice	felice	ADJ	A
389	colpa	colpa	NOUN	S
390	punto	punto	NOUN	S
391	andata	andare	VERB	V
392	dovrebbe	dovere	VERB	VM
393	vedi	vedere	VERB	V
394	quale	quale	ADP	PQ
395	chiesto	chiedere	VERB	V
396	invece	invece	ADV	B
397	perchè	perché	SCONJ	CS
398	migliore	migliore	ADJ	A
399	nostri	nostro	DET	AP
400	finito	finire	VERB	V
401	figlia	figlio	NOUN	S
402	dovresti	dovresti	VERB	VM
403	papa	Papa	NOUN	S
404	almeno	almeno	ADV	B
405	sento	sentire	VERB	V
406	quei	quello	DET	DD
407	col	con il	ADP	E_RD
408	ore	ora	NOUN	S
409	passato	passare	VERB	S
410	magari	magari	ADV	B
411	minuti	minuto	NOUN	S
412	terra	terra	NOUN	S
413	vostra	vostro	DET	AP
414	strada	strada	NOUN	S
415	sola	solo	ADJ	A
416	credi	credere	VERB	V
417	importante	importante	ADJ	A
418	sue	suo	DET	AP
419	salve	salvo	ADJ	A
420	settimana	settimana	NOUN	S
421	perso	perdere	VERB	V
422	uscire	uscire	VERB	V
423	parlato	parlare	VERB	V
424	papà	papà	NOUN	S
425	stasera	stasera	ADV	B
426	scusi	scusi	ADV	V
427	dollari	dollaro	NOUN	S
428	occhi	occhio	NOUN	S
429	mani	mano	NOUN	S
430	ultima	ultimo	ADJ	NO
431	possibile	possibile	ADJ	A
432	scuola	scuola	NOUN	S
433	significa	significare	VERB	V
434	sapevo	sapere	VERB	V
435	nelle	in il	ADP	E_RD
436	potrei	potere	VERB	VM
437	stava	stare	VERB	VA
438	bambini	bambino	NOUN	S
439	eri	erio	VERB	B
440	importa	importare	VERB	V
441	indietro	indietro	ADV	B
442	riesco	riesco	VERB	V
443	sangue	sangue	NOUN	S
444	chiama	chiamare	VERB	V
445	messo	mettere	VERB	V
446	piccolo	piccolo	ADJ	A
447	traduzione	traduzione	NOUN	S
448	tardi	tardi	ADV	B
449	cuore	cuore	NOUN	S
450	marito	marito	NOUN	S
451	viene	venire	VERB	VA
452	venuto	venire	VERB	V
453	ieri	ieri	ADV	B
454	spero	sperare	VERB	V
455	ricordi	ricordo	NOUN	S
456	quelli	quello	PRON	PD
457	dovremmo	dovere	VERB	VM
458	lasciato	lasciare	VERB	V
459	ascolta	ascoltare	VERB	V
460	difficile	difficile	ADJ	A
461	quell'	quell	DET	DD
462	auto	auto	NOUN	S
463	chiamato	chiamare	VERB	V
464	ciò	ciò	PRON	PD
465	altre	altro	PRON	PI
466	parlando	parlare	VERB	V
467	pensare	pensare	VERB	V
468	fantastico	fantastico	ADJ	A
469	fatta	fare	VERB	V
470	numero	numero	NOUN	S
471	veramente	veramente	ADV	B
472	fanno	fare	VERB	V
473	com'	com	NOUN	SP
474	serio	serio	ADJ	A
475	possa	potere	VERB	VM
476	fossi	fosso	NOUN	V
477	entrare	entrare	VERB	V
478	anch'	anch	ADP	E
479	qualsiasi	qualsiasi	DET	DI
480	pensa	pensare	VERB	V
481	dicendo	dire	VERB	V
482	acqua	acqua	NOUN	S
483	portato	portare	VERB	V
484	stanza	stanza	NOUN	S
485	problemi	problema	NOUN	S
486	forte	forte	ADJ	A
487	nessuna	nessuno	DET	DI
488	lascia	lasciare	VERB	V
489	amo	amare	VERB	V
490	roba	roba	NOUN	S
491	agente	agente	NOUN	S
492	dietro	dietro	ADV	B
493	corpo	Corpo	NOUN	S
494	pare	parere	VERB	V
495	sentire	sentire	VERB	V
496	foto	foto	NOUN	S
497	telefono	telefono	NOUN	S
498	voleva	volere	VERB	VM
499	poco	poco	ADV	B
500	prendi	prendere	VERB	V
501	piccola	piccolo	ADJ	A
502	vicino	vicino	ADV	B
503	quest'	quest	DET	DD
504	sacco	sacco	NOUN	S
505	stia	stare	VERB	VA
506	capire	capire	VERB	V
507	potuto	potere	VERB	VM
508	cinque	cinque	NUM	N
509	strano	strano	ADJ	A
510	tue	tuo	PRON	PE
511	andando	andare	VERB	V
512	donne	donna	NOUN	S
513	sappiamo	sapere	VERB	V
514	bravo	bravo	ADJ	A
515	ragazze	ragazza	NOUN	S
516	festa	festa	NOUN	S
517	senso	senso	NOUN	S
518	genere	genere	NOUN	S
519	quattro	quattro	NUM	N
520	dare	dare	VERB	V
521	attimo	attimo	NOUN	S
522	sorella	sorella	NOUN	S
523	pure	pure	ADV	B
524	probabilmente	probabilmente	ADV	B
525	film	film	NOUN	S
526	parla	parlare	VERB	V
527	ufficio	ufficio	NOUN	S
528	verso	verso	ADP	E
529	mesi	mese	NOUN	S
530	farti	fare ti	VERB	V_PC
531	unica	unico	ADJ	A
532	morire	morire	VERB	V
533	signorina	signorino	NOUN	S
534	vecchio	vecchio	ADJ	A
535	domanda	domandare	NOUN	V
536	ben	bene	ADV	B
537	guerra	guerra	NOUN	S
538	dottore	dottore	NOUN	S
539	conosco	conoscere	VERB	V
540	qual	quale	PRON	PQ
541	vivere	vivere	VERB	V
542	vista	vedere	VERB	V
543	prova	provare	VERB	V
544	nuova	nuovo	ADJ	A
545	ricordo	ricordare	NOUN	V
546	divertente	divertente	ADJ	A
547	avessi	avere	VERB	VA
548	sicura	sicuro	ADJ	A
549	paio	paio	NOUN	S
550	conto	conto	NOUN	S
551	perdere	perdere	VERB	V
552	dimmi	dimmi	VERB	V
553	farmi	fare mi	VERB	V_PC
554	figli	figlio	NOUN	S
555	mezzo	mezzo	NOUN	S
556	lavorare	lavorare	VERB	V
557	unico	unico	ADJ	A
558	esattamente	esattamente	ADV	B
559	squadra	squadra	NOUN	S
560	esatto	esatto	ADJ	A
561	possono	potere	VERB	VM
562	fate	fare	VERB	V
563	faro	faro	NOUN	S
564	sapete	sapere	VERB	V
565	dottor	dottore	NOUN	S
566	parola	parola	NOUN	S
567	piedi	piede	NOUN	S
568	sopra	sopra	ADV	B
569	motivo	motivo	NOUN	S
570	avevi	avevi	VERB	VA
571	cavolo	cavolo	NOUN	S
572	capitano	capitano	NOUN	S
573	finita	finire	VERB	V
574	volete	volere	VERB	VM
575	siano	essere	VERB	V
576	potresti	potresti	VERB	VM
577	gioco	gioco	NOUN	S
578	perfetto	perfetto	ADJ	A
579	be	be	NOUN	VM
580	mente	menta	NOUN	S
581	mangiare	mangiare	VERB	V
582	resto	resto	NOUN	S
583	credere	credere	VERB	V
584	fortuna	fortuna	NOUN	S
585	tratta	trattare	VERB	V
586	chiamo	chare	VERB	V
587	morta	morire	VERB	V
588	là	là	ADV	B
589	entrambi	entrambi	PRON	PI
590	avresti	avresti	VERB	V_PC
591	passare	passare	VERB	V
592	cena	cena	NOUN	S
593	the	the	DET	RD
594	sarei	sarei	VERB	V
595	controllo	controllo	NOUN	S
596	affari	affare	NOUN	S
597	spiace	spiacere	VERB	V
598	ultimo	ultimo	ADJ	NO
599	facile	facile	ADJ	A
600	farò	fare	VERB	V
601	buongiorno	Buongiorno	VERB	S
602	davanti	davanti	ADV	B
603	tizio	tizio	NOUN	S
604	dammi	dammi	VERB	V
605	sicurezza	sicurezza	NOUN	S
606	dalle	da il	ADP	E_RD
607	quanti	quanto	DET	PQ
608	dica	dica	VERB	V
609	matrimonio	matrimonio	NOUN	S
610	john	John	PROPN	SP
611	vogliono	volere	VERB	VM
612	molti	molto	PRON	PI
613	culo	culo	NOUN	S
614	fuoco	fuoco	NOUN	S
615	cercare	cercare	VERB	V
616	pistola	pistola	NOUN	S
617	potremmo	potere	VERB	VM
618	re	re	NOUN	S
619	mandato	mandare	NOUN	S
620	puttana	puttano	ADJ	A
621	negli	in il	ADP	E_RD
622	cioe	cioe	NOUN	A
623	inizio	inizio	NOUN	S
624	saranno	essere	VERB	VA
625	causa	causa	NOUN	S
626	voglia	voglia	NOUN	S
627	mettere	mettere	VERB	V
628	fammi	fammi	NOUN	S
629	uccidere	uccidere	VERB	V
630	vogliamo	volere	VERB	VM
631	faremo	fare	VERB	V
632	però	però	ADV	B
633	genitori	genitore	NOUN	S
634	sesso	sesso	NOUN	S
635	potete	potere	VERB	VM
636	ricevuto	ricevere	VERB	V
637	vivo	vivo	ADJ	A
638	presidente	presidente	NOUN	S
639	città	città	NOUN	S
640	citta	citta	NOUN	S
641	succedendo	succedere	VERB	V
642	ospedale	ospedale	NOUN	S
643	fu	essere	VERB	V
644	agli	a il	ADP	E_RD
645	scritto	scrivere	VERB	V
646	smettila	smettila	NOUN	S
647	vada	andare	VERB	V
648	attenzione	attenzione	NOUN	S
649	sulle	su il	ADP	E_RD
650	bere	bere	VERB	V
651	situazione	situazione	NOUN	S
652	omicidio	omicidio	NOUN	S
653	revisione	revisione	NOUN	S
654	avesse	avere	VERB	VA
655	ottimo	ottimo	ADJ	A
656	cura	cura	NOUN	S
657	durante	durante	ADP	E
658	provato	provare	VERB	V
659	parole	parola	NOUN	S
660	lasciare	lasciare	VERB	V
661	dicono	dire	VERB	V
662	new	New	PROPN	SP
663	prossima	prossimo	ADJ	A
664	nostre	nostro	PRON	PE
665	arrivato	arrivare	VERB	V
666	paese	paese	NOUN	S
667	sull'	sull	ADP	E_RD
668	andate	andare	VERB	V
669	chiunque	chiunque	PRON	PI
670	capisci	capiscre	VERB	V
671	pace	pace	NOUN	S
672	immagino	immagino	VERB	V
673	musica	musica	NOUN	S
674	tieni	tienere	VERB	V
675	oddio	oddio	ADJ	B
676	jack	Jack	NOUN	S
677	libro	libro	NOUN	S
678	eravamo	essere	VERB	V
679	amica	amico	ADJ	S
680	diventare	diventare	VERB	V
681	sui	su il	ADP	E_RD
682	sbagliato	sbagliare	VERB	V
683	dirmi	dire mi	VERB	V_PC
684	wow	wow	NOUN	PI
685	farai	farare	VERB	V
686	entra	entrare	VERB	V
687	venuta	venire	VERB	V
688	scelta	scegliere	NOUN	S
689	voluto	volere	VERB	VM
690	portare	portare	VERB	V
691	assolutamente	assolutamente	ADV	B
692	molte	molto	PRON	PI
693	chiedo	chiedere	VERB	V
694	torna	tornare	VERB	V
695	scoperto	scoprire	VERB	V
696	fatti	fare	NOUN	S
697	settimane	settimana	NOUN	S
698	dirlo	dire lo	VERB	V_PC
699	alcuni	alcuno	DET	DI
700	prigione	prigione	NOUN	S
701	giornata	giornata	NOUN	S
702	piuttosto	piuttosto	ADV	B
703	buono	buono	ADJ	A
704	aspettare	aspettare	VERB	V
705	parli	parlare	VERB	V_PC
706	arrivare	arrivare	VERB	V
707	lungo	lungo	ADJ	B
708	vede	vedere	VERB	V
709	avvocato	avvocato	NOUN	S
710	deciso	decidere	VERB	V
711	sarai	sarai	VERB	V
712	messaggio	messaggio	NOUN	S
713	dormire	dormire	VERB	V
714	dieci	dieci	NUM	N
715	stupido	stupido	ADJ	A
716	usare	usare	VERB	V
717	dello	di il	ADP	E_RD
718	cielo	cielo	NOUN	S
719	guardare	guardare	VERB	V
720	bagno	bagno	NOUN	S
721	aria	aria	NOUN	S
722	voce	voce	NOUN	S
723	tornato	tornare	VERB	V
724	vuol	volere	VERB	VM
725	giù	giù	ADV	B
726	conosci	conoscere	VERB	V
727	benissimo	bene	ADV	B
728	prendo	prendere	VERB	V
729	verita	verita	NOUN	V
730	cane	cane	NOUN	S
731	restare	restare	VERB	V
732	chiamare	chiamare	VERB	V
733	poter	potere	VERB	VM
734	campo	campo	NOUN	S
735	luce	luce	NOUN	S
736	sam	sam	PROPN	SP
737	qualunque	qualunque	DET	DI
738	giovane	giovane	ADJ	A
739	signori	signore	NOUN	S
740	fra	fra	ADP	E
741	provare	provare	VERB	V
742	minuto	minuto	NOUN	S
743	saperlo	sapere lo	VERB	V_PC
744	lontano	lontano	ADV	B
745	gruppo	gruppo	NOUN	S
746	continua	continuare	VERB	V
747	arrivo	arrivo	NOUN	S
748	gran	grande	ADJ	A
749	realta	realta	NOUN	S
750	cerca	cercare	VERB	V
751	passo	passo	NOUN	S
752	domande	domanda	NOUN	S
753	insomma	insomma	ADV	B
754	bambina	bambino	NOUN	S
755	pensando	pensare	VERB	V
756	capelli	capello	NOUN	S
757	trova	trovare	VERB	V
758	onore	onore	NOUN	S
759	aiutare	aiutare	VERB	V
760	verità	verità	NOUN	S
761	prove	prova	NOUN	S
762	n'	n	X	X
763	funziona	funzionare	VERB	V
764	alto	alto	ADJ	A
765	giu	giue	NOUN	SP
766	credevo	credere	VERB	V
767	futuro	futuro	ADJ	A
768	preoccuparti	preoccuparre ti	VERB	V_PC
769	idiota	idiota	ADV	B
770	cibo	cibo	NOUN	S
771	fretta	fretta	NOUN	S
772	cara	caro	ADJ	A
773	finalmente	finalmente	ADV	B
774	morti	morto	NOUN	S
775	odio	odiare	VERB	V
776	solito	solito	NOUN	S
777	brava	bravo	ADJ	A
778	é	é	VERB	V
779	incidente	incidente	NOUN	S
780	allo	a il	ADP	E_RD
781	dev'	dev	NOUN	VM
782	intenzione	intenzione	NOUN	S
783	speciale	speciale	ADJ	A
784	cambiare	cambiare	VERB	V
785	vera	vero	ADJ	A
786	camera	Camera	NOUN	S
787	oltre	oltre	ADV	B
788	semplice	semplice	ADJ	A
789	dirti	dire ti	VERB	V_PC
790	riguardo	riguardo	NOUN	S
791	finche	finche	SCONJ	CS
792	aspetto	aspettare	NOUN	S
793	viaggio	viaggio	NOUN	S
794	chiaro	chiaro	ADJ	A
795	chiamata	chiamare	VERB	V
796	bocca	bocca	NOUN	S
797	permesso	permettere	VERB	V
798	piacerebbe	piacere	VERB	V
799	dovete	dovere	VERB	VM
800	giocare	giocare	VERB	V
801	ordine	ordine	NOUN	S
802	circa	circa	ADV	B
803	ovviamente	ovviamente	ADV	B
804	finire	finire	VERB	V
805	piu'	piu	ADV	B
806	natale	Natale	ADJ	A
807	i'	il	DET	RD
808	direi	dire	VERB	V
809	vostri	vostro	DET	AP
810	occhio	occhio	NOUN	S
811	pronta	pronto	ADJ	A
812	scusami	scusami	NOUN	S
813	mattina	mattina	NOUN	S
814	cercato	cercare	VERB	V
815	crede	credere	VERB	V
816	sistema	sistema	NOUN	S
817	york	york	PROPN	SP
818	fondo	fondo	NOUN	S
819	resta	restare	VERB	V
820	devono	dovere	VERB	VM
821	prossimo	prossimo	ADJ	A
822	pronti	pronto	ADJ	A
823	saputo	sapere	VERB	V
824	scusate	scusare	VERB	V
825	potere	potere	NOUN	S
826	milioni	milione	NOUN	S
827	soltanto	soltanto	ADV	B
828	armi	arma	NOUN	S
829	arriva	arrivare	VERB	V
830	fermo	fermo	ADJ	A
831	mese	mese	NOUN	S
832	chiedere	chiedere	VERB	V
833	cristo	cristo	NOUN	S
834	torno	tornare	VERB	V
835	venite	venire	VERB	VM
836	controllare	controllare	VERB	V
837	appuntamento	appuntamento	NOUN	S
838	s	s	X	X
839	chiami	chiamare	VERB	V_PC
840	vecchia	vecchio	ADJ	A
841	detective	detective	NOUN	S
842	pero	pero	NOUN	S
843	metti	mettere	VERB	V
844	grado	grado	NOUN	S
845	vanno	andare	VERB	V
846	nave	nave	NOUN	S
847	iniziato	iniziare	VERB	V
848	perche'	perche	NOUN	S
849	informazioni	informazione	NOUN	S
850	libero	libero	ADJ	A
851	stronzo	stronzo	NOUN	S
852	grandi	grande	ADJ	A
853	pezzo	pezzo	NOUN	S
854	segreto	segreto	ADJ	S
855	colpo	colpo	NOUN	S
856	faceva	fare	VERB	V
857	piacciono	piacere	VERB	V
858	porto	porto	NOUN	S
859	oppure	oppure	CCONJ	CC
860	completamente	completamente	ADV	B
861	vederti	vedere ti	VERB	V_PC
862	lista	listare	NOUN	S
863	venga	venire	VERB	VA
864	veloce	veloce	ADV	B
865	assassino	assassino	ADJ	S
866	sapeva	sapere	VERB	V
867	finché	finché	SCONJ	CS
868	tom	Tom	PROPN	SP
869	ormai	ormai	ADV	B
870	interessa	interessare	VERB	V
871	generale	generale	ADJ	A
872	giusta	giusto	ADJ	A
873	tenere	tenere	VERB	V
874	pazzo	pazzo	NOUN	S
875	vittima	vittima	NOUN	S
876	giuro	giurare	VERB	V
877	consiglio	consiglio	NOUN	S
