rank,adjective,msg,fsg,mpl,fpl,collocations,ru
783,speciale,speciale,speciale,speciali,speciali,,специальный
788,semplice,semplice,semplice,semplici,semplici,,простой
794,chiaro,chiaro,chiara,chiari,chiare,,светлый/ясный
806,Natale,natale,natale,natali,natali,,рождественский
830,fermo,fermo,ferma,fermi,ferme,,неподвижный/остановленный
850,libero,libero,libera,liberi,libere,,свободный
865,assassino,assassino,assassina,assassini,assassine,,убийца
887,carino,carino,carina,carini,carine,,милый/симпатичный
889,brutto,brutto,brutta,brutti,brutte,,некрасивый/плохой
892,incredibile,incredibile,incredibile,incredibili,incredibili,,невероятный
903,gentile,gentile,gentile,gentili,gentili,,любезный/милый
929,personale,personale,personale,personali,personali,,личный
937,pieno,pieno,piena,pieni,piene,,полный
938,diverso,diverso,diversa,diversi,diverse,,разный/другой
944,normale,normale,normale,normali,normali,,нормальный
968,terribile,terribile,terribile,terribili,terribili,,ужасный
970,attento,attento,attenta,attenti,attente,,внимательный
976,impossibile,impossibile,impossibile,impossibili,impossibili,,невозможный
983,ii,ii,ii,ii,ii,,его
996,dolce,dolce,dolce,dolci,dolci,,сладкий/мягкий
1000,interessante,interessante,interessante,interessanti,interessanti,,интересный
1031,nero,nero,nera,neri,nere,,чёрный
1034,ex,ex,ex,ex,ex,,бывший
1065,tranquillo,tranquillo,tranquilla,tranquilli,tranquille,,спокойный
1069,simile,simile,simile,simili,simili,,похожий
1087,pubblico,pubblico,pubblica,pubblici,pubblice,,публичный/общественный
1113,freddo,freddo,fredda,freddi,fredde,,холодный
1114,triste,triste,triste,tristi,tristi,,грустный
1130,gay,gay,gay,gay,gay,,гей
1149,duro,duro,dura,duri,dure,,твёрдый/жёсткий
1162,cellulare,cellulare,cellulare,cellulari,cellulari,,мобильный
1163,necessario,necessario,necessaria,necessarii,necessarie,,необходимый
1177,reale,reale,reale,reali,reali,,реальный/действительный
1211,precedente,precedente,precedente,precedenti,precedenti,,предыдущий
1219,intelligente,intelligente,intelligente,intelligenti,intelligenti,,умный
1226,scorso,scorso,scorsa,scorsi,scorse,,прошлый
1228,Bianco,bianco,bianca,bianci,biance,,белый
1236,incinto,incinto,incinta,incinti,incinte,,беременный
1241,contento,contento,contenta,contenti,contente,,довольный
1255,maggiore,maggiore,maggiore,maggiori,maggiori,,больший/старший
1263,umano,umano,umana,umani,umane,,человеческий
1272,caldo,caldo,calda,caldi,calde,,горячий
1274,interno,interno,interna,interni,interne,,внутренний
1285,destro,destro,destra,destri,destre,,правый
1289,pericoloso,pericoloso,pericolosa,pericolosi,pericolose,,опасный
1296,presente,presente,presente,presenti,presenti,,настоящий/присутствующий
1305,intero,intero,intera,interi,intere,,целый
1325,comune,comune,comune,comuni,comuni,,общий/обычный
1333,responsabile,responsabile,responsabile,responsabili,responsabili,,ответственный
1359,rosso,rosso,rossa,rossi,rosse,,красный
1365,sexy,sexy,sexy,sexy,sexy,,сексуальный
1422,porco,porco,porca,porci,porce,,грязный/свинской
1426,arrabbiato,arrabbiato,arrabbiata,arrabbiati,arrabbiate,,злой
1429,orribile,orribile,orribile,orribili,orribili,,отвратительный
1434,enorme,enorme,enorme,enormi,enormi,,огромный
1442,colpevole,colpevole,colpevole,colpevoli,colpevoli,,виновный
1480,fortunato,fortunato,fortunata,fortunati,fortunate,,счастливый/удачливый
1483,blu,blu,blu,blu,blu,,синий
1501,contrario,contrario,contraria,contrarii,contrarie,,противоположный
1504,locale,locale,locale,locali,locali,,местный
1522,massimo,massimo,massima,massimi,massime,,максимальный
1543,ovvio,ovvio,ovvia,ovvii,ovvie,,очевидный
1551,grave,grave,grave,gravi,gravi,,серьёзный/тяжёлый
1582,ferito,ferito,ferita,feriti,ferite,,раненый
1585,preoccupato,preoccupato,preoccupata,preoccupati,preoccupate,,обеспокоенный
1595,inutile,inutile,inutile,inutili,inutili,,бесполезный
1599,basso,basso,bassa,bassi,basse,,низкий
1622,legale,legale,legale,legali,legali,,юридический/законный
1625,srt,srt,srt,srt,srt,,сокращение
1630,corto,corto,corta,corti,corte,,короткий
1642,breve,breve,breve,brevi,brevi,,краткий
1645,povero,povero,povera,poveri,povere,,бедный
1662,aperto,aperto,aperta,aperti,aperte,,открытый
1663,improvviso,improvviso,improvvisa,improvvisi,improvvise,,внезапный
1669,continuo,continuo,continua,continui,continue,,непрерывный
1682,meraviglioso,meraviglioso,meravigliosa,meravigliosi,meravigliose,,чудесный
1694,innocente,innocente,innocente,innocenti,innocenti,,невинный
1708,centrale,centrale,centrale,centrali,centrali,,центральный
1727,debole,debole,debole,deboli,deboli,,слабый
1735,grandioso,grandioso,grandiosa,grandiosi,grandiose,,величественный
1736,americano,americano,americana,americani,americane,,американский
1738,francese,francese,francese,francesi,francesi,,французский
1744,peggiore,peggiore,peggiore,peggiori,peggiori,,худший
1749,buio,buio,buia,buii,buie,,тёмный
1782,capace,capace,capace,capaci,capaci,,способный
1789,stanco,stanco,stanca,stanci,stance,,усталый
1796,principale,principale,principale,principali,principali,,главный
1804,convinto,convinto,convinta,convinti,convinte,,убеждённый
1844,benvenuto,benvenuto,benvenuta,benvenuti,benvenute,,добро пожаловать
1853,finale,finale,finale,finali,finali,,финальный
1943,nazionale,nazionale,nazionale,nazionali,nazionali,,национальный
1949,passato,passato,passata,passati,passate,,прошлый
1954,media,media,media,medii,medie,,средний
1971,credimi,credimi,credimi,credimi,credimi,,поверь мне
1996,animale,animale,animale,animali,animali,,животное
2007,completo,completo,completa,completi,complete,,полный/завершённый
2034,aole,aole,aole,aoli,aoli,,сокращение
2037,magnifico,magnifico,magnifica,magnifici,magnifice,,великолепный
2056,potente,potente,potente,potenti,potenti,,могущественный
2070,assurdo,assurdo,assurda,assurdi,assurde,,абсурдный
2073,dimmelo,dimmelo,dimmela,dimmeli,dimmele,,скажи мне
2079,naturale,naturale,naturale,naturali,naturali,,естественный
2089,corrente,corrente,corrente,correnti,correnti,,текущий
2100,militare,militare,militare,militari,militari,,военный
2188,calmo,calmo,calma,calmi,calme,,спокойный/тихий
2242,profondo,profondo,profonda,profondi,profonde,,глубокий
2263,pulito,pulito,pulita,puliti,pulite,,чистый
2271,pesante,pesante,pesante,pesanti,pesanti,,тяжёлый
2280,Santa,santa,santa,santi,sante,,святая
2296,ricco,ricco,ricca,ricci,ricce,,богатый
2304,nervoso,nervoso,nervosa,nervosi,nervose,,нервный
2308,inghilterra,inghilterra,inghilterra,inghilterri,inghilterre,,Англия
2312,falso,falso,falsa,falsi,false,,ложный
2321,sessuale,sessuale,sessuale,sessuali,sessuali,,сексуальный
2323,privato,privato,privata,privati,private,,частный
2326,totale,totale,totale,totali,totali,,полный/тотальный
2349,superiore,superiore,superiore,superiori,superiori,,высший/верхний
2365,recente,recente,recente,recenti,recenti,,недавний
2397,assicuro,assicuro,assicura,assicuri,assicure,,уверяю
2426,complicato,complicato,complicata,complicati,complicate,,сложный
2431,famoso,famoso,famosa,famosi,famose,,знаменитый
2463,folle,folle,folle,folli,folli,,сумасшедший
2468,affascinare,affascinare,affascinare,affascinari,affascinari,,очаровывать
2508,maiale,maiale,maiale,maiali,maiali,,свинья
2514,comodo,comodo,comoda,comodi,comode,,удобный
2528,diretta,diretta,diretta,diretti,dirette,,прямой
2584,idioto,idioto,idiota,idioti,idiote,,идиот
2602,coso,coso,cosa,cosi,cose,,штука/вещь
2618,gelato,gelato,gelata,gelati,gelate,,мороженое
2624,adorabile,adorabile,adorabile,adorabili,adorabili,,очаровательный
2649,sporco,sporco,sporca,sporci,sporce,,грязный
2650,pari,pari,pari,pari,pari,,равный
2686,uguale,uguale,uguale,uguali,uguali,,равный/одинаковый
2694,veloce,veloce,veloce,veloci,veloci,,быстрый
2696,interessato,interessato,interessata,interessati,interessate,,заинтересованный
2699,positivo,positivo,positiva,positivi,positive,,положительный
2705,onesto,onesto,onesta,onesti,oneste,,честный
2737,morale,morale,morale,morali,morali,,моральный
2748,preciso,preciso,precisa,precisi,precise,,точный
2772,eccellente,eccellente,eccellente,eccellenti,eccellenti,,отличный
2773,originale,originale,originale,originali,originali,,оригинальный
2778,probabile,probabile,probabile,probabili,probabili,,вероятный
2844,charlotte,charlotte,charlotte,charlotti,charlotti,,Шарлотта
2895,lieto,lieto,lieta,lieti,liete,,радостный
2896,confuso,confuso,confusa,confusi,confuse,,запутанный/смущённый
2908,federale,federale,federale,federali,federali,,федеральный
2911,Messico,messico,messica,messici,messice,,мексиканский
2924,sufficiente,sufficiente,sufficiente,sufficienti,sufficienti,,достаточный
2943,vice,vice,vice,vici,vici,,заместитель
2980,fiero,fiero,fiera,fieri,fiere,,гордый
2981,spallo,spallo,spalla,spalli,spalle,,плечо
3020,capite,capite,capite,capiti,capiti,,понятно
3039,sociale,sociale,sociale,sociali,sociali,,социальный
3044,disgustoso,disgustoso,disgustosa,disgustosi,disgustose,,отвратительный
3059,Jamie,jamie,jamie,jamii,jamii,,Джейми
3066,tedesco,tedesco,tedesca,tedesci,tedesce,,немецкий
3080,illegale,illegale,illegale,illegali,illegali,,незаконный
3087,piacevole,piacevole,piacevole,piacevoli,piacevoli,,приятный
3138,Jesse,jesse,jesse,jessi,jessi,,Джесси
3150,agio,agio,agia,agii,agie,,свободный/уютный
3153,orgoglioso,orgoglioso,orgogliosa,orgogliosi,orgogliose,,гордый
3161,civile,civile,civile,civili,civili,,гражданский
3173,pago,pago,paga,pagi,page,,оплаченный
3176,mondiale,mondiale,mondiale,mondiali,mondiali,,мировой
3205,scientifico,scientifico,scientifica,scientifici,scientifice,,научный
3210,disponibile,disponibile,disponibile,disponibili,disponibili,,доступный
3217,stretto,stretto,stretta,stretti,strette,,узкий
3219,pessima,pessima,pessima,pessimi,pessime,,очень плохая
3229,professionale,professionale,professionale,professionali,professionali,,профессиональный
3231,doug,doug,doug,doug,doug,,Даг
3233,adatto,adatto,adatta,adatti,adatte,,подходящий
3237,brillante,brillante,brillante,brillanti,brillanti,,блестящий
3255,maledetto,maledetto,maledetta,maledetti,maledette,,проклятый
3256,deserto,deserto,deserta,deserti,deserte,,пустынный/пустой
3268,splendido,splendido,splendida,splendidi,splendide,,великолепный
3294,crudele,crudele,crudele,crudeli,crudeli,,жестокий
3339,negativo,negativo,negativa,negativi,negative,,отрицательный
3366,carolina,carolina,carolina,carolini,caroline,,Каролина
3372,urgente,urgente,urgente,urgenti,urgenti,,срочный
3412,deluso,deluso,delusa,delusi,deluse,,разочарованный
3423,romantico,romantico,romantica,romantici,romantice,,романтический
3432,finto,finto,finta,finti,finte,,поддельный/фальшивый
3433,noioso,noioso,noiosa,noiosi,noiose,,скучный
3448,buffo,buffo,buffa,buffi,buffe,,смешной/забавный
3455,oscuro,oscuro,oscura,oscuri,oscure,,тёмный/мрачный
3462,geniale,geniale,geniale,geniali,geniali,,гениальный
3522,simpatico,simpatico,simpatica,simpatici,simpatice,,симпатичный/приятный
3524,delizioso,delizioso,deliziosa,deliziosi,deliziose,,вкусный/изысканный
3525,fottito,fottito,fottita,fottiti,fottite,,занятый
3526,coraggioso,coraggioso,coraggiosa,coraggiosi,coraggiose,,храбрый
3564,geloso,geloso,gelosa,gelosi,gelose,,ревнивый
3565,randy,randy,randy,randy,randy,,похотливый
3576,eccitante,eccitante,eccitante,eccitanti,eccitanti,,возбуждающий
3585,commerciale,commerciale,commerciale,commerciali,commerciali,,коммерческий
3588,furbo,furbo,furba,furbi,furbe,,хитрый
3599,chisso,chisso,chissa,chissi,chisse,,кто это
3610,brav,brav,brav,brav,brav,,хороший
3614,pessimo,pessimo,pessima,pessimi,pessime,,очень плохой
3643,ebreo,ebreo,ebrea,ebrei,ebree,,еврейский
3651,mentale,mentale,mentale,mentali,mentali,,умственный/психический
3663,attraente,attraente,attraente,attraenti,attraenti,,привлекательный
3682,vergine,vergine,vergine,vergini,vergini,,девственный
3683,ubriacare,ubriacare,ubriacare,ubriacari,ubriacari,,напоить
3691,puro,puro,pura,puri,pure,,чистый
3723,margaret,margaret,margaret,margaret,margaret,,Маргарет
3738,giapponese,giapponese,giapponese,giapponesi,giapponesi,,японский
3743,spagnolo,spagnolo,spagnola,spagnoli,spagnole,,испанский
3756,curioso,curioso,curiosa,curiosi,curiose,,любопытный
3760,fresco,fresco,fresca,fresci,fresce,,свежий
3782,concentrato,concentrato,concentrata,concentrati,concentrate,,сосредоточенный
3786,eccezionale,eccezionale,eccezionale,eccezionali,eccezionali,,исключительный
3789,sano,sano,sana,sani,sane,,здоровый
3793,femminile,femminile,femminile,femminili,femminili,,женский
3796,grato,grato,grata,grati,grate,,благодарный
3815,preparato,preparato,preparata,preparati,preparate,,подготовленный
3824,singolo,singolo,singola,singoli,singole,,единичный
3825,perso,perso,persa,persi,perse,,потерянный
3833,italiano,italiano,italiana,italiani,italiane,,итальянский
3848,mario,mario,maria,marii,marie,,Марио
3850,sinistro,sinistro,sinistra,sinistri,sinistre,,левый
3861,nobile,nobile,nobile,nobili,nobili,,благородный
3872,muorere,muorere,muorere,muoreri,muoreri,,умереть
3915,inquietante,inquietante,inquietante,inquietanti,inquietanti,,тревожный
3927,esagerato,esagerato,esagerata,esagerati,esagerate,,преувеличенный
3939,elegante,elegante,elegante,eleganti,eleganti,,элегантный
3940,quinn,quinn,quinn,quinn,quinn,,Куинн
3997,ann,ann,ann,ann,ann,,Энн
3998,vent,vent,vent,vent,vent,,ветер
4003,subspedio,subspedio,subspedia,subspedii,subspedie,,отправляю
4033,mortale,mortale,mortale,mortali,mortali,,смертельный
4038,francisco,francisco,francisca,francisci,francisce,,Франциско
4069,potenziale,potenziale,potenziale,potenziali,potenziali,,потенциальный
4099,minore,minore,minore,minori,minori,,меньший/младший
4114,mancato,mancato,mancata,mancati,mancate,,пропущенный/несостоявшийся
4117,neanch,neanch,neanch,neanch,neanch,,даже не
4122,classico,classico,classica,classici,classice,,классический
4126,magico,magico,magica,magici,magice,,магический
4134,fedele,fedele,fedele,fedeli,fedeli,,верный
4138,natalia,natalia,natalia,natalii,natalie,,Наталия
4146,taci,taci,taci,taci,taci,,молчи
4148,diano,diano,diana,diani,diane,,дают
4194,temporale,temporale,temporale,temporali,temporali,,грозовой
4209,violento,violento,violenta,violenti,violente,,насильственный
4210,isolato,isolato,isolata,isolati,isolate,,изолированный
4218,megan,megan,megan,megan,megan,,Меган
4220,popolare,popolare,popolare,popolari,popolari,,популярный
4240,spiacente,spiacente,spiacente,spiacenti,spiacenti,,сожалеющий
4252,evidente,evidente,evidente,evidenti,evidenti,,очевидный
4266,storto,storto,storta,storti,storte,,кривой
4279,spaventoso,spaventoso,spaventosa,spaventosi,spaventose,,пугающий
4284,nucleare,nucleare,nucleare,nucleari,nucleari,,ядерный
4286,antico,antico,antica,antici,antice,,древний
4289,dammelo,dammelo,dammela,dammeli,dammele,,дай мне
4300,notevole,notevole,notevole,notevoli,notevoli,,значительный/замечательный
4365,fottuto,fottuto,fottuta,fottuti,fottute,,чёртов
4403,ragionevole,ragionevole,ragionevole,ragionevoli,ragionevoli,,разумный
4421,patetico,patetico,patetica,patetici,patetice,,жалкий
4424,mattare,mattare,mattare,mattari,mattari,,убить
4435,attuale,attuale,attuale,attuali,attuali,,нынешний/текущий
4444,peggior,peggior,peggior,peggior,peggior,,худший
4451,biondo,biondo,bionda,biondi,bionde,,белокурый
4486,eccolo,eccolo,eccola,eccoli,eccole,,вот он
4499,distintivo,distintivo,distintiva,distintivi,distintive,,отличительный
4507,internazionale,internazionale,internazionale,internazionali,internazionali,,международный
4516,shane,shane,shane,shani,shani,,Шейн
4517,neil,neil,neil,neil,neil,,Нил
4543,secco,secco,secca,secci,secce,,сухой
4544,dick,dick,dick,dick,dick,,Дик
4565,stupendo,stupendo,stupenda,stupendi,stupende,,потрясающий
4572,complesso,complesso,complessa,complessi,complesse,,сложный
4578,infelice,infelice,infelice,infelici,infelici,,несчастный
4595,prezioso,prezioso,preziosa,preziosi,preziose,,драгоценный
4610,vanessa,vanessa,vanessa,vanessi,vanesse,,Ванесса
4611,zitto,zitto,zitta,zitti,zitte,,тихий/молчащий
4617,disperato,disperato,disperata,disperati,disperate,,отчаянный
4622,sereno,sereno,serena,sereni,serene,,безмятежный
4649,tipare,tipare,tipare,tipari,tipari,,напечатать
4659,sacro,sacro,sacra,sacri,sacre,,священный
4674,stabile,stabile,stabile,stabili,stabili,,стабильный
4694,mobile,mobile,mobile,mobili,mobili,,подвижный
4701,damon,damon,damon,damon,damon,,Деймон
4706,anthony,anthony,anthony,anthony,anthony,,Энтони
4719,accomodare,accomodare,accomodare,accomodari,accomodari,,устроить
4722,entusiasta,entusiasta,entusiasta,entusiasti,entusiaste,,восторженный
4754,Shh,shh,shh,shh,shh,,тсс
4767,marino,marino,marina,marini,marine,,морской
4783,dale,dale,dale,dali,dali,,Дейл
4803,tipico,tipico,tipica,tipici,tipice,,типичный
4821,schifoso,schifoso,schifosa,schifosi,schifose,,омерзительный
4845,nervo,nervo,nerva,nervi,nerve,,нерв
4847,Raymond,raymond,raymond,raymond,raymond,,Раймонд
4853,sensibile,sensibile,sensibile,sensibili,sensibili,,чувствительный
4874,invisibile,invisibile,invisibile,invisibili,invisibili,,невидимый
4890,diretto,diretto,diretta,diretti,dirette,,прямой
4927,assoluto,assoluto,assoluta,assoluti,assolute,,абсолютный
4932,datto,datto,datta,datti,datte,,данный
4961,leggero,leggero,leggera,leggeri,leggere,,лёгкий
4963,desiderato,desiderato,desiderata,desiderati,desiderate,,желанный
4977,hot,hot,hot,hot,hot,,горячий
4996,lento,lento,lenta,lenti,lente,,медленный
5013,tessuto,tessuto,tessuta,tessuti,tessute,,тканевый
5040,nicolo,nicolo,nicola,nicoli,nicole,,Николо
5058,indipendente,indipendente,indipendente,indipendenti,indipendenti,,независимый
5083,brave,brave,brave,bravi,bravi,,отважные
5110,perdente,perdente,perdente,perdenti,perdenti,,проигравший
5120,Lydia,lydia,lydia,lydii,lydie,,Лидия
5133,impressionare,impressionare,impressionare,impressionari,impressionari,,впечатлять
5134,solare,solare,solare,solari,solari,,солнечный
5135,ribelle,ribelle,ribelle,ribelli,ribelli,,мятежный
5143,sedile,sedile,sedile,sedili,sedili,,сиденье
5179,domestico,domestico,domestica,domestici,domestice,,домашний
5190,carmen,carmen,carmen,carmen,carmen,,Кармен
5192,cerebrale,cerebrale,cerebrale,cerebrali,cerebrali,,мозговой
5241,mirando,mirando,miranda,mirandi,mirande,,целясь
5281,fondamentale,fondamentale,fondamentale,fondamentali,fondamentali,,фундаментальный
5307,generoso,generoso,generosa,generosi,generose,,щедрый
5309,veronica,veronica,veronica,veronici,veronice,,Вероника
5316,misterioso,misterioso,misteriosa,misteriosi,misteriose,,таинственный
5332,chiuso,chiuso,chiusa,chiusi,chiuse,,закрытый
5339,vario,vario,varia,varii,varie,,различный
5348,medio,medio,media,medii,medie,,средний
5362,psicopatico,psicopatico,psicopatica,psicopatici,psicopatice,,психопатический
5394,consapevole,consapevole,consapevole,consapevoli,consapevoli,,осознанный
5414,eterno,eterno,eterna,eterni,eterne,,вечный
5460,divertiteve,divertiteve,divertiteve,divertitevi,divertitevi,,развлекайтесь
5476,costoso,costoso,costosa,costosi,costose,,дорогой
5519,corrotto,corrotto,corrotta,corrotti,corrotte,,коррумпированный
5529,sfigato,sfigato,sfigata,sfigati,sfigate,,неудачник
5577,doloroso,doloroso,dolorosa,dolorosi,dolorose,,болезненный
5601,specifico,specifico,specifica,specifici,specifice,,конкретный
5613,promettimi,promettimi,promettimi,promettimi,promettimi,,пообещай мне
5627,rischioso,rischioso,rischiosa,rischiosi,rischiose,,рискованный
5704,elementare,elementare,elementare,elementari,elementari,,элементарный
5722,liquido,liquido,liquida,liquidi,liquide,,жидкий
5789,sorprendente,sorprendente,sorprendente,sorprendenti,sorprendenti,,удивительный
5809,raro,raro,rara,rari,rare,,редкий
5818,roman,roman,roman,roman,roman,,Роман
5823,obitorio,obitorio,obitoria,obitorii,obitorie,,морг
5836,preferito,preferito,preferita,preferiti,preferite,,любимый
5847,certificato,certificato,certificata,certificati,certificate,,сертифицированный
5854,faccio,faccio,faccia,faccii,faccie,,делаю
5859,Bell,bell,bell,bell,bell,,Белл
5860,attivo,attivo,attiva,attivi,attive,,активный
5869,irlandese,irlandese,irlandese,irlandesi,irlandesi,,ирландский
5885,mick,mick,mick,mick,mick,,Мик
5893,vivente,vivente,vivente,viventi,viventi,,живой
5933,proibire,proibire,proibire,proibiri,proibiri,,запрещать
5938,vitale,vitale,vitale,vitali,vitali,,жизненно важный
5941,degno,degno,degna,degni,degne,,достойный
5966,alec,alec,alec,alec,alec,,Алек
5973,capra,capra,capra,capri,capre,,коза
5980,isaac,isaac,isaac,isaac,isaac,,Айзек
5997,solitario,solitario,solitaria,solitarii,solitarie,,одинокий
6002,penale,penale,penale,penali,penali,,уголовный
6038,botto,botto,botta,botti,botte,,удар/хлопок
6045,insolito,insolito,insolita,insoliti,insolite,,необычный
6059,scortesa,scortesa,scortesa,scortesi,scortese,,невежливый
6092,musicale,musicale,musicale,musicali,musicali,,музыкальный
6160,Unite,unite,unite,uniti,uniti,,объединённые
6162,tosto,tosto,tosta,tosti,toste,,быстрый/скоро
6176,leale,leale,leale,leali,leali,,верный
6180,telefonico,telefonico,telefonica,telefonici,telefonice,,телефонный
6192,dallas,dallas,dallas,dallas,dallas,,Даллас
6207,meccanico,meccanico,meccanica,meccanici,meccanice,,механический
6210,letale,letale,letale,letali,letali,,смертельный
6217,arrogante,arrogante,arrogante,arroganti,arroganti,,высокомерный
6227,costante,costante,costante,costanti,costanti,,постоянный
6282,cat,cat,cat,cat,cat,,кот
6285,successivo,successivo,successiva,successivi,successive,,последующий
6289,improbabile,improbabile,improbabile,improbabili,improbabili,,маловероятный
6309,valido,valido,valida,validi,valide,,действительный
6314,tremendo,tremendo,tremenda,tremendi,tremende,,ужасный
6315,ari,ari,ari,ari,ari,,Ари
6321,randall,randall,randall,randall,randall,,Рэндалл
6349,ulteriore,ulteriore,ulteriore,ulteriori,ulteriori,,дальнейший
6357,emozionante,emozionante,emozionante,emozionanti,emozionanti,,волнующий
6358,caporale,caporale,caporale,caporali,caporali,,капральский
6360,distrettuale,distrettuale,distrettuale,distrettuali,distrettuali,,окружной
6362,bollente,bollente,bollente,bollenti,bollenti,,горячий/кипящий
6364,sgualdrino,sgualdrino,sgualdrina,sgualdrini,sgualdrine,,повеса
6378,delicato,delicato,delicata,delicati,delicate,,деликатный
6389,affamato,affamato,affamata,affamati,affamate,,голодный
6395,infinito,infinito,infinita,infiniti,infinite,,бесконечный
6410,maschile,maschile,maschile,maschili,maschili,,мужской
6412,metropolitano,metropolitano,metropolitana,metropolitani,metropolitane,,метро
6452,economico,economico,economica,economici,economice,,экономический
6462,scolastico,scolastico,scolastica,scolastici,scolastice,,школьный
6468,bagnato,bagnato,bagnata,bagnati,bagnate,,мокрый
6475,overdoso,overdoso,overdosa,overdosi,overdose,,передозировка
6518,spirituale,spirituale,spirituale,spirituali,spirituali,,духовный
6523,adolescento,adolescento,adolescenta,adolescenti,adolescente,,подросток
6528,delicare,delicare,delicare,delicari,delicari,,деликатный
6540,freddie,freddie,freddie,freddii,freddii,,Фредди
6566,stellare,stellare,stellare,stellari,stellari,,звёздный
6573,vulnerabile,vulnerabile,vulnerabile,vulnerabili,vulnerabili,,уязвимый
6577,incapace,incapace,incapace,incapaci,incapaci,,неспособный
6579,messicano,messicano,messicana,messicani,messicane,,мексиканский
6580,affidabile,affidabile,affidabile,affidabili,affidabili,,надёжный
6610,favoloso,favoloso,favolosa,favolosi,favolose,,сказочный/великолепный
6612,sottile,sottile,sottile,sottili,sottili,,тонкий
6614,callio,callio,callia,callii,callie,,Каллио
6617,moderno,moderno,moderna,moderni,moderne,,современный
6618,liscio,liscio,liscia,liscii,liscie,,гладкий
6645,verbale,verbale,verbale,verbali,verbali,,устный
6647,inferiore,inferiore,inferiore,inferiori,inferiori,,низший/нижний
6659,prudente,prudente,prudente,prudenti,prudenti,,осторожный
6662,sordo,sordo,sorda,sordi,sorde,,глухой
6674,abigail,abigail,abigail,abigail,abigail,,Эбигейл
6675,postale,postale,postale,postali,postali,,почтовый
6683,italian,italian,italian,italian,italian,,итальянский
6688,statale,statale,statale,statali,statali,,государственный
6695,permettero,permettero,permettera,permetteri,permettere,,позволят
6709,hard,hard,hard,hard,hard,,жёсткий
6738,decente,decente,decente,decenti,decenti,,приличный
6749,grigio,grigio,grigia,grigii,grigie,,серый
6775,estraneo,estraneo,estranea,estranei,estranee,,чужой/посторонний
6783,bellissimo,bellissimo,bellissima,bellissimi,bellissime,,прекраснейший
6800,inevitabile,inevitabile,inevitabile,inevitabili,inevitabili,,неизбежный
6803,efficace,efficace,efficace,efficaci,efficaci,,эффективный
6806,theo,theo,thea,thei,thee,,Тео
6821,seccare,seccare,seccare,seccari,seccari,,сушить
6888,silenzioso,silenzioso,silenziosa,silenziosi,silenziose,,тихий
6923,convincente,convincente,convincente,convincenti,convincenti,,убедительный
6931,intimo,intimo,intima,intimi,intime,,интимный
6948,cathy,cathy,cathy,cathy,cathy,,Кэти
6968,june,june,june,juni,juni,,Джун
6976,legittimo,legittimo,legittima,legittimi,legittime,,законный
6978,marrone,marrone,marrone,marroni,marroni,,коричневый
6995,reese,reese,reese,reesi,reesi,,Рис
7007,greco,greco,greca,greci,grece,,греческий
7012,hei,hei,hei,hei,hei,,эй
7013,fragile,fragile,fragile,fragili,fragili,,хрупкий
7041,poica,poica,poica,poici,poice,,бойся
7056,instabile,instabile,instabile,instabili,instabili,,нестабильный
7072,piccoletto,piccoletto,piccoletta,piccoletti,piccolette,,маленький/крошечный
