rank,verb,collocations,ru
4900,mitchre,,"Митч (имя собственное, ошибка)"
4926,avere li,,иметь их
4929,capire ai,,понимать вас (ошибка: capirvi)
4954,avere vi,,иметь вас
4969,Bugiarda,,лгунья
4973,lasciare ci,,оставлять нас/отпускать нас
4978,trevorre,,"Тревор (имя собственное, ошибка)"
5018,rispondare,,отвечать (ошибка: rispondere)
5037,metterere,,класть/ставить (ошибка: mettere)
5044,funzionerà,,это сработает/будет работать
5057,sposare ti,,жениться на тебе/выходить за тебя
5105,salvare ti,,спасать тебя
5113,perdire,,терять (ошибка: perdere)
5114,metterò,,я положу/я поставлю
5129,dwight,,Дуайт (имя собственное)
5140,scusere,,извинять (ошибка: scusare)
5146,sorridare,,улыбаться (ошибка: sorridere)
5147,sposare si,,жениться/выходить замуж
5148,vedrare,,видеть (ошибка: vedere)
5150,ragaee,,ребята (ошибка: ragazzi)
5186,uscire ne,,выходить из (ошибка: uscirne)
5202,sconvolre,,потрясать/расстраивать (ошибка: sconvolgere)
5203,perdare,,терять (ошибка: perdere)
5211,nascorre,,прятать/скрывать (ошибка: nascondere)
5219,preoccupare mi,,беспокоить меня/беспокоиться
5259,bevare,,пить (ошибка: bere)
5291,guardare ti,,смотреть на тебя
5294,sveltare,,ускорять (ошибка: sveltare)
5313,Brandon,,Брэндон (имя собственное)
5321,muoiere,,умирать (ошибка: morire)
5328,occupare si,,заниматься/обнимать
5347,bevire,,пить (ошибка: bere)
5352,divertire si,,веселиться
5367,sbrigatee vi,,"поторапливайтесь (sbrigatevi, ошибка)"
5376,diccio,,дикция/сказанное (ошибка: detto)
5377,svegliere,,просыпать/будить (ошибка: svegliare)
5378,incontrare ci,,встречать нас/встретиться нам
5381,rimangere,,оставаться (ошибка: rimanere)
5389,prendere li,,взять их
5402,provare lo,,попробовать его
5407,preoccupateve,,"беспокойтесь (preoccupatevi, ошибка)"
5408,vedere li,,видеть их
5419,arrivere,,прибывать (ошибка: arrivare)
5426,mostrare ti,,показывать тебе
5503,permettere mi,,позволять мне/разрешать мне
5505,decidare,,решать (ошибка: decidere)
5524,are,,делать/иметь (ошибка:残留)
5532,stanley,,Стэнли (имя собственное)
5542,finire ai,,заканчивать вам (ошибка: finirvi)
5549,Bada,,Бада/смотри (имя собственное/bada)
5556,lindsay,,Линдси (имя собственное)
5561,lascere ai,,оставлять вам (ошибка: lasciarvi)
5598,care la,,делать/нести её (ошибка)
5617,riconoscire,,узнавать (ошибка: riconoscere)
5620,diventere ai,,становиться вам (ошибка: diventargli)
5626,usare la,,использовать её
5670,offrire ti,,предлагать тебе
5687,riuscire ci,,удаваться нам
5691,tienire,,держать (ошибка: tenere)
5723,crederaire,,верить (ошибка: credere)
5732,seguere,,следовать (ошибка: seguire)
5734,Donald,,Дональд (имя собственное)
5753,chiederere,,спрашивать/просить (ошибка: chiedere)
5761,sapre pi,,знать больше (ошибка: saperne di più)
5771,parlare ci,,говорить нам
5798,finiscere,,заканчивать (ошибка: finire)
5802,sapere ne,,знать об этом
5819,nascondere si,,прятаться
5832,sedere mi,,садить меня
5833,sire,,быть (ошибка: essere)
5843,portare ci,,нести нам
5846,troverare,,находить (ошибка: trovare)
5861,coperre,,покрывать (ошибка: coprire)
5865,lex,,Лекс (имя собственное)
5877,cerchare,,искать (ошибка: cercare)
5887,fermare ci,,остановить нас
5902,finare,,заканчивать (ошибка: finire)
5920,chiederò,,я спрошу/я попрошу
5921,fidare si,,доверяться
5926,portere,,нести (ошибка: portare)
5945,presentare ti,,представляться тебе
5947,fermare si,,останавливаться
5987,credere mi,,верить мне
6014,salvare lo,,спасать его
6025,togliere mi,,снимать меня/убирать меня
6035,prendare,,брать (ошибка: prendere)
6041,preparatee vi,,"готовьтесь (preparatevi, ошибка)"
6049,fidanzato,,жених/помолвленный
6067,comprio,,я покупаю (ошибка: compro)
6083,miguel,,Мигель (имя собственное)
6085,manchere ai,,не хватать вам (ошибка: mancarvi)
6093,insistire,,настаивать
6096,scusare ti,,извинять тебя
6098,cercare la,,искать её
6110,sedere si,,садиться
6122,sappiare,,знать (ошибка: sapere)
6136,muovere ci,,двигать нас/двигаться нам
6141,uccidere ci,,убить нас
6148,verdettere,,видеть (ошибка: vedere)
6169,diventee ra,,становиться (ошибка: diventare)
6218,impazzere,,сходить с ума (ошибка: impazzire)
6222,scompare si,,исчезать (ошибка: scomparire)
6223,unire si,,объединяться
6230,ascoltare mi,,слушать меня
6231,perdere ai,,терять вам (ошибка: perdervi)
6232,lenare,,успокаивать/лечить (ошибка: lenare)
6245,salvare la,,спасать её
6248,volevare,,хотеть (ошибка: volere)
6250,seguire mi,,следовать за мной
6254,svenere,,падать в обморок (ошибка: svenire)
6257,andare ve ne,,уходить/уезжать вам (andarvene)
6267,Haley,,Хейли (имя собственное)
6286,Nolan,,Нолан (имя собственное)
6287,permetterò,,я позволю/я разрешу
6319,presentare vi,,представляться вам
6320,accettare lo,,принимать его/соглашаться на него
6335,raccontae mi,,рассказывать мне (ошибка: raccontarmi)
6352,terrò,,я буду держать
6376,comportare ti,,вести себя
6388,riuscise si,,удаваться (ошибка: riuscire)
6396,beverlye,,"Беверли (имя собственное, ошибка)"
6398,conoscere vi,,знать вас/познакомиться с вами
6407,trovare si,,находиться
6423,e',,есть/это (è)
6454,assicurare si,,убеждаться/уверяться
6472,cercare ti,,искать тебя
6496,ehilà,,эй/привет
6502,incontrare ti,,встречать тебя
6503,morari,,умирать (ошибка: morire)
6531,riuscirò,,я смогу/у меня получится
6556,Brody,,Броуди (имя собственное)
6560,salvare mi,,спасать меня
6561,finiscilare,,заканчивать (ошибка: finire)
6562,buttere,,бросать/кидать (ошибка: buttare)
6582,chiedere gli,,спрашивать их (ошибка: chiedergli)
6598,accompagnire,,сопровождать (ошибка: accompagnare)
6601,prendere ne,,брать из этого
6605,peggyo,,"Пегги (имя собственное, ошибка)"
6611,accendire,,зажигать/включать (ошибка: accendere)
6648,pense ai,,думать вам (ошибка: pensarvi)
6690,colpiscire,,ударять/поражать (ошибка: colpire)
6697,fermare li,,остановить их
6707,aiuteere,,помогать (ошибка: aiutare)
6710,sapevare,,знать (ошибка: sapere)
6712,penseere,,думать (ошибка: pensare)
6731,mandare mi,,посылать меня
6737,unire ti,,соединять тебя/объединяться тебе
6740,verere,,видеть (ошибка: vedere)
6767,pensere ai,,думать вам (ошибка: pensarvi)
6772,proteggere la,,защищать её
6793,comportare si,,вести себя
6795,preparare si,,готовиться
6837,aspettare ti,,ждать тебя
6844,goditire,,наслаждаться (ошибка: godere/goditela)
6845,gavin,,Гэвин (имя собственное)
6855,prendere le,,брать её/брать им
6861,preghere,,молить/просить (ошибка: pregare)
6862,trovare li,,найти их
6863,posseia,,обладать (ошибка: possedere)
6873,proteggere mi,,защищать меня
6875,dimenticare ti,,забывать тебя
6883,concentrare mi,,сосредоточиваться мне
6897,vere,,видеть (ошибка: vedere)
6909,vogliare,,хотеть (ошибка: volere)
6917,aiuterò,,я помогу
6918,finere,,заканчивать (ошибка: finire)
6920,fidare ci,,доверять нам
6921,incontrare la,,встречать её
6924,brendere,,брать (ошибка: prendere)
6949,spiegare mi,,объяснять мне
6957,pierrere,,терять (ошибка: perdere/pierdere)
6960,chiedere vi,,спрашивать вас
6961,cercare mi,,искать меня
6972,togliere ti,,снимать тебя/убирать тебя
6982,rendere lo,,делать его/возвращать его
7008,arrivare ci,,прибывать нам
7024,mostrame,,показать мне (ошибка: mostrami)
7028,donovan,,Донован (имя собственное)
7031,volere ci,,хотеть нас
7036,trent,,Трент (имя собственное)
7051,discutere ne,,обсуждать это
7069,rimarre,,оставаться (ошибка: rimanere)
7080,parlavare,,говорить (ошибка: parlare)
7104,rivedere lo,,увидеть его снова
7109,cerchee ro,,искать его (ошибка: cercarlo)
7115,offrere,,предлагать (ошибка: offrire)
7127,scape pi,,убегать (ошибка: scappare)
7137,scelgere,,выбирать (ошибка: scegliere)
7151,sopportare lo,,терпеть его/выносить его
7159,scoprere,,открывать (ошибка: scoprire)
7196,prendimere,,брать (ошибка: prendere)
7205,bernia,,Берния (имя собственное)
7206,rendere ti,,делать тебя/возвращать тебе
7209,permettere ci,,позволять нам/разрешать нам
7230,sposare ci,,жениться на нас
7245,eleanor,,Элеонора (имя собственное)
7250,usere,,использовать (ошибка: usare)
7252,divertire ci,,развлекать нас/веселиться нам
7266,fermare la,,остановить её
7268,incontrare lo,,встречать его
7273,perdere ti,,терять тебя
7280,avvicinare si,,приближаться
7289,incontrere,,встречать (ошибка: incontrare)
7293,edgar,,Эдгар (имя собственное)
7300,garrett,,Гаррет (имя собственное)
7310,liberare si,,освобождаться
7316,accomodatevere,,размещайтесь/устраивайтесь (ошибка: accomodatevi)
7325,parlare vi,,говорить вам
7332,spiegare ti,,объяснять тебе
7345,finch,,Финч (имя собственное)
7348,malintendere,,недопонимать
7349,chiedergliee lo,,спросить его об этом (ошибка: chiederglielo)
7365,restere ai,,оставаться вам (ошибка: restargli)
7397,tenere li,,держать их
7404,alzare si,,вставать
7472,rivirre,,жить снова (ошибка: rivivere)
7477,convincere lo,,убеждать его
7482,toccare lo,,трогать его/касаться его
7514,portare li,,нести их
7515,liberare mi,,освобождать меня
7516,Bridget,,Бриджит (имя собственное)
7524,nascondere ti,,прятать тебя
7529,amare ti,,любить тебя
7540,uccidere ai,,убивать вам (ошибка: uccidervi)
7543,tirare ti,,тянуть тебя
7546,rilassare ti,,расслаблять тебя
7549,dispiacciare,,сожалеть (ошибка: dispiacere)
7558,divertire ti,,развлекать тебя
7567,deprettere,,обесценивать (ошибка: deprecare)
7576,occuperare,,занимать (ошибка: occupare)
7586,aiutare li,,помогать им
7593,distratre,,отвлекать (ошибка: distrarre)
7619,perdonare mi,,прощать меня
7635,scere,,быть/знать (ошибка: essere/sapere)
7638,chiedertee lo,,спросить тебя об этом (ошибка: chiedertelo)
7641,dimenticare lo,,забывать его
7655,avvicinarre ti,,приближаться к тебе (ошибка: avvicinarti)
7658,inseguere,,преследовать (ошибка: inseguire)
7662,permettere si,,позволять себе
7669,gli li,,"им/их (glieli, местоимение)"
7675,conoscessare,,знать (ошибка: conoscere)
7694,ricomincere,,начинать снова (ошибка: ricominciare)
7711,farere,,делать (ошибка: fare)
7733,Benedetto,,Бенедетто/благословенный (имя собственное)
7735,preparare mi,,готовить меня/готовиться мне
7747,arrere,,прибывать (ошибка: arrivare)
7751,toglie mi,,снимать меня (ошибка: togliermi)
7766,occupare ti,,занимать тебя
7793,Legga,,"пусть читает (leggere, повелительное)"
7799,finire lo,,заканчивать его
7804,Lasceranno,,они оставят/они отпустят
7813,uccidere li,,убить их
7830,ringraziare mi,,благодарить меня
7841,sposare lo,,выходить за него/жениться на нём
7871,evitare lo,,избегать его
7873,Mina,,Мина (имя собственное)
7915,peyton,,Пейтон (имя собственное)
7918,darrenre,,"Даррен (имя собственное, ошибка)"
7921,vedere le,,видеть ей/им
7925,portare le,,нести ей/им
7930,tenere si,,держаться
7932,divertire mi,,развлекать меня/веселиться мне
7934,proteggere lo,,защищать его
7942,assicurare ci,,уверять нас/убеждать нас
7964,manderere,,посылать (ошибка: mandare)
8008,dovere lo,,должен его
8010,chiedermee lo,,спросить меня об этом (ошибка: chiedermelo)
8036,riuscirare,,удаваться (ошибка: riuscire)
8037,paghere ai,,платить вам (ошибка: pagarvi)
8043,muovere mi,,двигать меня
8062,spiegheere,,объяснять (ошибка: spiegare)
8065,succedare,,случаться/происходить (ошибка: succedere)
8077,facciamolare,,давайте сделаем (ошибка: facciamolo)
8089,averge li,,иметь их (ошибка: averli)
8100,lavorare ci,,работать нам
8101,lasciare li,,оставлять их
8105,prendertere la,,брать её (ошибка: prenderla)
8113,cambiare mi,,менять меня/меняться мне
8131,portare vi,,нести вам
8143,sore tt,,"Скотт (имя собственное, ошибка)"
8149,convincere mi,,убеждать меня
8150,tirare lo,,тянуть его
8153,scommettere ci,,держать пари на это
8166,ricordare mi,,напоминать мне/вспоминать мне
8175,occupire,,занимать (ошибка: occupare)
8176,ringraziare lo,,благодарить его
8187,alzare ti,,поднимать тебя
8200,scopriro,,я открою/я узнаю (ошибка: scoprirò)
8201,mettere li,,класть их/ставить их
8220,pentire ai,,раскаиваться вам (ошибка: pentirvi)
8230,spiegare lo,,объяснять его
8232,florrie ck,,"Флорри (имя собственное, ошибка)"
8262,dovevare,,должен был (ошибка: dovere)
8273,sparare mi,,стрелять в меня
8339,tato,,Тато (имя собственное)
8345,cambere,,менять (ошибка: cambiare)
8351,tirar,,тянуть (tirare)
8383,potere ci,,мочь нам
8392,mandare lo,,посылать его
8410,paghare,,платить (ошибка: pagare)
8430,divertiere,,развлекать (ошибка: divertire)
8473,nascondere mi,,прятать меня
8481,tirare mi,,тянуть меня
8484,liberare ti,,освобождать тебя
8489,sistemere,,устраивать/систематизировать (ошибка: sistemare)
8498,sfuggere,,избегать/ускользать (ошибка: sfuggire)
8511,aprare,,открывать (ошибка: aprire)
8513,antoinire,,"Антуан (имя собственное, ошибка)"
8527,uscire ai,,выходить вам (ошибка: uscirvi)
8529,sapere si,,знать себе
8535,disturbarto,,беспокоить тебя (ошибка: disturbarti)
8541,farmee lo,,делать это мне (ошибка: farmelo)
8554,incontrare mi,,встречать меня
8563,sparare gli,,стрелять в них
8585,capirare,,понимать (ошибка: capire)
8599,insirre,,вставлять (ошибка: inserire)
8613,offrire lo,,предлагать его
8629,farare,,делать (ошибка: fare)
8646,scoprire ai,,открывать вам (ошибка: scoprirvi)
8648,tenere ci,,держать нас
8666,offriri,,предлагать (ошибка: offrire)
8681,stuprare,,насиловать
8685,rimarre ai,,оставаться вам (ошибка: rimanere)
8714,rovesciare,,опрокидывать
8719,accostare,,приближать/прислонять
8725,bandire,,запрещать/изгонять
8726,Bradley,,Брэдли (имя собственное)
8738,vendicare si,,мстить
8741,fissira,,зафиксировать/уставиться (ошибка: fissare)
8760,insinuare,,насмехаться/внушать
8761,accennare,,упоминать/намекать
8765,metterare,,класть/ставить (ошибка: mettere)
8768,immaginare lo,,представлять его
8778,Lavandino,,раковина
8783,terrà,,земля
8796,dovere ti,,быть должным тебе
8797,rifare lo,,переделывать его
8802,gardnere,,"Гарднер (имя собственное, ошибка)"
8808,ereditare,,наследовать
8815,torturare,,пытать
8819,respintare,,отталкивать (ошибка: respingere)
8820,calmare ti,,успокаивать тебя
8825,alzare mi,,поднимать меня
8846,piazzare,,размещать/ставить
8852,Robinson,,Робинсон (имя собственное)
8858,toccare la,,трогать её/касаться её
8883,mostrare mi,,показывать мне
8886,presentare mi,,представляться мне
8898,stare mi,,быть мне/оставаться мне
8902,rendere mi,,делать меня/возвращать мне
8903,piacere ti,,нравиться тебе
8915,promottere,,продвигать (ошибка: promuovere)
8939,ringraziare vi,,благодарить вас
8942,bagnare,,мочить
8962,iniziere,,начинать (ошибка: iniziare)
8967,incaricare,,поручать/нагружать
8971,diventere,,становиться (ошибка: diventare)
8972,soffrare,,страдать (ошибка: soffrire)
