rank,verb,collocations,ru
211,aspettare,aspettando con ansia;aspettando un treno;aspettando una risposta;aspettano con ansia;aspettano il momento;aspettano l'autobus;aspettano una risposta;aspettare con ansia;aspettare i risultati;aspettare il colpo;aspettare il treno;aspettare l'arrivo;aspettare qualcuno;aspettare un momento;aspettate i risultati;aspettate il vostro turno;aspettate pazientemente;aspettate un momento;aspettava con ansia;aspettava il momento;aspettava l'autobus;aspettava un figlio;aspettava una risposta;aspettavo con ansia;aspettavo il momento;aspettavo un segno;aspettavo una risposta;aspettiamo con ansia;aspettiamo il risultato;aspettiamo le istruzioni;molto aspettato;stare ad aspettare,ждать/ожидать/дожидаться
226,pregare,prega ardentemente;prega dio;prega il signore;prega in silenzio;prega per me;pregare ardentemente;pregare di attendere;pregare di partire;pregare di smettere;pregare di tacere;pregare di uscire;pregare dio;pregare in silenzio;pregare per qualcuno;pregare qualcuno di,молиться/просить/умолять
229,sentire,aver sentito parlare;sente il bisogno;sente l'odore;senti dire;senti dolore;senti freddo;senti puzza;sentiamo dire;sentiamo il rumore;sentiamo la differenza;sentire dolore;sentire freddo;sentire il battito;sentire il bisogno;sentire la musica;sentire parlare;sentire puzza;sentire un rumore;sentire un suono;sentire una voce;sentiti in colpa;sentiti libero;sentiti tranquillo;sentiva il bisogno;sentiva la mancanza;sentiva odore;sentiva pressione;sentivo dire;sentivo il bisogno;sentivo la mancanza;sentivo odore;sento dolore;sento freddo;sento mancanza;sento puzza;sentono il bisogno;sentono la mancanza;si sentono male,чувствовать/слышать/ощущать
247,venire,essere venuta a galla;essere venuta a mancare;essere venuta in luce;essere venuta meno;essere venuto meno;venendo meno a;vengono a mancare;vengono a sapere;vengono meno;veniamo a sapere;veniamo al punto;veniamo meno;veniamo meno a;venire a sapere;venire fuori;venire in mente;venire incontro;venire meglio;venire meno;venire peggio;venire prima;veniva a mancare;veniva a sapere;veniva meno;venivano a galla;venivano a mancare;venivano a sapere;venivano meno;venne a galla;venne a mancare;venne a sapere;venne meno;venuti in aiuto;venuti meno;verranno a galla;verrà a galla;verrà a mancare;verrà a sapere;verrà fuori;verrà meno;viene a mancare;viene a sapere;viene fuori;viene meno,приходить/прибывать/наступать
249,guardare,guarda avanti;guarda indietro;guarda la tv;guardando in faccia;guardano avanti;guardano fisso;guardano indietro;guardano la televisione;guardare avanti;guardare con attenzione;guardare i risultati;guardare il cielo;guardare il mondo;guardare il panorama;guardare indietro;guardare la tv;guardare le stelle;guardate indietro;guardato attentamente;guardato con sospetto;guardato dall'alto in basso;guardava indietro;guardi avanti;guardi la tv;guardiamo avanti;guardiamo la tv;guardiamo un film;guardo avanti;guardo indietro;guardo la tv,смотреть/глядеть/рассматривать
251,trovare,essersi trovati bene;ha trovato il coraggio;ha trovato l'ispirazione;ha trovato un accordo;ha trovato un modo;ha trovato una soluzione;non trovo pace;si trovano d'accordo;si trovano in difficoltà;trova il coraggio;trova un accordo;trova una soluzione;trovare fortuna;trovare il coraggio;trovare l'occasione;trovare la strada;trovare lavoro;trovare spazio;trovare un accordo;trovare un colpevole;trovare un modo;trovare una soluzione;trovarsi d'accordo;trovate il coraggio;trovate l'ispirazione;trovate un accordo;trovate una soluzione;trovava modo;trovava utile;troveranno il modo;troveranno un accordo;troveranno un compromesso;troveranno una soluzione;troveremo il modo;troveremo un accordo;troveremo un compromesso;troveremo una via;troverete accordo;troverete modo;troverete pace;troverete risposta;troverà il modo;troverà risposta;troverà spazio;troverà un accordo;troverà una soluzione;troverò il modo;troverò le parole;troverò un accordo;troverò una soluzione;trovi il coraggio;trovi un accordo;troviamo il modo;troviamo un accordo;troviamo una soluzione;trovo utile,находить/обнаруживать/отыскивать
268,prendere,ho presi accordi;ho presi appunti;ho presi contatti;prenda atto;prenda in giro;prenda posizione;prenda tempo;prenda una decisione;prende atto;prende in giro;prende l'abitudine;prende tempo;prende una decisione;prendendo atto;prendendo coscienza;prendendo in giro;prenderai atto;prenderai posizione;prendere appunti;prendere aria;prendere atto;prendere freddo;prendere fuoco;prendere il treno;prendere in giro;prendere tempo;prendere un colpo;prendere una decisione;prenderemo atto;prenderemo tempo;prenderemo una decisione;prenderà atto;prenderà il volo;prenderà posizione;prenderà tempo;prenderà una decisione;prendete appunti;prendete in giro;prendete l'autobus;prendete tempo;prendete una decisione;prendi atto;prendi in giro;prendi l'abitudine;prendi una decisione;prendiamo atto;prendiamo tempo;prendiamo una decisione;prendo atto;prendo in giro;prendo l'autobus;prendo un caffè;prendo una decisione;prendono atto;prendono il sole;prendono in giro;prendono tempo;prendono una decisione;presa di posizione;prese atto;prese coscienza;prese posizione;prese una decisione;preso atto;preso atto di;preso in giro,брать/взять/принимать
273,bastare,basta un attimo;basta una parola,достаточно/хватать
288,capire,capire bene;capire i meccanismi;capire il motivo;capire il senso;capire la differenza;capire le intenzioni;capire tutto;capisce il motivo;capisce l'inglese;capisco il motivo;farsi capire;non capire nulla,понимать/соображать/осознавать
292,servire,aver servito il pranzo;aver servito la cena;essere ben servito;essere servito a tavola;servire a qualcosa;servire da esempio;servire il cliente;servire l'esercito;servire un piatto;servirebbe un aiuto;servirebbe un miracolo;servirebbe una soluzione;servirà da esempio;servivano i documenti;si serva di aiuto,служить/обслуживать/годиться
302,scusare,chiedere scusa;scusare il ritardo;scusare l'attesa;scusare un comportamento;scusare un errore;scusare un gesto;scusare un torto;scusarsi per;scusate il ritardo;scusate l'attesa;scusate l'insistenza;scusate l'interruzione,извинять/прощать
308,portare,aver portato a termine;aver portato fortuna;aver portato via;portando a termine;portando avanti;portando fortuna;portano a termine;portano avanti;portano fortuna;portano in primo piano;portano via;portare a termine;portare avanti;portare avanti la causa;portare dolore;portare fortuna;portare gioia;portare in considerazione;portare pazienza;portare rispetto;portare via;portate a galla;portate a spasso;portate a termine;portate avanti;portate in tavola;portava a termine;portava avanti;portava fortuna;portava gli occhiali;portava i capelli;porterà a termine;porterà avanti;porterà benefici;porterà fortuna;porterò a termine;porterò avanti;porterò fortuna;porti a termine;porti fortuna;porti un regalo;portiamo a termine;portiamo avanti;portiamo fortuna,носить/нести/привозить
313,succedere,succede l'incredibile;succedere improvvisamente;succedere per caso,случаться/происходить/преемствовать
314,morire,morendo di dolore;morendo di fame;morendo di ridere;morendo di sete;morirai di noia;morirai di paura;morire di fame;morire di freddo;morire di noia;morire di paura;morire di risate;morire di vecchiaia;morire giovane;morire in incidente;morire per cause naturali;morire sul colpo;moriremo di fame;moriremo di freddo;moriremo di noia;morirà di fame;morirà di freddo;morirà di noia;morì di fame;morì di freddo;morì giovane;morì prematuramente;muoiono di fame;muoiono di freddo;muoiono di noia;muoiono di risate;muoiono di sete;muore di dolore;muore di fame;muore di freddo;muore di noia;muore di sete,умирать/погибать
315,cercare,cerca lavoro;cercando un lavoro;cercare aiuto;cercare di capire;cercare fortuna;cercare il colpevole;cercare la verità;cercare lavoro;cercare ossessivamente qualcosa;cercare una scusa;cercare una soluzione;cercate aiuto;cercate lavoro;cercate una soluzione;cercava aiuto;cercava lavoro;cerchi aiuto;cerchi lavoro;cerco aiuto;cerco lavoro;cerco un modo,искать/разыскивать/стремиться
330,leggere,leggendo tra le righe;leggere ad alta voce;leggere attentamente;leggere i risultati;leggere il giornale;leggere la posta;leggere tra le righe;leggere un articolo;leggere un libro;leggere un romanzo;leggere una lettera;leggo tra le righe;leggo un libro;leggo un messaggio,читать/прочитывать
347,uccidere,uccide a sangue freddo;uccide la curiosità;uccidendo a sangue freddo;uccideranno a sangue freddo;uccidere a sangue freddo;uccidere il tempo;uccidere la curiosità;uccidere la fame;uccidere senza pietà;uccidere un animale;uccidere un nemico;uccidere un sogno;uccidere un sospettato;uccidi il silenzio;uccidi l'atmosfera;uccise a sangue freddo;uccisi a sangue freddo;ucciso a sangue freddo;ucciso in guerra;ucciso per errore;venire uccisa;venire ucciso,убивать/умерщвлять
365,tornare,essere tornata in vita;essere tornata indietro;essere tornati in vita;essere tornati indietro;essere tornati sani e salvi;essere tornato in vita;torna a casa;torna a galla;torna in mente;torna indietro;torna utile;tornando indietro;tornano a casa;tornano a galla;tornano in vita;tornano indietro;tornare a casa;tornare a galla;tornare ai tempi passati;tornare alla moda;tornare di moda;tornare in auge;tornare in mente;tornare indietro;tornare nel passato;tornare utile;tornate a casa;tornate indietro;tornerai indietro;torneranno indietro;torneremo indietro;tornerà a casa;tornerà indietro;tornerò indietro;torni in attivo;torni indietro;torniamo al punto;torniamo in pista;torniamo indietro;torniamo sull'argomento;torno a casa;torno indietro,возвращаться/вернуться
395,chiedere,chieda aiuto;chieda informazioni;chieda scusa;chieda spiegazioni;chieda un favore;chiede aiuto;chiede il conto;chiede informazioni;chiede scusa;chiede un favore;chiedendo aiuto;chiedendo consiglio;chiedendo informazioni;chiedendo permesso;chiedendo scusa;chiedere aiuto;chiedere giustizia;chiedere il conto;chiedere il parere;chiedere informazioni;chiedere l'impossibile;chiedere la mano;chiedere scusa;chiedere un aumento;chiedere un favore;chiederò aiuto;chiederò il conto;chiederò informazioni;chiederò scusa;chiederò un favore;chiedevo aiuto;chiedevo informazioni;chiedevo scusa;chiedevo un favore;chiedi aiuto;chiedi il permesso;chiedi informazioni;chiedi scusa;chiedi un favore;chiediamo aiuto;chiediamo il conto;chiediamo informazioni;chiediamo permesso;chiediamo scusa;chiedo aiuto;chiedo il conto;chiedo informazioni;chiedo scusa;chiedo un favore;chiedono aiuto;chiedono il conto;chiedono informazioni;chiedono perdono;chiedono scusa;chiesto aiuto;chiesto il conto;chiesto scusa;chiesto spiegazioni;chiesto un favore,спрашивать/просить/запрашивать
400,finire,essere finita male;finire bene;finire di lavorare;finire gli studi;finire i soldi;finire il compito;finire in fondo;finire in prima fila;finire in tragedia;finire l'università;finire la cena;finire la scuola;finire male;finire per sbaglio;finire un lavoro;finire un libro;finire una serie;finirà bene;finirà male;finisca bene;finisce bene;finisce male;finiscono di lavorare;finiscono i soldi;finiscono male,заканчивать/завершать/кончать
409,passare,essere passato del tempo;passa il tempo;passa l'aspirapolvere;passa la parola;passando il tempo;passano i giorni;passano il tempo;passano in rassegna;passano le ore;passare il tempo;passare il testimone;passare il turno;passare inosservato;passare l'aspirapolvere;passare la palla;passare la parola;passare la serata;passare per;passare un esame;passata al setaccio;passata in rassegna;passate il tempo;passate l'aspirapolvere;passate la parola;passerà il tempo;passerà l'effetto;passerà la voglia;passerà un momento,проходить/проводить/миновать
421,perdere,aver persa la testa;aver perso tempo;perde il filo;perde il treno;perde l'equilibrio;perde la pazienza;perde tempo;perdendo il controllo;perdendo l'equilibrio;perdendo la pazienza;perdendo peso;perdendo tempo;perdere il filo;perdere il lavoro;perdere il treno;perdere la memoria;perdere la pazienza;perdere le speranze;perdere peso;perdere tempo;perdere un'occasione;perdere una partita;perdi il filo;perdi l'equilibrio;perdi la pazienza;perdi tempo;perse il filo;perse l'equilibrio;perse la pazienza;perse tempo,терять/утратить/проигрывать
422,uscire,esce a cena;esce pazzo;esci di casa;esco di casa;escono a cena;escono insieme;escono pazzi;essere usciti a cena;essere usciti insieme;usciamo di casa;uscire a cena;uscire allo scoperto;uscire dal coro;uscire dal seminario;uscire dall'ombra;uscire dalla scuola;uscire di testa;uscire insieme;uscire pazzi;uscite a cena;uscite di casa;uscite insieme;uscito male;uscito vivo,выходить/покидать
433,significare,significano molto;significava poco,означать/значить
440,importare,importare beni di lusso;importare materie prime;importare merci;importare prodotti;importare tecnologie straniere,импортировать/ввозить
442,riuscire,riesca a dormire;riesce a capire;riesce a dormire;riesce a venire;riesci a capire;riesci a dormire;riesco a capire;riesco a dormire;riesco a vedere;riescono a capire;riescono a dormire;riescono a risolvere;riusciamo a capire;riusciamo a risolvere;riusciamo a trovare;riuscire a capire;riuscire a dormire;riuscire a fare;riuscire a venire;riuscita clamorosa;riusciti a capire;riusciti a ottenere;riuscito nell'impresa;riusciva a capire;riusciva a dormire;riusciva a leggere;riusciva a parlare;riuscivo a capire,удаваться/преуспевать/смочь
444,chiamare,chiama a raccolta;chiama al telefono;chiama in causa;chiamando a raccolta;chiamando in causa;chiamare a cena;chiamare a raccolta;chiamare aiuto;chiamare al telefono;chiamare i soccorsi;chiamare in causa;chiamare l'attenzione;chiamare un avvocato;chiamare un esperto;chiamati a raccolta;chiamati in causa;chiamati per nome;chiamato a raccolta;chiamato in causa;chiamerò la polizia;chiamiamo in causa;chiamiamo la polizia;chiamiamo un taxi;venire chiamati,звать/называть/вызывать
445,mettere,messa a fuoco;messa a punto;messa in moto;messa in pratica;messa in scena;messo a disposizione;messo in gioco;messo in guardia;messo in luce;messo in pratica;mette a rischio;mette in dubbio;mette in ordine;mette in pausa;mette in pratica;mettendo a rischio;mettendo in atto;mettendo in chiaro;mettendo in dubbio;mettendo in pratica;mettere a disposizione;mettere i piedi;mettere il cappello;mettere in dubbio;mettere in luce;mettere in ordine;mettere in pratica;mettere la firma;mettere le mani;mettere un impegno;metteremo a disposizione;metteremo in atto;metteremo in chiaro;metteremo in dubbio;metteremo in pratica;metterò a disposizione;metterò in atto;metterò in chiaro;metterò in dubbio;metterò in pratica;mettete a disposizione;mettete in dubbio;mettete in ordine;mettete in pausa;mettete in pratica;metti in chiaro;metti in dubbio;metti in ordine;metti in pausa;metti in pratica;mettiamo d'accordo;mettiamo in chiaro;mettiamo in ordine;mettiamo in pausa;mettiamo in pratica;metto a disposizione;metto in dubbio;metto in ordine;metto in pausa;metto in pratica;mettono a disposizione;mettono in chiaro;mettono in dubbio;mettono in gioco;mettono in pratica,класть/ставить/помещать
454,sperare,continuare a sperare;sperando di cuore;sperare ardentemente;sperare di vincere;sperare in qualcuno;sperare in un miracolo;sperare nel meglio;sperare nel successo;sperare nella vittoria;sperare sinceramente;speriamo di cuore;speriamo in meglio,надеяться/уповать
458,lasciare,aver lasciato andare;aver lasciato cadere;aver lasciato intendere;aver lasciato perdere;essere lasciata in sospeso;essere lasciata indietro;essere lasciata sola;essere lasciata stare;lascerò andare;lascerò cadere;lascerò intendere;lascerò spazio;lascerò stare;lascia perdere;lascia stare;lasciamo andare;lasciamo fare;lasciamo intendere;lasciamo perdere;lasciamo stare;lasciando stare;lasciano cadere;lasciano intendere;lasciano perdere;lasciano spazio;lasciano stare;lasciar andare;lasciar cadere;lasciar intendere;lasciar perdere;lasciar stare;lasciare andare;lasciare cadere;lasciare i capelli lunghi;lasciare il posto;lasciare intendere;lasciare la città;lasciare perdere;lasciare spazio;lasciare stare;lasciare un segno;lasciare una traccia;lasciate andare;lasciate cadere;lasciate intendere;lasciate perdere;lasciate stare;lasciati stare;lascio andare;lascio cadere;lascio perdere;lascio stare;lascio un messaggio,оставлять/покидать/позволять
459,ascoltare,ascoltare attentamente;ascoltare i consigli;ascoltare il silenzio;ascoltare la radio;ascoltare musica;ascoltare un brano;ascoltare un discorso;ascoltare un podcast;ascoltare un racconto;ascoltare una canzone;ascoltate i genitori;ascoltate il consiglio;ascoltate la musica;ascoltato il consiglio;ascoltato la musica;aver ascoltato attentamente,слушать/прослушивать
477,entrare,entra in contatto;entra in crisi;entra in gioco;entra in scena;entra in vigore;entrando in azione;entrando in contatto;entrando in gioco;entrano in azione;entrano in contatto;entrano in gioco;entrano in vigore;entrare in aula;entrare in casa;entrare in chiesa;entrare in contatto;entrare in crisi;entrare in gioco;entrare in palestra;entrare in ufficio;entrare in vigore;entri in contatto;entri in gioco;entri in vigore;entri nel merito;essere entrato in contatto;essere entrato in gioco,входить/поступать
489,amare,amano leggere;amano viaggiare;amare alla follia;amare il proprio lavoro;amare la libertà;amare la musica;amare la natura;amare la vita;amare perdutamente;amare profondamente;amare qualcuno;amare sinceramente;amava appassionatamente;amava follemente;amava perdutamente;amava profondamente;amavo follemente;amavo perdutamente;ami follemente;ami perdutamente;amiamo follemente;essere amato;essere molto amato;essere profondamente amato;sentirsi amato,любить/обожать
494,parere,chiedere un parere;esprimere un parere;parere contrario;parere strano;parere utile;un parere esperto,казаться/полагать/мнение
539,conoscere,conosce a fondo;conosce la strada;conosce per nome;conoscere a fondo;conoscere bene;conoscere i fatti;conoscere i limiti;conoscere il valore;conoscere la realtà;conoscere la verità;conoscere le regole;conoscere qualcuno;conoscete la strada;conoscete la verità;conoscete qualcuno;conosceva a fondo;conosci a fondo;conosci la strada;conosci qualcuno;conosciamo a fondo;conosco a memoria;conosco la strada;conosco qualcuno;conoscono a memoria;diventare conosciuta;essere ampiamente conosciuta;essere ampiamente conosciuto;essere ben conosciuta;essere ben conosciuto;essere poco conosciuto;essere universalmente conosciuto;farsi conoscere,знать/познакомиться/узнавать
541,vivere,aver vissuto intensamente;vissuto in povertà;vissuto un sogno;vissuto un trauma;vive insieme;vivere bene;vivere con dignità;vivere da solo;vivere di espedienti;vivere in armonia;vivere insieme;vivere nel lusso;vivere per sempre;vivere pericolosamente;vivere un sogno;viveva di rendita;vivono insieme;vivono soli,жить/проживать/существовать
543,provare,prova la pazienza;prova un sentimento;provando pazienza;provare coraggio;provare dolore;provare i vestiti;provare pazienza;provare sollievo;provare stanchezza;provare un'emozione;provare vergogna;provate fortuna;provate un vestito;provi il vestito;provi un sentimento,испытывать/пробовать/чувствовать
556,lavorare,aver lavorato insieme;ho lavorato sodo;lavora a casa;lavora in squadra;lavora per conto proprio;lavora sodo;lavorando a tempo pieno;lavorando sodo;lavorano a tempo pieno;lavorano da casa;lavorano sodo;lavorare a tempo pieno;lavorare con passione;lavorare da casa;lavorare duramente;lavorare incessantemente;lavorare insieme;lavorare instancabilmente;lavorare sodo;lavorare sotto pressione;lavorato a tempo pieno;lavorava a tempo pieno;lavorava duramente;lavorava sodo;lavoravo a tempo pieno;lavoravo sodo;lavoriamo sodo,работать/трудиться
581,mangiare,mangia fuori;mangia sano;mangiamo fuori;mangiamo qualcosa;mangiano a sazietà;mangiano fuori;mangiano sano;mangiare a colazione;mangiare a sbafo;mangiare a scrocco;mangiare a tradimento;mangiare bene;mangiare con gusto;mangiare fuori;mangiare insieme;mangiare sano;mangio sano,есть/кушать/поедать
585,trarre,trarre conclusioni;trarre ispirazione;trarre linfa;trarre profitto;trarre vantaggio;tratti in considerazione;tratti in dubbio;tratti in inganno;tratto in inganno;tratto per mano,извлекать/тянуть/выводить
636,ricevere,essere ben ricevuta;riceve un invito;riceve un messaggio;riceve un ordine;riceve un premio;riceve una risposta;ricevere istruzioni;ricevere notizie;ricevere ospiti;ricevere un applauso;ricevere un colpo;ricevere un pacco;ricevere un premio;ricevere un regalo;ricevere un'eredità;ricevere una risposta;ricevuto conferma;ricevuto un messaggio;ricevuto una risposta,получать/принимать
645,scrivere,scritto a mano;scritto bene;scritto male;scrive a mano;scrive un articolo;scrive un libro;scrive un messaggio;scrive una lettera;scrivendo un messaggio;scrivendo una lettera;scrivere a mano;scrivere un articolo;scrivere un curriculum;scrivere un libro;scrivere un messaggio;scrivere un report;scrivere un romanzo;scrivere un saggio;scrivere un testo;scrivere una lettera;scrivo a mano;scrivo un libro;scrivo un messaggio;scrivo un'email;scrivo una lettera,писать/написать
650,bere,aver bevuto acqua;bere a sorsi;bere acqua;bere alcolici;bere qualcosa di fresco;bere un caffè;bere una birra;bere vino;beve acqua;beve il tè;beve un caffè;beve una birra;bevo un bicchiere d'acqua;bevo un caffe;bevo un cocktail;bevo un succo;bevo una birra;bevuto a sorsi;bevuto troppo;bevuto un bicchiere;bevuto un caffè;continuare a bere,пить/выпивать
