Я получил сообщение;I got a message.
Ты обычно звонишь его брату каждый день?;Do you usually call his brother every day?
Ты не знаешь её;You don't know her+You do not know her.
У него очень хорошая работа;He has a very good job.
Ты построил этот дом?;Did you build this house?
Он не потратил те деньги;He didn't spend that money+He did not spend that money.
Она не ходит на работу;She doesn't go to work+She does not go to work.
Он получает сообщения от босса;He gets messages from his boss.
Я не поеду на такси;I won't take a taxi+I will not take a taxi.
У неё были друзья;She had friends.
Он говорил 30 минут;He talked for 30 minutes.
Я пригласил её;I invited her.
Тебе понравилось их предложение?;Did you like their offer?
Мне это не поможет;This won't help me+This will not help me.
Он обычно не уходит на работу в 9;He doesn't usually leave for work at 9+He does not usually leave for work at 9.
Мы знаем это;We know this.
Я работаю в этой компании;I work for that company.
Мы будем работать;We will work.
У тебя будут друзья;You will have friends.
Ему не нравится их предложение;He doesn't like their offer+He does not like their offer.
Он не завтракает по утрам;He doesn't have breakfast in the morning+He does not have breakfast in the morning.
У неё были друзья?;Did she have any friends?
Я работал много в офисе;I worked a lot in the office.
Он обычно уходит на работу в 9?;Does he usually leave for work at 9?
Она торгует машинами;She sells cars.
Он уходит с работы;He leaves work.
Крыша его дома выглядит красиво;The roof of his house looks nice.
Мы поможем ей;We will help her.
Она ходит в кино?;Does she go to the movies?
У неё есть друзья?;Does she have any friends?
Она не работает много;She doesn't work a lot+She does not work a lot.
Он говорил 30 минут?;Did he talk for 30 minutes?
Мы не продали старую машину;We didn't sell the old car+We did not sell the old car.
Я построил этот дом;I built this house.
Ты меня видишь?;Do you see me?
Я поеду на такси;I will take a taxi.
У неё есть друзья;She has friends.
Они знают это;They know this.
Он не знает этого;He doesn't know this+He does not know this.
Я поехал на такси;I took a taxi.
Мне не нравится их предложение;I don't like their offer+I do not like their offer.
Он отправлял тот емейл?;Did he send that email?
Он не отправлял тот емейл;He didn't send that email+He did not send that email.
Ей нравится учиться?;Does she like to study?
Она торговала машинами?;Did she sell cars?
Она пришла домой вчера вечером;She came home last night.
Они ходили в кино?;Did they go to the movies?
Мы не работаем много;We don't work a lot+We do not work a lot.
Она не получила подарок;She didn't get a present+She did not get a present.
Мы продали зелёную машину;We sold the green car.
Она не завтракала сегодня;She didn't have breakfast today+She did not have breakfast today.
Мы не работаем в этой компании;We don't work for that company+We do not work for that company.
Ты звонил его брату на прошлой неделе?;Did you call his brother last week?
У меня нет дома;I don't have a house+I do not have a house.
Она не уходит с работы рано;She doesn't leave work early+She does not leave work early.
Ты можешь починить эту машину?;Can you fix this car?
Я всегда встаю в 7;I always get up at 7.
Он не говорил 30 минут;He didn't talk for 30 minutes+He did not talk for 30 minutes.
Я не работал много на прошлой неделе;I didn't work a lot last week+I did not work a lot last week.
Он ездит на такси?;Does he take taxis?
Ты понял?;Do you get it?
У меня нет дорогой машины;I don't have an expensive car+I do not have an expensive car.
Она не ходит в кино;She doesn't go to the movies+She does not go to the movies.
Ты обычно уходишь на работу в 9?;Do you usually leave for work at 9?
У тебя есть друзья?;Do you have any friends?
Ты не сводил меня в кино;You didn't take me to the movies+You did not take me to the movies.
Ты торгуешь машинами?;Do you sell cars?
Мне нравится их предложение;I like their offer.
Я не могу починить эту машину;I can't fix this car+I cannot fix this car.
Они не работают из дома;They don't work from home+They do not work from home.
Ты знал её;You knew her.
Она работает из дома;She works from home.
Я звонил его брату на прошлой неделе;I called his brother last week.
Я не ушёл с работы;I didn't leave work+I did not leave work.
Ты пригласишь её?;Will you invite her?
Ей это помогает?;Does this help her?
Она тебя не видит;She doesn't see you+She does not see you.
Он работает в этой компании;He works for that company.
Мы работаем много;We work a lot.
Он обычно звонит его брату каждый день?;Does he usually call his brother every day?
Я не свожу тебя в кино на следующей неделе;I won't take you to the movies next week+I will not take you to the movies next week.
Ты учил английский несколько месяцев?;Did you study English for a few months?
Тебе нравится их предложение?;Do you like their offer?
Он обычно звонит его брату каждый день;He usually calls his brother every day.
Ты работал много на прошлой неделе?;Did you work a lot last week?
Он говорил 30 минут;He talked for 30 minutes.
Ему нравится их предложение?;Does he like their offer?
Он не построил этот дом;He didn't build this house+He did not build this house.
Ты её знаешь?;Do you know her?
Она печёт торты?;Does she make cakes?
Ты получил моё сообщение?;Did you get my message?
Мы не ходим в кино;We don't go to the movies+We do not go to the movies.
Мы будем работать?;Will we work?
Я помог ему;I helped him.
У неё была дорогая машина;She had an expensive car.
Он меня видит?;Does he see me?
Я могу починить эту машину;I can fix this car.
Ты не знал её;You didn't know her+You did not know her.
Мы их не приглашали;We didn't invite them+We did not invite them.
Ты получаешь сообщения?;Do you get messages?
Ты поедешь на такси?;Will you take a taxi?
У него есть дорогая машина?;Does he have an expensive car?
Они обычно работают на выходных;They usually work at weekends+They usually work on weekends.
Ей нравится учиться;She likes to study.
Я ухожу с работы в 5;I leave work at 5.
Она меня видела?;Did she see me?
Я не понимаю этого;I don't get it+I do not get it.
Он не ходил в кино;He didn't go to the movies+He did not go to the movies.
Ты ушёл с работы?;Did you leave work?
Я обычно звоню его брату каждый день;I usually call his brother every day.
Ты работаешь в этой компании?;Do you work for that company?
Она завтракает утром?;Does she have breakfast in the morning?
Мы их приглашали?;Did we invite them?
Мы ходим на работу;We go to work.
Ты испёк торт вчера?;Did you make a cake yesterday?
Я получил сообщение от босса;I got a message from my boss.
Она получает сообщения?;Does she get messages?
Я свожу тебя в кино на следующей неделе;I will take you to the movies next week.
Ты получаешь сообщения;You get messages.
Он завтракает дома;He has breakfast at home.
Я не звоню его сестре на выходных;I don't call his sister at weekends+I do not call his sister at weekends.
