Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
он хотел есть (avere fame);Lui ha avuto fame.
она хотела есть (avere fame);Lei ha avuto fame.
мы хотели есть (avere fame);Noi abbiamo avuto fame.
вы хотели есть (avere fame);Voi avete avuto fame.
они хотели есть (avere fame);Loro hanno avuto fame.
я уже хотел есть (avere fame);Io avevo avuto fame.
ты уже хотел есть (avere fame);Tu avevi avuto fame.
он уже хотел есть (avere fame);Lui aveva avuto fame.
она уже хотела есть (avere fame);Lei aveva avuto fame.
мы уже хотели есть (avere fame);Noi avevamo avuto fame.
вы уже хотели есть (avere fame);Voi avevate avuto fame.
они уже хотели есть (avere fame);Loro avevano avuto fame.
я буду хотеть есть (avere fame);Io avrò fame.
ты будешь хотеть есть (avere fame);Tu avrai fame.
он будет хотеть есть (avere fame);Lui avrà fame.
она будет хотеть есть (avere fame);Lei avrà fame.
мы будем хотеть есть (avere fame);Noi avremo fame.
вы будете хотеть есть (avere fame);Voi avrete fame.
они будут хотеть есть (avere fame);Loro avranno fame.
я уже проголодаюсь (avere fame);Io avrò avuto fame.
ты уже проголодаешься (avere fame);Tu avrai avuto fame.
он уже проголодается (avere fame);Lui avrà avuto fame.
она уже проголодается (avere fame);Lei avrà avuto fame.
мы уже проголодаемся (avere fame);Noi avremo avuto fame.
вы уже проголодаетесь (avere fame);Voi avrete avuto fame.
они уже проголодаются (avere fame);Loro avranno avuto fame.
я бы хотел есть (avere fame);Io avrei fame.
ты бы хотел есть (avere fame);Tu avresti fame.
он бы хотел есть (avere fame);Lui avrebbe fame.
она бы хотела есть (avere fame);Lei avrebbe fame.
мы бы хотели есть (avere fame);Noi avremmo fame.
вы бы хотели есть (avere fame);Voi avreste fame.
они бы хотели есть (avere fame);Loro avrebbero fame.
я бы проголодался (avere fame);Io avrei avuto fame.
ты бы проголодался (avere fame);Tu avresti avuto fame.
он бы проголодался (avere fame);Lui avrebbe avuto fame.
она бы проголодалась (avere fame);Lei avrebbe avuto fame.
мы бы проголодались (avere fame);Noi avremmo avuto fame.
вы бы проголодались (avere fame);Voi avreste avuto fame.
они бы проголодались (avere fame);Loro avrebbero avuto fame.
он хочет, чтобы я проголодался (avere fame);Lui vuole che io abbia fame.
она хочет, чтобы ты проголодался (avere fame);Lei vuole che tu abbia fame.
я думаю, что он голоден (avere fame);Io penso che lui abbia fame.
мы думаем, что она голодна (avere fame);Noi pensiamo che lei abbia fame.
ты думаешь, что мы голодны (avere fame);Tu pensi che noi abbiamo fame.
я думаю, что вы голодны (avere fame);Io penso che voi abbiate fame.
он думает, что они голодны (avere fame);Lui pensa che loro abbiano fame.
она хотела, чтобы я хотел есть (avere fame);Lei voleva che io avessi fame.
он думал, что ты хочешь есть (avere fame);Lui pensava che tu avessi fame.
я верил, что он хочет есть (avere fame);Io credevo che lui avesse fame.
мы надеялись, что она хочет есть (avere fame);Noi speravamo che lei avesse fame.
они боялись, что мы хотим есть (avere fame);Loro temevano che noi avessimo fame.
я думал, что вы хотите есть (avere fame);Io pensavo che voi aveste fame.
она хотела, чтобы они хотели есть (avere fame);Lei voleva che loro avessero fame.
он думает, что я уже проголодался (avere fame);Lui pensa che io abbia avuto fame.
она думает, что ты уже проголодался (avere fame);Lei pensa che tu abbia avuto fame.
я думаю, что он уже проголодался (avere fame);Io penso che lui abbia avuto fame.
мы думаем, что она уже проголодалась (avere fame);Noi pensiamo che lei abbia avuto fame.
ты думаешь, что мы уже проголодались (avere fame);Tu pensi che noi abbiamo avuto fame.
я думаю, что вы уже проголодались (avere fame);Io penso che voi abbiate avuto fame.
он думает, что они уже проголодались (avere fame);Lui pensa che loro abbiano avuto fame.
я совершаю прогулку (fare una passeggiata);Io faccio una passeggiata.
ты совершаешь прогулку (fare una passeggiata);Tu fai una passeggiata.
он совершает прогулку (fare una passeggiata);Lui fa una passeggiata.
она совершает прогулку (fare una passeggiata);Lei fa una passeggiata.
мы совершаем прогулку (fare una passeggiata);Noi facciamo una passeggiata.
вы совершаете прогулку (fare una passeggiata);Voi fate una passeggiata.
они совершают прогулку (fare una passeggiata);Loro fanno una passeggiata.
я гулял (fare una passeggiata);Io facevo una passeggiata.
ты гулял (fare una passeggiata);Tu facevi una passeggiata.
он гулял (fare una passeggiata);Lui faceva una passeggiata.
она гуляла (fare una passeggiata);Lei faceva una passeggiata.
мы гуляли (fare una passeggiata);Noi facevamo una passeggiata.
вы гуляли (fare una passeggiata);Voi facevate una passeggiata.
они гуляли (fare una passeggiata);Loro facevano una passeggiata.
я совершил прогулку (fare una passeggiata);Io feci una passeggiata.
ты совершил прогулку (fare una passeggiata);Tu facesti una passeggiata.
он совершил прогулку (fare una passeggiata);Lui fece una passeggiata.
она совершила прогулку (fare una passeggiata);Lei fece una passeggiata.
мы совершили прогулку (fare una passeggiata);Noi facemmo una passeggiata.
вы совершили прогулку (fare una passeggiata);Voi faceste una passeggiata.
они совершили прогулку (fare una passeggiata);Loro fecero una passeggiata.
я прогулялся (fare una passeggiata);Io ho fatto una passeggiata.
ты прогулялся (fare una passeggiata);Tu hai fatto una passeggiata.
он прогулялся (fare una passeggiata);Lui ha fatto una passeggiata.
она прогулялась (fare una passeggiata);Lei ha fatto una passeggiata.
мы прогулялись (fare una passeggiata);Noi abbiamo fatto una passeggiata.
вы прогулялись (fare una passeggiata);Voi avete fatto una passeggiata.
они прогулялись (fare una passeggiata);Loro hanno fatto una passeggiata.
я уже задал вопрос (fare una domanda);Io avevo fatto una domanda.
ты уже задал вопрос (fare una domanda);Tu avevi fatto una domanda.
он уже задал вопрос (fare una domanda);Lui aveva fatto una domanda.
она уже задала вопрос (fare una domanda);Lei aveva fatto una domanda.
мы уже задали вопрос (fare una domanda);Noi avevamo fatto una domanda.
вы уже задали вопрос (fare una domanda);Voi avevate fatto una domanda.
они уже задали вопрос (fare una domanda);Loro avevano fatto una domanda.
я сделаю прогулку (fare una passeggiata);Io farò una passeggiata.
ты сделаешь прогулку (fare una passeggiata);Tu farai una passeggiata.
он сделает прогулку (fare una passeggiata);Lui farà una passeggiata.
она сделает прогулку (fare una passeggiata);Lei farà una passeggiata.
мы сделаем прогулку (fare una passeggiata);Noi faremo una passeggiata.
вы сделаете прогулку (fare una passeggiata);Voi farete una passeggiata.
они сделают прогулку (fare una passeggiata);Loro faranno una passeggiata.
я успею задать вопрос (fare una domanda);Io avrò fatto una domanda.
ты успеешь задать вопрос (fare una domanda);Tu avrai fatto una domanda.
он успеет задать вопрос (fare una domanda);Lui avrà fatto una domanda.
она успеет задать вопрос (fare una domanda);Lei avrà fatto una domanda.
мы успеем задать вопрос (fare una domanda);Noi avremo fatto una domanda.
вы успеете задать вопрос (fare una domanda);Voi avrete fatto una domanda.
они успеют задать вопрос (fare una domanda);Loro avranno fatto una domanda.
я бы совершил прогулку (fare una passeggiata);Io farei una passeggiata.
ты бы совершил прогулку (fare una passeggiata);Tu faresti una passeggiata.
он бы совершил прогулку (fare una passeggiata);Lui farebbe una passeggiata.
она бы совершила прогулку (fare una passeggiata);Lei farebbe una passeggiata.
мы бы совершили прогулку (fare una passeggiata);Noi faremmo una passeggiata.
вы бы совершили прогулку (fare una passeggiata);Voi fareste una passeggiata.
они бы совершили прогулку (fare una passeggiata);Loro farebbero una passeggiata.
я бы сделал прогулку (fare una passeggiata);Io avrei fatto una passeggiata.
ты бы сделал прогулку (fare una passeggiata);Tu avresti fatto una passeggiata.
он бы сделал прогулку (fare una passeggiata);Lui avrebbe fatto una passeggiata.
она бы сделала прогулку (fare una passeggiata);Lei avrebbe fatto una passeggiata.
мы бы сделали прогулку (fare una passeggiata);Noi avremmo fatto una passeggiata.
вы бы сделали прогулку (fare una passeggiata);Voi avreste fatto una passeggiata.
они бы сделали прогулку (fare una passeggiata);Loro avrebbero fatto una passeggiata.
он хочет, чтобы я задал вопрос (fare una domanda);Lui vuole che io faccia una domanda.
она хочет, чтобы ты задал вопрос (fare una domanda);Lei vuole che tu faccia una domanda.
я думаю, что он задаст вопрос (fare una domanda);Io penso che lui faccia una domanda.
я думаю, что она задаст вопрос (fare una domanda);Io penso che lei faccia una domanda.
он хочет, чтобы мы задали вопрос (fare una domanda);Lui vuole che noi facciamo una domanda.
я надеюсь, что вы зададите вопрос (fare una domanda);Io spero che voi facciate una domanda.
мне кажется, что они зададут вопрос (fare una domanda);Credo che loro facciano una domanda.
он хотел, чтобы я задал вопрос (fare una domanda);Lui voleva che io facessi una domanda.
она хотела, чтобы ты задал вопрос (fare una domanda);Lei voleva che tu facessi una domanda.
я думал, что он задаст вопрос (fare una domanda);Io pensavo che lui facesse una domanda.
мы надеялись, что она задаст вопрос (fare una domanda);Noi speravamo che lei facesse una domanda.
они боялись, что мы зададим вопрос (fare una domanda);Loro temevano che noi facessimo una domanda.
я верил, что вы зададите вопрос (fare una domanda);Io credevo che voi faceste una domanda.
он хотел, чтобы они задали вопрос (fare una domanda);Lui voleva che loro facessero una domanda.
он думает, что я уже задал вопрос (fare una domanda);Lui pensa che io abbia fatto una domanda.
она надеется, что ты уже задал вопрос (fare una domanda);Lei spera che tu abbia fatto una domanda.
я сомневаюсь, что он уже задал вопрос (fare una domanda);Io dubito che lui abbia fatto una domanda.
мы верим, что она уже задала вопрос (fare una domanda);Noi crediamo che lei abbia fatto una domanda.
они думают, что мы уже задали вопрос (fare una domanda);Loro pensano che noi abbiamo fatto una domanda.
я полагаю, что вы уже задали вопрос (fare una domanda);Io suppongo che voi abbiate fatto una domanda.
она надеется, что они уже задали вопрос (fare una domanda);Lei spera che loro abbiano fatto una domanda.
я знаю правду (la verità);Io so la verità.
ты знаешь правду (la verità);Tu sai la verità.
он знает правду (la verità);Lui sa la verità.
она знает правду (la verità);Lei sa la verità.
мы знаем правду (la verità);Noi sappiamo la verità.
вы знаете правду (la verità);Voi sapete la verità.
они знают правду (la verità);Loro sanno la verità.
я знал правду (sapere la verità);Io sapevo la verità.
ты знал правду (sapere la verità);Tu sapevi la verità.
он знал правду (sapere la verità);Lui sapeva la verità.
она знала правду (sapere la verità);Lei sapeva la verità.
мы знали правду (sapere la verità);Noi sapevamo la verità.
вы знали правду (sapere la verità);Voi sapevate la verità.
они знали правду (sapere la verità);Loro sapevano la verità.
я узнал правду (sapere la verità);Io seppi la verità.
ты узнал правду (sapere la verità);Tu sapesti la verità.
он узнал правду (sapere la verità);Lui seppe la verità.
она узнала правду (sapere la verità);Lei seppe la verità.
мы узнали правду (sapere la verità);Noi sapemmo la verità.
вы узнали правду (sapere la verità);Voi sapeste la verità.
они узнали правду (sapere la verità);Loro seppero la verità.
я узнал правду (sapere la verità);Io ho saputo la verità.
ты узнал правду (sapere la verità);Tu hai saputo la verità.
он узнал правду (sapere la verità);Lui ha saputo la verità.
она узнала правду (sapere la verità);Lei ha saputo la verità.
мы узнали правду (sapere la verità);Noi abbiamo saputo la verità.
вы узнали правду (sapere la verità);Voi avete saputo la verità.
они узнали правду (sapere la verità);Loro hanno saputo la verità.
я уже узнал правду (sapere la verità);Io avevo saputo la verità.
ты уже узнал правду (sapere la verità);Tu avevi saputo la verità.
он уже узнал правду (sapere la verità);Lui aveva saputo la verità.
она уже узнала правду (sapere la verità);Lei aveva saputo la verità.
мы уже узнали правду (sapere la verità);Noi avevamo saputo la verità.
вы уже узнали правду (sapere la verità);Voi avevate saputo la verità.
они уже узнали правду (sapere la verità);Loro avevano saputo la verità.
я узнаю правду (sapere la verità);Io saprò la verità.
ты узнаешь правду (sapere la verità);Tu saprai la verità.
он узнает правду (sapere la verità);Lui saprà la verità.
она узнает правду (sapere la verità);Lei saprà la verità.
мы узнаем правду (sapere la verità);Noi sapremo la verità.
вы узнаете правду (sapere la verità);Voi saprete la verità.
они узнают правду (sapere la verità);Loro sapranno la verità.
я уже узнаю правду (sapere la verità);Io avrò saputo la verità.
ты уже узнаешь правду (sapere la verità);Tu avrai saputo la verità.
он уже узнает правду (sapere la verità);Lui avrà saputo la verità.
она уже узнает правду (sapere la verità);Lei avrà saputo la verità.
мы уже узнаем правду (sapere la verità);Noi avremo saputo la verità.
вы уже узнаете правду (sapere la verità);Voi avrete saputo la verità.
они уже узнают правду (sapere la verità);Loro avranno saputo la verità.
я бы знал правду (sapere la verità);Io saprei la verità.
ты бы знал правду (sapere la verità);Tu sapresti la verità.
он бы знал правду (sapere la verità);Lui saprebbe la verità.
она бы знала правду (sapere la verità);Lei saprebbe la verità.
мы бы знали правду (sapere la verità);Noi sapremmo la verità.
вы бы знали правду (sapere la verità);Voi sapreste la verità.
они бы знали правду (sapere la verità);Loro saprebbero la verità.
я бы узнал правду (sapere la verità);Io avrei saputo la verità.
ты бы узнал правду (sapere la verità);Tu avresti saputo la verità.
он бы узнал правду (sapere la verità);Lui avrebbe saputo la verità.
она бы узнала правду (sapere la verità);Lei avrebbe saputo la verità.
мы бы узнали правду (sapere la verità);Noi avremmo saputo la verità.
вы бы узнали правду (sapere la verità);Voi avreste saputo la verità.
они бы узнали правду (sapere la verità);Loro avrebbero saputo la verità.
она хочет, чтобы я знала правду (sapere la verità);Lei vuole che io sappia la verità.
он хочет, чтобы ты знал правду (sapere la verità);Lui vuole che tu sappia la verità.
я думаю, что он знает правду (sapere la verità);Io penso che lui sappia la verità.
мы думаем, что она знает правду (sapere la verità);Noi pensiamo che lei sappia la verità.
я надеюсь, что мы узнаем правду (sapere la verità);Io spero che noi sappiamo la verità.
он хочет, чтобы вы знали правду (sapere la verità);Lui vuole che voi sappiate la verità.
я думаю, что они знают правду (sapere la verità);Io penso che loro sappiano la verità.
она хотела, чтобы я знала правду (sapere la verità);Lei voleva che io sapessi la verità.
он хотел, чтобы ты знал правду (sapere la verità);Lui voleva che tu sapessi la verità.
я думал, что он узнает правду (sapere la verità);Io pensavo che lui sapesse la verità.
мы надеялись, что она узнает правду (sapere la verità);Noi speravamo che lei sapesse la verità.
они боялись, что мы узнаем правду (sapere la verità);Loro temevano che noi sapessimo la verità.
я верил, что вы узнаете правду (sapere la verità);Io credevo che voi sapeste la verità.
он хотел, чтобы они узнали правду (sapere la verità);Lui voleva che loro sapessero la verità.
он думает, что я уже узнал правду (sapere la verità);Lui pensa che io abbia saputo la verità.
она надеется, что ты уже узнал правду (sapere la verità);Lei spera che tu abbia saputo la verità.
я сомневаюсь, что он уже узнал правду (sapere la verità);Io dubito che lui abbia saputo la verità.
мы полагаем, что она уже узнала правду (sapere la verità);Noi supponiamo che lei abbia saputo la verità.
они думают, что мы уже узнали правду (sapere la verità);Loro pensano che noi abbiamo saputo la verità.
я верю, что вы уже узнали правду (sapere la verità);Io credo che voi abbiate saputo la verità.
он надеется, что они уже узнали правду (sapere la verità);Lui spera che loro abbiano saputo la verità.
я говорю правду (dire la verità);Io dico la verità.
ты говоришь правду (dire la verità);Tu dici la verità.
он говорит правду (dire la verità);Lui dice la verità.
она говорит правду (dire la verità);Lei dice la verità.
мы говорим правду (dire la verità);Noi diciamo la verità.
вы говорите правду (dire la verità);Voi dite la verità.
они говорят правду (dire la verità);Loro dicono la verità.
я говорил правду (dire la verità);Io dicevo la verità.
ты говорил правду (dire la verità);Tu dicevi la verità.
он говорил правду (dire la verità);Lui diceva la verità.
она говорила правду (dire la verità);Lei diceva la verità.
мы говорили правду (dire la verità);Noi dicevamo la verità.
вы говорили правду (dire la verità);Voi dicevate la verità.
они говорили правду (dire la verità);Loro dicevano la verità.
я сказал правду (dire la verità);Io dissi la verità.
ты сказал правду (dire la verità);Tu dicesti la verità.
он сказал правду (dire la verità);Lui disse la verità.
она сказала правду (dire la verità);Lei disse la verità.
мы сказали правду (dire la verità);Noi dicemmo la verità.
вы сказали правду (dire la verità);Voi diceste la verità.
они сказали правду (dire la verità);Loro dissero la verità.
я сказал правду (dire la verità);Io ho detto la verità.
ты сказал правду (dire la verità);Tu hai detto la verità.
он сказал правду (dire la verità);Lui ha detto la verità.
она сказала правду (dire la verità);Lei ha detto la verità.
мы сказали правду (dire la verità);Noi abbiamo detto la verità.
вы сказали правду (dire la verità);Voi avete detto la verità.
они сказали правду (dire la verità);Loro hanno detto la verità.
я уже сказал правду (dire la verità);Io avevo detto la verità.
ты уже сказал правду (dire la verità);Tu avevi detto la verità.
он уже сказал правду (dire la verità);Lui aveva detto la verità.
она уже сказала правду (dire la verità);Lei aveva detto la verità.
мы уже сказали правду (dire la verità);Noi avevamo detto la verità.
вы уже сказали правду (dire la verità);Voi avevate detto la verità.
они уже сказали правду (dire la verità);Loro avevano detto la verità.
я скажу правду (dire la verità);Io dirò la verità.
ты скажешь правду (dire la verità);Tu dirai la verità.
он скажет правду (dire la verità);Lui dirà la verità.
она скажет правду (dire la verità);Lei dirà la verità.
мы скажем правду (dire la verità);Noi diremo la verità.
вы скажете правду (dire la verità);Voi direte la verità.
они скажут правду (dire la verità);Loro diranno la verità.
я уже скажу правду (dire la verità);Io avrò detto la verità.
ты уже скажешь правду (dire la verità);Tu avrai detto la verità.
он уже скажет правду (dire la verità);Lui avrà detto la verità.
она уже скажет правду (dire la verità);Lei avrà detto la verità.
мы уже скажем правду (dire la verità);Noi avremo detto la verità.
вы уже скажете правду (dire la verità);Voi avrete detto la verità.
они уже скажут правду (dire la verità);Loro avranno detto la verità.
я бы сказал правду (dire la verità);Io direi la verità.
ты бы сказал правду (dire la verità);Tu diresti la verità.
он бы сказал правду (dire la verità);Lui direbbe la verità.
она бы сказала правду (dire la verità);Lei direbbe la verità.
мы бы сказали правду (dire la verità);Noi diremmo la verità.
вы бы сказали правду (dire la verità);Voi direste la verità.
они бы сказали правду (dire la verità);Loro direbbero la verità.
я бы сказал правду (dire la verità);Io avrei detto la verità.
ты бы сказал правду (dire la verità);Tu avresti detto la verità.
он бы сказал правду (dire la verità);Lui avrebbe detto la verità.
она бы сказала правду (dire la verità);Lei avrebbe detto la verità.
мы бы сказали правду (dire la verità);Noi avremmo detto la verità.
вы бы сказали правду (dire la verità);Voi avreste detto la verità.
они бы сказали правду (dire la verità);Loro avrebbero detto la verità.
он хочет, чтобы я сказал правду (dire la verità);Lui vuole che io dica la verità.
она хочет, чтобы ты сказала правду (dire la verità);Lei vuole che tu dica la verità.
я думаю, что он скажет правду (dire la verità);Io penso che lui dica la verità.
мы верим, что она скажет правду (dire la verità);Noi crediamo che lei dica la verità.
они надеются, что мы скажем правду (dire la verità);Loro sperano che noi diciamo la verità.
я считаю, что вы скажете правду (dire la verità);Io credo che voi diciate la verità.
он хочет, чтобы они сказали правду (dire la verità);Lui vuole che loro dicano la verità.
он хотел, чтобы я сказал правду (dire la verità);Lui voleva che io dicessi la verità.
она хотела, чтобы ты сказала правду (dire la verità);Lei voleva che tu dicessi la verità.
я думал, что он скажет правду (dire la verità);Io pensavo che lui dicesse la verità.
мы надеялись, что она скажет правду (dire la verità);Noi speravamo che lei dicesse la verità.
они хотели, чтобы мы сказали правду (dire la verità);Loro volevano che noi dicessimo la verità.
я верил, что вы скажете правду (dire la verità);Io credevo che voi diceste la verità.
он боялся, что они скажут правду (dire la verità);Lui temeva che loro dicessero la verità.
он думает, что я уже сказал правду (dire la verità);Lui pensa che io abbia detto la verità.
она надеется, что ты уже сказал правду (dire la verità);Lei spera che tu abbia detto la verità.
я сомневаюсь, что он уже сказал правду (dire la verità);Io dubito che lui abbia detto la verità.
мы верим, что она уже сказала правду (dire la verità);Noi crediamo che lei abbia detto la verità.
они полагают, что мы уже сказали правду (dire la verità);Loro suppongono che noi abbiamo detto la verità.
я думаю, что вы уже сказали правду (dire la verità);Io penso che voi abbiate detto la verità.
он надеется, что они уже сказали правду (dire la verità);Lui spera che loro abbiano detto la verità.
я иду на работу (andare al lavoro);Io vado al lavoro.
ты идёшь на работу (andare al lavoro);Tu vai al lavoro.
он идёт на работу (andare al lavoro);Lui va al lavoro.
она идёт на работу (andare al lavoro);Lei va al lavoro.
мы идём на работу (andare al lavoro);Noi andiamo al lavoro.
вы идёте на работу (andare al lavoro);Voi andate al lavoro.
они идут на работу (andare al lavoro);Loro vanno al lavoro.
я ходил на работу (andare al lavoro);Io andavo al lavoro.
ты ходил на работу (andare al lavoro);Tu andavi al lavoro.
он ходил на работу (andare al lavoro);Lui andava al lavoro.
она ходила на работу (andare al lavoro);Lei andava al lavoro.
мы ходили на работу (andare al lavoro);Noi andavamo al lavoro.
вы ходили на работу (andare al lavoro);Voi andavate al lavoro.
они ходили на работу (andare al lavoro);Loro andavano al lavoro.
я пошёл на работу (andare al lavoro);Io andai al lavoro.
ты пошёл на работу (andare al lavoro);Tu andasti al lavoro.
он пошёл на работу (andare al lavoro);Lui andò al lavoro.
она пошла на работу (andare al lavoro);Lei andò al lavoro.
мы пошли на работу (andare al lavoro);Noi andammo al lavoro.
вы пошли на работу (andare al lavoro);Voi andaste al lavoro.
они пошли на работу (andare al lavoro);Loro andarono al lavoro.
я пошёл на работу (andare al lavoro);Io sono andato al lavoro.
ты пошёл на работу (andare al lavoro);Tu sei andato al lavoro.
он пошёл на работу (andare al lavoro);Lui è andato al lavoro.
она пошла на работу (andare al lavoro);Lei è andata al lavoro.
мы пошли на работу (andare al lavoro);Noi siamo andati al lavoro.
вы пошли на работу (andare al lavoro);Voi siete andati al lavoro.
они пошли на работу (andare al lavoro);Loro sono andati al lavoro.
я уже ушёл на работу (andare al lavoro);Io ero andato al lavoro.
ты уже ушёл на работу (andare al lavoro);Tu eri andato al lavoro.
он уже ушёл на работу (andare al lavoro);Lui era andato al lavoro.
она уже ушла на работу (andare al lavoro);Lei era andata al lavoro.
мы уже ушли на работу (andare al lavoro);Noi eravamo andati al lavoro.
вы уже ушли на работу (andare al lavoro);Voi eravate andati al lavoro.
они уже ушли на работу (andare al lavoro);Loro erano andati al lavoro.
я пойду в кино (andare al cinema);Io andrò al cinema.
ты пойдёшь в кино (andare al cinema);Tu andrai al cinema.
он пойдёт в кино (andare al cinema);Lui andrà al cinema.
она пойдёт в кино (andare al cinema);Lei andrà al cinema.
мы пойдём в кино (andare al cinema);Noi andremo al cinema.
вы пойдёте в кино (andare al cinema);Voi andrete al cinema.
они пойдут в кино (andare al cinema);Loro andranno al cinema.
