Урок;Тема;Статус;Предложений;Описание;Примечание;Комментарий_по_развитию
11;A11;Numerali | ora | data;впереди;50–60;Числа кардинальные и порядковые | время (Che ore sono? Sono le tre. È l'una. È mezzogiorno.) | дни недели | месяцы | даты.;Блок A — Фундамент;Логика блока: Время и дата требуют специфической предложной упаковки: a mezzogiorno | di lunedì | in estate | nel 2024. Каждая упаковка несёт падежный оттенок (точка | повторяемость | период). Готовит почву для маркеров времени в B1 и B3.
12;A12;Avverbi di frequenza | quantità | базовая отрицательность;впереди;50–60;Частотность: sempre/spesso/qualche volta/raramente. Базовая отрицательная частотность: non...mai (никогда) | non...più (больше не). Quantità: molto/poco/troppo/abbastanza/più/meno. Позиция в предложении.;Блок A — Фундамент;Логика блока: non...mai логически вырастает из контраста sempre ↔ mai. Это базовый A1-паттерн | без которого речь искусственно «позитивная» (нет «я никогда» | «больше не»). Сюда же non...più — частотный разговорный паттерн. ОГРАНИЧЕНИЕ: остальные расширения отрицания (niente/nessuno/nemmeno/né...né) — в B21. non...ancora — связан с PP | отрабатывается в B03 (non ho ancora fatto).
13;A13;Comparativi e Superlativi;впереди;50–60;più/meno...di (с сущ./местоим.) vs più/meno...che (с прил./глаг./при двух свойствах одного объекта). Il più/meno...di (превосходная). Irregolari: migliore/peggiore/maggiore/minore.;Блок A — Фундамент;Логика блока: Сравнение как падежное отношение. di здесь = Род.п. сравнения (русское «больше КОГО»). Это та же логика | что в A09 (un libro di Marco). Разница di и che — не «на слух» | а через падежный анализ: после di стоит то | с чем сравниваем (сущ./мест.) | после che — то | что сравниваем (прил./глаг./два свойства).
14;A14;Verbi Modali (только чистый инфинитив);впереди;60–70;Dovere/potere/volere/sapere + ЧИСТЫЙ infinito без местоимений. Voglio mangiare | posso entrare | devo lavorare | so nuotare. Разница sapere (умение | навык) vs potere (возможность | разрешение).;Блок A — Фундамент;Логика блока: ЖЁСТКОЕ ОГРАНИЧЕНИЕ: только модальный + чистый инфинитив. НЕ давать здесь возвратный инфинитив (devo alzarmi) — это B13. НЕ давать инфинитив с прямым местоимением (devo farlo) — это B16. Модальный = отношение к действию (необходимость | возможность | желание | умение); инфинитив = само действие. Готовит почву для Congiuntivo (B25).
15;A15;Condizionale di cortesia (узко);впереди;40–50;Vorrei/potrei/dovrei/mi piacerebbe — как готовые формулы вежливости и мягких просьб. Полная парадигма — в B09.;Блок A — Фундамент;Логика блока: Формулы vorrei/potrei нужны уже на survival-уровне | но даём их узко: только частотные формы для просьб и вежливости. Первое касание идеи «дистанция через форму». Студент пока не парадигму учит | а функцию.
16;A16;Imperativo (tu/voi/noi/Lei);впереди;40–50;Повелительное наклонение для tu/noi/voi (формы из Indicativo с инверсией для -are). Отрицание для tu: non + infinito (non parlare!). Lei-форма императива = форма Congiuntivo Presente (Parli! Venga! Mi dica!) — даём как первый «след» Congiuntivo.;Блок A — Фундамент;Логика блока: Прямое побуждение. Императив Lei использует форму Congiuntivo — даём здесь как практический навык вежливой команды | но без объяснения теории Congiuntivo (это B25). Эта форма — мост между регистром Lei (A05) и системой Congiuntivo. ОГРАНИЧЕНИЕ: местоимения с императивом (dimmi/prendilo/non lo fare) — в B16 | не давать здесь авансом.
17;B01;Imperfetto;впереди;60–70;Прошедшее для привычек | состояний | фона. Маркеры: ogni giorno | sempre | spesso | da bambino | mentre. Английский якорь: used to do / was doing (фон).;Блок B — Времена и тканевая речь;Логика блока: Imperfetto = камера в прошлом (фон | повторяющееся состояние | привычка). Идёт перед PP намеренно: морфологически проще | функция чище. Не переводить через русский вид. Сначала определить функцию: привычка | состояние | фон | незавершённый процесс.
18;B02;Participio Passato;впереди;50–60;Это итальянский V3. Регулярные (-ato/-uto/-ito) + ключевые неправильные: fatto/detto/visto/letto/preso/messo/scritto/aperto/chiuso/venuto/nato/morto.;Блок B — Времена и тканевая речь;Логика блока: Кубик | из которого собираются ВСЕ сложные времена (PP | Trapassato | Futuro Anteriore | Condizionale Composto | Congiuntivo Passato | Congiuntivo Trapassato | Infinito Passato | Gerundio Passato). Прямой перенос английской логики V3. Этот урок — инвестиция в весь блок B и C.
19;B03;Passato Prossimo con Avere;впереди;60–70;have + V3 → avere + participio. Завершённые действия с результатом. Маркеры: già/ancora (в non...ancora) /appena/finora. Конструкция non ho ancora fatto.;Блок B — Времена и тканевая речь;Логика блока: Результативное прошлое. Совпадение с английским present perfect почти точное. Усилить irregular participi из B02. Студент понимает: есть результат = avere + participio. Здесь же логично закрепить non...ancora — оно прямо связано с PP («ещё не сделал»).
20;B04;Passato Prossimo con Essere;впереди;60–70;Глаголы движения и изменения состояния: andare/venire/arrivare/partire/entrare/uscire/nascere/morire/diventare/stare/essere. Participio согласуется с подлежащим (Им.п. диктует род/число).;Блок B — Времена и тканевая речь;Логика блока: Системно тренировать essere в PP и согласование рода/числа: lui è arrivato / lei è arrivata / loro sono usciti. Возвратные здесь не разворачивать (B13). После B13 вернуться к mi sono svegliato как к расширению правила essere.
21;B05;PP vs Imperfetto;впереди;60–70;Imperfetto = фон (камера). PP = событие (вспышка). Mentre + Imp / Quando + PP. Stato vs cambiamento.;Блок B — Времена и тканевая речь;Логика блока: Ядро нарратива. Минимальные пары: mentre preparavo la cena | lui ha chiamato. Тренировать смысл (фон vs событие) | а не русский вид глагола. Английский якорь: was doing (Imp) vs did/has done (PP).
22;B06;Trapassato Prossimo;впереди;50–60;had + V3 → Imperfetto di avere/essere + participio. Маркеры: già | when | prima | dopo che. Quando sono arrivato | lui era già uscito.;Блок B — Времена и тканевая речь;Логика блока: Собирается из уже известных блоков (Imperfetto в B01 + Participio в B02). Студент конструирует время сам. Логика хронологии: я пришёл (PP) | а она уже ушла (Trap). Полное совпадение с английским past perfect.
23;B07;Futuro Semplice;впереди;60–70;will + V. Регулярные + неправильные: sarò/avrò/farò/andrò/vedrò/saprò/dovrò/potrò/vorrò. Двойная функция: чистое будущее + предположение в настоящем (Saranno le tre = должно быть | три).;Блок B — Времена и тканевая речь;Логика блока: В архитектуре Futuro идёт после прошедших времён | чтобы не ломать сборку. Отдельно показать | что в разговоре будущее часто = Presente (domani parto). Функция предположения — критична для понимания Futuro Anteriore (B08).
24;B08;Futuro Anteriore;впереди;40–50;will have + V3 → avrò/sarò + participio. Двойная функция: завершённость к точке в будущем (Quando arriverai | avrò finito) + предположение о прошлом (Sarà arrivato).;Блок B — Времена и тканевая речь;Логика блока: Только ядро. Собирается из Futuro Semplice (B07) и participio (B02). Без сложных условных конструкций. Прямой перенос английского will have done.
25;B09;Condizionale Semplice (полная система);впереди;60–70;would + V → parlerei/farei/sarei/avrei. Морфологическая логика: основа = от Futuro (B07) | окончания = от Imperfetto (B01).;Блок B — Времена и тканевая речь;Логика блока: Полная парадигма после узких формул в A15. Студент собирает форму сам из двух известных блоков. Функции: гипотеза в настоящем | вежливость | мягкое утверждение | желание. Прямой перенос английского would.
26;B10;Condizionale Composto;впереди;50–60;would have + V3 → avrei/serei + participio. Двойная функция: гипотетическое в прошлом (Sarei venuto) + БУДУЩЕЕ В ПРОШЛОМ (Mi ha detto che sarebbe venuto).;Блок B — Времена и тканевая речь;Логика блока: КРИТИЧЕСКАЯ ТОЧКА для русскоязычного. «Будущее в прошлом» = Condizionale Composto | НЕ Imperfetto. Английский якорь спасает: He said he would come → Ha detto che sarebbe venuto. Готовит почву для согласования времён в косвенной речи (C05).
27;B11;Pronomi Diretti;впереди;60–70;Свёрнутый Винительный. I see him → lo vedo. mi/ti/lo/la/ci/vi/li/le. Согласование participio с прямым местоимением: L'ho vista. Li ho visti.;Блок B — Времена и тканевая речь;Логика блока: Местоимения после базы глаголов. Сначала Vedo il libro → теперь Lo vedo. Студент понимает: lo заменяет именно прямое дополнение (Вин.п. | без предлога). Согласование participio с lo/la/li/le — обязательное.
28;B12;Pronomi Indiretti;впереди;60–70;Свёрнутый Дательный. I speak to him → gli parlo. mi/ti/gli/le/ci/vi/gli (loro в формальном). Заменяют дополнение с предлогом a.;Блок B — Времена и тканевая речь;Логика блока: Строить вокруг глаголов dire/parlare/scrivere/telefonare/rispondere/regalare. Обязательно контрасты с прямыми: lo vedo (Вин.) vs gli parlo (Дат.). Студент осознаёт роль предлога a и его свёртку в местоимение.
29;B13;Verbi Riflessivi (+ модальные с возвратным инфинитивом);впереди;60–70;Полная механика возвратных: mi/ti/si/ci/vi/si + глагол. Subj = Obj. svegliarsi/vestirsi/lavarsi/sentirsi/chiamarsi/alzarsi. В PP всегда essere + согласование. Mi lavo le mani (Дат.+ Вин.). Двойная конструкция с модальными из A14: devo alzarmi / mi devo alzare | voglio lavarmi / mi voglio lavare.;Блок B — Времена и тканевая речь;Логика блока: Возвратное = субъект и объект совпадают (Им.= Вин. или Им.= Дат.). После модальных (A14) — для двойной конструкции возвратного инфинитива с модальным. РАСШИРЕНИЕ B04: mi sono svegliato | si è vestita. ОГРАНИЧЕНИЕ: модальные с прямыми/косвенными местоимениями (devo farlo/lo devo fare) — в B16 | не давать здесь авансом.
30;B14;Ci e Ne;впереди;50–60;Ci = свёрнутое место (Предл.: ci vado — туда иду) или тема (ci penso — об этом думаю). Ne = свёрнутый Род.п. (ne parlo — о нём; ne voglio due — из них).;Блок B — Времена и тканевая речь;Логика блока: Нет аналога в русском как местоимений | но есть как падежные отношения. Сначала только ci как место | потом ne как количество | потом расширения. Никакой абстрактной теории — только через падежный диагноз: туда = ci | из них = ne.
31;B15;Pronomi Combinati;впереди;50–60;Сборка свёрток в одно: me lo/te lo/glielo/ce lo/ve lo/glielo (то же для loro)/gliene. Логика: Дат. перед Вин. mi/ti/ci/vi → me/te/ce/ve перед другим местоимением.;Блок B — Времена и тканевая речь;Логика блока: Математическая механика слияния. Студент понимает каждый элемент: te lo dico = a te + la cosa + dico. Без B11 | B12 | B14 этот урок невозможен.
32;B16;Местоимения с modali/imperativo/infinito/gerundio;впереди;50–60;Прямые/косвенные/комбинированные местоимения с модальными: Devo farlo / Lo devo fare | Voglio dirglielo / Glielo voglio dire. С герундием: Sto facendolo / Lo sto facendo. Утв. императив: Mangialo! Dimmelo! Fammelo! Отриц. императив: Non lo fare! / Non farlo! Императив Lei: местоимение ПЕРЕД глаголом (Mi dica! Me lo dia!).;Блок B — Времена и тканевая речь;Логика блока: ФИНАЛЬНАЯ СБОРКА механик местоимений. Здесь — и только здесь — собираются модальный + прямое/косвенное/комбинированное местоимение (без возвратного — это B13). Местоимения примыкают к инфинитиву/герундию/утв. императиву или стоят перед спрягаемым глаголом. Студент осознанно выбирает позицию.
33;B17;Stare + Gerundio;впереди;40–50;Процесс прямо сейчас. be + Ving (continuous). sto mangiando/sta facendo. Gerundio: -ando/-endo.;Блок B — Времена и тканевая речь;Логика блока: Жёстко ограничить значением «прямо сейчас». Анти-примеры против английского Present Continuous: domani incontro Marco | а НЕ sto incontrando Marco domani. Студент осознаёт: Gerundio = процесс в момент речи | а не план.
34;B18;Gerundio: другие функции + Gerundio Passato;впереди;50–60;Герундий как свёрнутое придаточное: временное (Camminando | ho visto...) | причинное (Essendo stanco | sono uscito) | модальное (Studiando si impara). Gerundio Passato: having done → avendo fatto / essendo arrivato. В продуктивной учебной норме субъект герундия совпадает с субъектом главного глагола.;Блок B — Времена и тканевая речь;Логика блока: Расширение B17 за пределы прогрессива. Свёртка придаточного в неличную форму = инструмент письменной речи и B2-уровня. Английский якорь: Walking down the street | I saw... / Having done... Совпадение субъектов — учебная норма (в литературе встречаются исключения | но для активного владения держимся правила). Конструкция с собственным субъектом — это Participio Assoluto (B20).
35;B19;Infinito Passato;впереди;40–50;to have + V3 → aver fatto / essere andato. Действие | завершённое до момента речи. Dopo aver mangiato | è uscito. Prima di partire | ha telefonato.;Блок B — Времена и тканевая речь;Логика блока: Свёрнутое временное придаточное. Собирается из participio (B02) + знание essere/avere. Английский якорь прямой: to have done.
36;B20;Participio Assoluto;впереди;40–50;Завершённое действие как свёрнутое придаточное с собственным существительным/подлежащим конструкции: Finita la cena | siamo usciti (la cena закончилась → мы вышли). Una volta arrivato Marco | abbiamo iniziato. Согласование participio с этим существительным.;Блок B — Времена и тканевая речь;Логика блока: Литературно-письменный инструмент. Английский след: Once arrived | ... / The dinner finished | ... Развести с Gerundio Passato (B18): в Gerundio Passato субъект обычно тот же | что у главного глагола; в Participio Assoluto participio согласуется с собственным существительным конструкции | которое может отличаться от подлежащего главного. Студент видит | что participio (B02) умеет работать самостоятельно.
37;B21;Negazione estesa;впереди;40–50;Расширение отрицания за пределы non/non...mai/non...più (A01/A12) и non...ancora (B03): non...niente | non...nessuno | non...nemmeno | non...neanche | né...né | non...affatto. Двойное отрицание — норма (усиление | не отмена).;Блок B — Времена и тканевая речь;Логика блока: Расширение базового non и non...mai/più/ancora | которые уже автоматизированы. Итальянская логика отрицания усиливается | а не отменяется (контраст с английским). Контраст с маркерами: qualcosa ↔ niente | qualcuno ↔ nessuno | sempre/spesso ↔ mai (повтор) | già ↔ non...ancora (повтор) | anche ↔ nemmeno/neanche.
38;B22;Pronomi Relativi;впереди;50–60;Свёрнутое объединение предложений по общему падежному элементу. che (Им./Вин. — без предлога). cui (все падежи с предлогом): a cui (Дат.) | di cui (Род.) | con cui (Твор.) | in cui (Предл.) | per cui. il quale — формальная альтернатива.;Блок B — Времена и тканевая речь;Логика блока: Связка двух предложений через падежный диагноз. Il ragazzo che vedo (Вижу кого? Вин. → che). Il ragazzo a cui parlo (Говорю кому? Дат. → a + cui). Студент анализирует функцию связки | а не просто переводит «который».
39;B23;Forma Passiva e Si (passivante vs impersonale);впереди;50–60;Пассив = смена точки зрения: объект (Вин.) становится подлежащим (Им.) | исполнитель (Им.) уходит в da (Твор.). Essere + participio во всех временах. Разграничить: Si parla italiano (impersonale | без объекта) vs Si parlano le lingue (passivante | согласование с объектом!).;Блок B — Времена и тканевая речь;Логика блока: Механика собирается из знакомого essere + participio | но функция другая: не «кто пришёл» | а «что было сделано». Падежная перестановка: объект → подлежащее | подлежащее → da-конструкция. La porta è aperta (состояние) vs La porta è stata aperta (пассив в PP).
40;B24;Connettivi testuali базовые;впереди;40–50;quindi/perciò/dunque (следствие) | infatti (подтверждение) | invece (контраст) | comunque (всё равно) | inoltre/anzi (добавление/наоборот) | piuttosto (скорее) | tuttavia (тем не менее).;Блок B — Времена и тканевая речь;Логика блока: Тканевая речь | переход от простых фраз к связному тексту. Без коннекторов невозможен B2-уровень письма и пересказа. Тренировать через мини-тексты | а не списком.
41;B25;Congiuntivo Presente: концепция;впереди;50–60;Indicativo = факт. Congiuntivo = субъективное отношение (penso che | voglio che | ho paura che | è possibile che). Регулярные формы. Переход окончаний o/i/a → i/i/a/no.;Блок B — Времена и тканевая речь;Логика блока: Главное — концепция | не списки триггеров. Разница So che è qui (факт) vs Penso che sia qui (моё мнение). Студент осознанно выбирает наклонение через диагноз: я утверждаю или выражаю отношение? Английский след: I suggest that he be... / If I were... Здесь же — теоретическое объяснение формы Imperativo Lei из A16 (Parli! = форма Congiuntivo).
42;B26;Congiuntivo Presente: irregolari;впереди;40–50;Ключевые неправильные: sia/abbia/faccia/vada/venga/possa/voglia/debba/dia/stia/sappia.;Блок B — Времена и тканевая речь;Логика блока: Без зубрёжки списком. Только в живой формуле che + ...: Voglio che tu venga | Credo che lui faccia | È meglio che lei stia qui. Студент проговаривает «Я хочу + чтобы + он сделал» | понимая | зачем нужен Congiuntivo.
43;B27;Congiuntivo Imperfetto;впереди;50–60;Формы: parlassi/facessi/fossi/avessi/dessi/stessi. Согласование времён: главное в прошлом → зависимое в Congiuntivo Imperfetto. Credevo che fosse a casa.;Блок B — Времена и тканевая речь;Логика блока: Снимаем страх через знакомую идею прошедшей основы | но формы отдельные. Привязать к формуле согласования: главное в прошлом (Credevo) + che + зависимое в Cong. Imperfetto (fosse). Английский след: I wish I were...
44;C01;Congiuntivo Trapassato;впереди;40–50;avessi/fossi + participio. Se avessi saputo... Avrebbe voluto che fossi venuto. Английский: had done в сослагательном (if I had known).;Блок C — Высшие конструкции;Логика блока: Собирается из Congiuntivo Imperfetto (B27) + participio (B02). Ничего нового — только новая комбинация. Используется в нереальных условиях в прошлом (C02) и в согласовании времён (C06).
45;C02;Periodo Ipotetico: 3 типа;впереди;60–70;Reale: Se + Indicativo → Indicativo/Futuro/Imperativo (Se piove | resto a casa). Possibile/irreale nel presente: Se + Cong. Imperfetto → Condizionale Semplice (Se piovesse | resterei). Irreale nel passato: Se + Cong. Trapassato → Condizionale Composto (Se avessi saputo | sarei venuto).;Блок C — Высшие конструкции;Логика блока: Квинтэссенция Indicativo + Congiuntivo + Condizionale. Собираем конструктор из уже известных блоков (B27 | B09 | C01 | B10). Английский якорь точный: if I had known | I would have come. Студент осознанно подставляет блоки в формулу.
46;C03;Periodo ipotetico misto;впереди;40–50;Смешение времён: условие в прошлом → следствие в настоящем (Se avessi studiato | ora saprei). Условие в настоящем → следствие в прошлом (Se fossi più attento | non avresti perso le chiavi).;Блок C — Высшие конструкции;Логика блока: Реальная жизнь не укладывается в три чистых типа из C02. Студент учится смешивать времена осознанно | через хронологический анализ: когда условие? когда следствие?
47;C04;Discorso Indiretto: главное в настоящем;впереди;50–60;Dice che... / Mi chiede se... / Mi dice di + infinito (для приказов). Изменение лиц и местоимений (io → lui/lei).;Блок C — Высшие конструкции;Логика блока: Сборка Indicativo + Congiuntivo. Начинаем с простого случая (главное в настоящем) | где согласование времён минимально. Главное здесь — научиться менять местоимения и обстоятельства.
48;C05;Discorso Indiretto: главное в прошлом;впереди;60–70;Полная таблица согласования: Pres→Imp | PP→Trap.Pross. | Fut→Cond.Composto (!) | Imp→Imp | Imper.→di+infinito или Cong.Imperfetto. Обстоятельства: oggi→quel giorno | ora→allora | qui→lì | domani→il giorno dopo | ieri→il giorno prima | questo→quello.;Блок C — Высшие конструкции;Логика блока: ФИНАЛЬНАЯ СБОРКА всего курса. Использует Trapassato (B06) | Condizionale Composto как будущее в прошлом (B10) | всю систему местоимений. Студент видит | зачем учил B10 в «странной» функции — именно здесь это ключ. Сдвиг обстоятельств — типовая ошибка русскоязычных | требует отдельной отработки.
49;C06;Concordanza dei tempi (Congiuntivo);впереди;50–60;Полная таблица согласования внутри Congiuntivo. Главное в Pres./Fut. → Cong. Pres. (одновременность/будущее) или Cong. Passato (предшествование). Главное в прошлом/Cond. → Cong. Imp. (одновременность/будущее) или Cong. Trapassato (предшествование).;Блок C — Высшие конструкции;Логика блока: Систематизация всего Congiuntivo (B25 | B26 | B27 | C01). Через таблицу хронологии: что было раньше — действие главного предложения или зависимого? Студент строит фразу осознанно | а не подбирает «на слух».
50;C07;Passato Remoto: рецептивно;впереди;50–60;Simple past «далёкого/литературного прошлого». Узнавание форм: fece | disse | andò | ebbe | fu | vide | scrisse | venne | nacque | morì. Тосканская и южная норма.;Блок C — Высшие конструкции;Логика блока: Для чтения литературы (Кальвино | Эко | Пиранделло) и южноитальянской прессы. Только узнавать | не активно. Английский след: simple past в нарративе.
51;C08;Passato Remoto: продуктивно (опц. C2);впереди;50–60;Полная парадигма правильных и неправильных глаголов. Использование для письменной литературной речи и сторителлинга.;Блок C — Высшие конструкции;Логика блока: Опциональный модуль для движения к C2. Не обязателен для C1. Активное владение | если студент пишет художественные тексты или живёт на юге Италии.
52;C09;Trapassato Remoto;впереди;40–50;ebbe fatto / fu andato — только после quando/appena/dopo che + Passato Remoto в главном. Литература.;Блок C — Высшие конструкции;Логика блока: Только рецептивно. Собирается из P. Remoto вспомогательного (C07) + participio (B02). Дать через литературные примеры | без активной отработки.
53;C10;Si passivante avanzato;впереди;40–50;Si è parlato di... (безличное в сложных временах | ВСЕГДА essere). Ci si sveglia presto (двойное si: возвратный в безличной форме). Согласование participio с подразумеваемым объектом в si passivante: Si sono mangiate le mele.;Блок C — Высшие конструкции;Логика блока: Расширение B23. Тонкие случаи | которые не помещались в базу. Двойное si — типичная ошибка русскоязычных | требует отдельной отработки.
54;C11;Forma passiva: venire e andare;впереди;40–50;La porta viene aperta (динамика | процесс — venire). Va fatto subito (необходимость = dev'essere fatto — andare). Альтернативные пассивы для оттенков.;Блок C — Высшие конструкции;Логика блока: Тонкие оттенки пассива. Esserе = состояние/факт | venire = процесс | andare = долженствование. Различение через смысловой диагноз | а не «синонимы».
55;C12;Stare per + infinito / Stare + gerundio в прошлом;впереди;40–50;Stavo per uscire quando... (was about to). Stava parlando (длительный процесс в прошлом). Stetti facendo (литературное).;Блок C — Высшие конструкции;Логика блока: Расширение Stare + Gerundio (B17) за пределы настоящего. Stare per = «вот-вот» (близкое будущее в любом времени). Английский якорь: was about to do.
56;C13;Verbi pronominali idiomatici;впереди;50–60;farcela (справиться) | andarsene (уйти) | cavarsela (выкрутиться) | prendersela (обидеться) | mettercela tutta (выложиться) | volerci (требоваться о времени/количестве) | metterci (тратить время). Полное спряжение во всех временах.;Блок C — Высшие конструкции;Логика блока: Декодирование как сборка ci/ne/la + verbo. Это не «новые слова» | а свёртки знакомых элементов. Главная цель — узнавание и активное употребление. Особенно volerci vs metterci — типичная ошибка.
57;C14;Connettivi avanzati;впереди;40–50;nondimeno | pertanto | ciononostante | qualora (+ Cong.) | purché (+ Cong.) | affinché (+ Cong.) | sebbene (+ Cong.) | malgrado (+ Cong.) | nonostante (+ Cong.) | a patto che (+ Cong.).;Блок C — Высшие конструкции;Логика блока: Расширение B24 для письменного C1+. Многие коннекторы автоматически тянут Congiuntivo — это связка с C15.
58;C15;Congiuntivo dopo congiunzioni;впереди;40–50;Запускающие союзы: prima che | senza che | a meno che | purché | benché | sebbene | affinché | nonostante | qualora | come se. Каждый вводит нефакт.;Блок C — Высшие конструкции;Логика блока: Логика: союз вводит гипотетическое/нефактическое отношение → автоматический Congiuntivo. Студент видит | что Congiuntivo — это не «после определённых слов» | а маркер нефактичности | которую эти слова и несут.
59;C16;Alterati: diminutivi e accrescitivi;впереди;40–50;-ino/-etto/-ello (уменьшительные) | -one (увеличительное) | -accio (пейоративное) | -uccio (ласковое). Casetta/librone/ragazzaccio/tesoruccio. Стилистические оттенки.;Блок C — Высшие конструкции;Логика блока: Морфологическая упаковка оттенка значения. Не каждое существительное берёт каждый суффикс — есть устойчивые сочетания. Тренировать через узнавание в текстах + продуктивно с самыми частотными.
60;C17;Registri: formale scritto / parlato colloquiale;впереди;50–60;Разный синтаксис | лексика | обращения | типичные ошибки переноса регистра. Formale: Le scrivo per | La ringrazio | Le porgo i miei saluti. Colloquiale: dai | mica | boh | tipo | cioè. Семейные обращения | бюрократический язык.;Блок C — Высшие конструкции;Логика блока: Гибкость регистра — ключевой навык C1+. Студент учится переключаться: одно и то же содержание в трёх регистрах (формальный | нейтральный | разговорный).
61;C18;Idiomatica e collocazioni;впереди;50–60;fare il punto | prendere atto | mettere a fuoco | avere a che fare con | dare per scontato | far finta | tenere conto | rendersi conto | venire in mente | mettersi d'accordo.;Блок C — Высшие конструкции;Логика блока: Системные коллокации для C1+. Не «выучить идиомы списком» | а узнавать паттерны построения с глаголами fare/dare/prendere/mettere/avere. Эти 5 глаголов формируют 80% идиоматики.
