rank,verb,collocations,ru
8402,maschere,,маскировать/скрывать
8410,paghere,,платить
8447,preservatire,,предохранять/сохранять
8511,aprare,,открывать
8531,contribere,,вносить вклад/способствовать
8625,romare,,ломать/разрушать
8712,uragare,,ураган/бушевать
8725,bandire,,запрещать/изгонять
8745,festeggare,,праздновать
8748,creatire,,творить/создавать
8760,insinuare,,намекать/внушать
8761,accennare,,упоминать/указывать
8807,lamentare,,жаловаться/сетовать
8815,torturare,,пытать/мучить
8846,piazzare,,размещать/устанавливать
8850,offensire,,оскорблять/обижать
8862,sportire,,спортивный/заниматься спортом
8911,diversire,,разнообразить/развлекать
8940,adesire,,прилипать/присоединяться
8941,cancelliere,,быть канцлером
8953,laureare,,получать степень/выпускаться
8967,incaricare,,поручать/назначать
8971,diventere,,становиться
9035,pentagere,,раскаиваться
9102,libere,,освобождать
9200,orrere,,ненавидеть/испытывать отвращение
9204,consigliare,,советовать
9206,vulcare,,извергать/вулканизировать
9222,inappropriare,,быть неподходящим
9237,alire,,вдыхать/дуть
9250,chiare,,прояснять/разъяснять
9298,rivedare,,пересматривать/исправлять
9308,provengere,,происходить/брать начало
9368,abbandere,,покидать/бросать
9380,supponare,,предполагать/допускать
9435,telecomare,,управлять пультом
9449,pestare,,топтать/раздавливать/наступать
9450,combattare,,сражаться/бороться
9478,visire,,посещать/навещать
9525,gomire,,стонать/сетовать
9584,estire,,протягивать/вытягивать
9613,acconsentire,,соглашаться/давать согласие
9616,ereditare,,наследовать
9621,muovare,,двигать/приводить в движение
9643,incrociare,,пересекать/скрещивать
9706,coreare,,бегать/течь
9711,sfortunare,,невезти
9712,esemplare,,служить примером
9747,astere,,устранять/отводить
9780,contrabbare,,контрабандировать
9807,resistire,,сопротивляться/устоять
9822,orgare,,организовать
9837,abandonare,,покидать/оставлять
9878,celibare,,праздновать
9885,empire,,наполнять/заполнять
9904,congelare,,замораживать
9911,venere,,приходить/прибывать
9934,segnalare,,сигнализировать/отмечать
9950,scatenare,,спускать с цепи/разбушевать
10001,eccessire,,превышать/переусердствовать
10007,preliminare,,предварять
10022,continuere,,продолжать
10028,usere,,использовать
10054,vivevare,,переживать
10057,accoltellare,,ударить ножом
10111,risare,,смеяться/садиться
10133,televisire,,показывать по ТВ
10147,riprendare,,возобновлять/переснимать
10148,alleare,,союз/объединять
10153,commissariare,,назначать комиссара
10196,intuire,,угадывать/интуитивно понимать
10223,spietare,,безжалостный/пытать
10244,mostrere,,показывать
10245,conoscevare,,знать/быть знакомым
10311,limitare,,ограничивать
10395,toglare,,снимать/убирать
10428,ammalare,,заболевать
10437,disgraziare,,обесчестить/разрушить
10456,piacciare,,нравиться
10458,convocare,,созывать
10495,stressare,,напрягать/стрессовать
