rank,noun,collocations,ru
1731,vaffanculo,,пошёл на хуй
1734,dirtelo,,сказать тебе это
1738,francese,,французский/француз
1744,peggiore,,худший
1748,latte,,молоко
1749,buio,,темнота/тёмный
1750,siate,,будьте
1764,fiume,,река
1768,reso,,сделанный/ставший
1782,capace,,способный/умеющий
1783,distrutto,,разрушенный
1796,principale,,главный/основной
1825,principessa,,принцесса
1828,attenta,,внимательная
1841,attesa,,ожидание
1846,ponte,,мост
1853,finale,,финал/финальный
1854,impronte,,отпечатки/следы
1862,tracce,,следы
1867,passata,,прошлое/прошедшая
1869,eppure,,и всё же/однако
1877,perdita,,потеря/утрата
1883,americano,,американец/американский
1886,scuse,,извинения
1890,preferisco,,предпочитаю
1901,troia,,шлюха/сука
1910,accusa,,обвинение
1913,stelle,,звёзды
1924,terza,,третья
1933,case,,дома
1935,dito,,палец
1940,minaccia,,угроза
1942,controlla,,контролирует/проверяет
1943,nazionale,,национальный
1949,passato,,прошлое/прошедший
1954,media,,среднее/СМИ
1955,politica,,политика
1959,copertura,,покрытие/обложка
1967,sposata,,замужняя/женатый
1990,ragazzina,,девочка/девчонка
1995,porta,,дверь
2007,completo,,полный/законченный
2012,mezza,,половина/половина
2030,metta,,ставит/помещает
2035,maledetto,,проклятый
2037,magnifico,,великолепный/величественный
2049,mostra,,выставка/показ
2068,collega,,коллега/сотрудник
2070,assurdo,,абсурдный/нелепый
2079,naturale,,естественный/природный
2080,vicina,,соседка/близкая
2081,coinvolto,,вовлечённый/замешанный
2085,umana,,человеческая
2086,amiche,,подруги
2089,corrente,,ток/течение/текущий
2093,doppio,,двойной/двойник
2097,tantissimo,,очень много/огромное количество
2102,prenderlo,,взять его
2123,zero,,ноль
2137,abbiate,,имейте
2139,tette,,сиськи/груди
2142,spia,,шпион/шпионка
2154,apprezzo,,ценю/оцениваю
2159,migliaia,,тысячи
2165,domattina,,завтра утром
2173,tira,,тянет/дёргает
2179,andarcene,,нам уходить/убраться
2190,parlarle,,поговорить с ней
2199,guardie,,охранники/стражи
2209,unita,,единица/блок/отряд
2216,commesso,,продавец/совершённый
2238,dappertutto,,везде/повсюду
2249,macchine,,машины
2251,lotta,,борьба/битва
2252,presento,,представляю
2267,assieme,,вместе
2269,diretto,,прямой/непосредственный
2271,pesante,,тяжёлый
2280,santa,,святая
2283,uova,,яйца
2294,guardo,,взгляд/смотрю
2296,ricco,,богатый
2297,alo,,алоэ
2298,sposato,,женатый/замужняя
2301,criso,,кризис
2302,dirmelo,,сказать мне это
2304,nervoso,,нервный/нервозный
2312,falso,,ложный/фальшивый
2313,dirglielo,,сказать ему/ей это
2321,sessuale,,сексуальный/половой
2322,orecchie,,уши
2323,privata,,частная
2326,totale,,общий/полный
2349,superiore,,верхний/высший
2365,recente,,недавний/свежий
2372,quarto,,четвёртый
2377,volevamo,,мы хотели
2378,stomaco,,желудок/живот
2384,analiso,,анализ
2397,assicuro,,уверяю/гарантирую
2400,scale,,лестницы/весы
2403,smetterla,,перестать/хватит
2410,imbarazzante,,затруднительный/смущающий
2418,accuse,,обвинения
2425,scrivania,,письменный стол
2430,mila,,тысяч
2452,lontana,,далёкая
2453,file,,ряды/файлы
2456,respira,,дышит
2458,fido,,верный/надёжный
2463,folle,,сумасшедший/безумный
2466,tuttavia,,однако/тем не менее
2467,cazzate,,херня/чушь
2468,affascinante,,очаровательный/притягательный
2471,similo,,похожий
2474,prenderla,,взять её/принять это
2475,bugie,,ложь/враньё
2478,sterline,,фунты стерлингов
2480,frattempo,,тем временем
2487,lago,,озеро
2497,sorpreso,,удивлённый/поражённый
2500,occhialo,,очки
2507,sito,,сайт/место
2508,maiale,,свинья
2528,diretta,,прямая/прямая трансляция
2532,innamorata,,влюблённая
2539,volto,,лицо/лик
2548,puntate,,эпизоды/выплаты
2565,trovarla,,найти её
2567,salta,,прыгает/перепрыгивает
2573,costretto,,вынужденный
2581,centinaia,,сотни
2593,amanda,,Аманда
2602,coso,,штука/вещь
2603,malata,,больная
2623,vergogna,,стыд
2624,adorabile,,очаровательный/прелестный
2636,nota,,заметка/нота/известная
2650,paro,,пара/равный
2651,passate,,прошедшие
2676,pillole,,таблетки/пилюли
2686,uguale,,равный
2689,meravigliosa,,чудесная/великолепная
2697,feste,,праздники/вечеринки
2701,andiamocene,,мы уходим/пойдём отсюда
2702,diamine,,чёрт возьми
2705,onesto,,честный
2710,tenerlo,,держать его
2712,fortunata,,удачливая/счастливая
2717,bosco,,лес/роща
2722,presenta,,представляет
2729,coloro,,те/они
2734,spese,,расходы/затраты
2737,morale,,моральный/нравственный
2739,caspita,,ого!/батеньки!
2743,occupo,,занимаю
2748,preciso,,точный/определённый
2755,babbo,,папа/батюшка
2773,originale,,оригинальный/подлинный
2778,probabile,,вероятный
2786,indovina,,угадай/угадывает
2804,americana,,американка/американская
2809,vendita,,продажа
2822,single,,одиночный/холостяк
2827,passeggiata,,прогулка
2844,charlotte,,Шарлотта
2846,tratto,,отрезок/черта/участок
2847,medicine,,лекарства/медицина
2853,opportunita,,возможность/удобный случай
2859,episode,,эпизод
2863,conseguenze,,последствия
2882,europa,,Европа
2885,attivita,,деятельность/активность
2892,permette,,позволяет
2895,lieto,,радостный/весёлый
2896,confuso,,смущённый/запутанный
2899,ripeto,,повторяю
2908,federale,,федеральный
2911,messico,,Мексика
2917,tizo,,парень/тип
2924,sufficiente,,достаточный
2930,pene,,пенис/мучение
2933,sorta,,сорт/вид
2943,vice,,заместитель/вице-
2974,segreta,,секретная/тайная
2977,miglia,,мили
2981,spalla,,плечо
2996,pochino,,немножко/чуть-чуть
2998,lacrime,,слёзы
3005,usata,,использованная/бывшая в употреблении
3007,corda,,верёвка/канат/струна
3008,benzina,,бензин
3026,lascero,,оставлю/брошу
3035,ione,,ион
3039,sociale,,социальный/общественный
3043,prendero,,возьму
3044,disgustoso,,отвратительный/омерзительный
3047,butta,,бросает/выбрасывает
3058,conviene,,стоит/целесообразно
3066,tedesco,,немец/немецкий
3070,nascita,,рождение
3078,universita,,университет
3080,illegale,,незаконный/нелегальный
3087,piacevole,,приятный
3091,chiederle,,спросить её
3095,preferita,,любимая/предпочтительная
3098,previsto,,предусмотренный/ожидаемый
3103,pubblica,,публичная/общественная
3111,labbra,,губы
3117,risorse,,ресурсы
3119,jackie,,Джеки
3137,salvo,,спасённый/кроме
3138,jesse,,Джесси
3141,online,,онлайн/в сети
3150,agio,,удобство/комфорт
3153,orgoglioso,,гордый
3161,civile,,гражданский
3176,mondiale,,мировой
3181,accada,,случится/произойдёт
3205,scientifica,,научная
3210,disponibile,,доступный/имеющийся
3217,stretto,,узкий
3218,torre,,башня
3219,pessima,,очень плохая/наихудшая
3228,porno,,порно/порнографический
3229,professionale,,профессиональный
3233,adatto,,подходящий/годный
3239,droghe,,наркотики
3240,sieda,,садится
3253,figura,,фигура/образ
3255,maledetta,,проклятая
3256,deserto,,пустыня/пустой
3258,mando,,посылаю/отправляю
3268,splendida,,великолепная
3270,intanto,,тем временем/пока
3280,ammazzo,,убиваю
3285,succeda,,случается/происходит
3287,circostanze,,обстоятельства
3289,benvenuta,,добро пожаловать
3294,crudele,,жестокий
3296,parleremo,,мы поговорим
3300,linda,,чистая/опрятная
3311,mutande,,трусы/нижнее бельё
3321,cina,,Китай
3323,mangio,,ем
3329,racconto,,рассказ
3338,datemo,,давайте нам
3342,chiara,,ясная/чёткая
3350,teste,,головы/свидетели
3356,fortunato,,удачливый/счастливый
3361,moltissimo,,очень много
3365,tornero,,вернусь
3368,smettetela,,перестаньте/хватит
3369,house,,дом
3372,urgente,,срочный/неотложный
3374,pistole,,пистолеты
3378,corretto,,правильный/исправленный
3383,chieda,,спрашивает/пусть спросит
3388,splendido,,великолепный
3394,percorso,,путь/маршрут
3395,battute,,шутки/реплики
3405,giovanotto,,молодой человек/юноша
3411,scappata,,побег/выскочила
3413,ditemo,,скажите нам
3415,federalo,,федеральный
3421,sposarmo,,жениться/выйти замуж
3423,romantico,,романтический/романтик
3433,noioso,,скучный
3434,accetto,,принимаю/соглашаюсь
3439,piantala,,перестань/хватит
3446,sciocchezze,,глупости/чепуха
3448,buffo,,смешной/забавный
3450,occupata,,занятая
3453,destro,,правый/ловкий
3455,oscuro,,тёмный/мрачный
3457,serva,,служанка/горничная
3459,mira,,цель/прицел
3462,geniale,,гениальный
3463,nervosa,,нервная
3464,zoe,,Зои
3465,fiamme,,пламя/огни
3467,montagne,,горы
3471,extra,,дополнительный/экстра
3477,assicurato,,застрахованный/уверенный
3478,precedente,,предыдущий
3479,innocento,,невинный
3480,anne,,Анна
3488,responsabilita,,ответственность
3489,preoccuparso,,беспокоиться
3504,morso,,укус
3508,nina,,Нина
3514,contea,,графство
3515,fottuta,,ёбанная/проклятая
3516,stronzata,,херня/чушь
3518,limito,,ограничиваю
3524,delizioso,,восхитительный/вкусный
3525,fottito,,выебанный/проклятый
3529,assicurarmo,,застраховаться/удостовериться
3531,africa,,Африка
3534,onesta,,честная
3538,tramite,,через/посредством
3545,visite,,визиты/посещения
3546,alza,,поднимает
3550,vuota,,пустая
3559,ebbene,,итак/ну что ж
3561,stanze,,комнаты
3564,geloso,,ревнивый
3574,fisica,,физика
3576,eccitante,,возбуждающий/волнующий
3585,commerciale,,коммерческий
3598,soggetto,,субъект/тема
3599,chissa,,кто знает/боюсь
3609,appassiona,,увлекает/волнует
3612,virginia,,Вирджиния
3614,pessimo,,очень плохой/наихудший
3618,trovero,,найду
3624,diglielo,,скажи ему/ей это
3627,minima,,минимальная
3638,patatine,,чипсы/картофель
3643,ebreo,,еврей
3644,sigarette,,сигареты
3647,adora,,обожает
3649,procedura,,процедура
3651,mentale,,умственный/психический
3663,attraente,,привлекательный
3671,ripreso,,возобновлённый/снятый
3677,raccolto,,собранный/урожай
3679,proiettilo,,пуля/снаряд
3682,vergine,,девственный/дева
3686,vacanze,,каникулы/отпуск
3688,dopotutto,,в конце концов/впрочем
3691,pura,,чистая
3693,fatelo,,сделайте это
3699,auguro,,желаю
3713,nascosta,,скрытая/спрятанная
3714,attaccho,,атака/приступ
3725,localo,,местный
3733,foste,,вы были
3736,indossa,,надевает
3738,giapponese,,японец/японский
3743,spagnolo,,испанец/испанский
3744,apposta,,нарочно/специально
3745,seguo,,слежу/следую
3748,ufficialo,,официальный
3750,istruziono,,инструкция
3752,elo,,он
3754,volentiero,,охотно/с удовольствием
3760,fresca,,свежая/прохладная
3763,comincio,,начинаю
3764,abbo,,аббат
3765,nozze,,свадьба/бракосочетание
3770,novita,,новость/новинка
3773,sospeso,,приостановленный/подвешенный
3777,riserva,,резерв/запасник
3778,coperta,,одеяло/покрывало
3782,concentrato,,концентрированный/сосредоточенный
3786,eccezionale,,исключительный/необычный
3789,sano,,здоровый
3790,identita,,идентичность/личность
3793,femminile,,женский/женственный
3800,arrivera,,прибудет
3809,anime,,души/аниме
3812,ipoteso,,гипотеза
3815,preparato,,приготовленный/подготовленный
3816,bombe,,бомбы
3817,spetta,,полагается/следует
3821,bico,,клюв
3824,singolo,,одиночный/сингл
3826,russia,,Россия
3841,bonnie,,Бонни
3843,love,,любовь
3845,velocita,,скорость
3849,intenziono,,намерение
3850,sinistro,,левый/зловещий
3860,truppe,,войска
3861,nobile,,благородный/знатный
3864,impegnata,,занятая/обязанная
3866,comporta,,влечёт за собой
3874,eleziono,,выборы
3876,bagaglo,,багаж
3880,creature,,создания/творения
3882,fresco,,свежий/прохладный
3883,tasse,,налоги/чашки
3885,attrice,,актриса
3891,militaro,,военный
3896,giappone,,Япония
3898,finestre,,окна
3905,verso,,к/в сторону/стих
3909,conosca,,знает/пусть знает
3915,inquietante,,тревожный/беспокойный
3917,tenerla,,держать её
3922,chance,,шанс
3924,dritta,,прямая/правильная
3936,andatevene,,убирайтесь/уходите
3944,cogliono,,придурок/болван
3966,sodo,,твёрдый/крепкий
3967,massima,,максимальная/максима
3969,patate,,картофель/картошки
3973,sorprende,,удивляет
3975,convinta,,убеждённая/убеждённый
3980,leslie,,Лесли
3981,questiono,,вопрос/проблема
3994,sessualo,,сексуальный
4001,lunedo,,понедельник
4005,nasconde,,прячет/скрывает
4009,perdono,,прощение/прощайте
4012,cure,,уход/лечение
4017,morirao,,умрёт
4023,semplico,,простой
4026,soco,,сумасшедший
4028,acque,,воды
4029,demono,,демон
4030,accompagno,,сопровождаю
4033,mortale,,смертельный/смертный
4038,francisco,,Франциско
4045,muoviamoco,,двигаемся
4053,carrie,,Кэрри
4055,white,,белый/Уайт
4061,villa,,вилла/загородный дом
4069,potenziale,,потенциальный/потенциал
4072,cuoro,,сердце
4073,coinvolta,,вовлечённая
4076,tienilo,,держи его
4079,premo,,нажимаю/давлю
4080,tende,,стремится/склоняется
4099,minore,,младший/меньший
4106,portatelo,,отнеси его
4109,possiede,,обладает/владеет
4114,mancata,,пропущенная/недоставленная
4122,classico,,классический
4129,pagine,,страницы
4133,segue,,следует
4135,vacco,,корова
4137,viaggo,,путешествие
4139,spiego,,объясняю
4146,taco,,тако
4148,diane,,Диана
4163,nuda,,голая
4164,puro,,чистый
4167,prostituta,,проститутка
4173,preparo,,готовлю/подготавливаю
4184,comporto,,веду себя
4194,temporale,,гроза/временный
4201,dana,,Дана
4204,ammetterlo,,признать это
4214,frigo,,холодильник
4216,distrutta,,разрушенная
4225,operaziono,,операция
4226,scuole,,школы
4232,insalata,,салат
4239,scatole,,коробки/ящики
4240,spiacente,,к сожалению/сожалею
4242,resisto,,сопротивляюсь
4244,occuparmo,,заниматься
4247,termino,,заканчиваю
4251,polmono,,лёгкое
4252,evidente,,очевидный
4253,armata,,армия/вооружённая
4259,eccome,,конечно/разумеется
4264,alicia,,Алисия
4265,speranze,,надежды
4266,storto,,кривой/искривлённый
4267,desidero,,желаю/хочу
4271,rappresenta,,представляет
4273,svegliata,,проснувшаяся/разбуженная
4278,ellie,,Элли
4279,spaventoso,,пугающий/страшный
4283,tecnica,,техника/технический
4300,notevole,,заметный/значительный
4301,coluo,,тот
4304,india,,Индия
4310,proteggerto,,защищать
4314,hanna,,Ханна
4316,interessata,,заинтересованная
4322,sopporto,,терплю/выдерживаю
4324,capisca,,понимает
4326,tenda,,палатка/занавеска
4331,tenerto,,держать
4332,cugina,,кузина/двоюродная сестра
4339,finisca,,заканчивает/пусть закончит
4342,eroo,,герой
4344,autorita,,власть/орган
4346,sederto,,сесть
4356,benedica,,благословляет
4363,spagna,,Испания
4365,fottuto,,ёбаный/проклятый
4367,little,,маленький
4368,speso,,часто/потрачено
4369,abbassa,,опускает/понижает
4374,unghie,,ногти
4375,chiamero,,позову/позвоню
4377,medica,,врач/медицинская
4403,ragionevole,,разумный/благоразумный
4404,terroristo,,террорист
4405,prodotto,,продукт/изделие
4406,altrove,,в другом месте
4407,assomiglia,,похож на
4417,michelle,,Мишель
4421,patetico,,жалкий/патетический
4423,ritorna,,возвращается
4425,elettrica,,электрическая
4435,attuale,,текущий/нынешний
4436,vestita,,одетая
4438,squadre,,команды/отряды
4450,terribilo,,ужасный
4451,bionda,,блондинка
4453,maya,,Майя
4454,moglo,,жена
4461,sesto,,шестой
4465,teneva,,держала
4469,stivalo,,сапог
4482,licenziata,,уволенная
4483,potermo,,сможем
4485,grilletto,,курок
4488,risate,,смех/хохот
4489,malattie,,болезни
4490,portero,,понесу/привратник
4491,socialo,,социальный
4494,avvicina,,приближает
4497,uccidera,,убьёт
4500,operatoria,,операционная
4502,erica,,Эрика
4503,negro,,негр/чёрный
4505,capacita,,способность/ёмкость
4507,internazionale,,международный
4511,one,,один
4515,onde,,волны/посему
4518,invitato,,приглашённый
4519,linee,,линии
4524,realo,,реальный/королевский
4527,confusa,,смущённая/запутанная
4528,sentirao,,услышит/почувствует
4541,toccarmo,,тронуть меня
4542,usate,,использованные
4543,secco,,сухой
4551,presumo,,предполагаю
4553,dea,,богиня
4554,piacera,,понравится
4556,qualita,,качество
4560,siccome,,поскольку/так как
4565,stupenda,,потрясающая
4568,getta,,бросает
4572,complesso,,комплекс/сложный
4575,balla,,танцует/пятно
4576,lieta,,радостная/весёлая
4577,altrettanto,,столько же/равным образом
4578,infelice,,несчастный/несчастливый
4579,tenermo,,держать
4580,giocatoro,,игрок
4585,usarlo,,использовать его
4590,smetta,,пусть перестанет
4595,prezioso,,драгоценный/ценный
4596,orgogliosa,,гордая
4603,pensasso,,думал бы
4605,apra,,пусть откроет/открывает
4610,vanessa,,Ванесса
4612,pubblicita,,реклама
4618,richieste,,запросы/требования
4627,comunita,,сообщество
4635,figata,,круто/офигенно
4636,vedova,,вдова
4637,taglo,,разрез/вырез
4640,straordinaria,,выдающаяся/экстраординарная
4641,sincera,,искренняя
4643,pipo,,пипо/член
4644,falsa,,ложная/фальшивая
4648,undico,,одиннадцать
4649,tipa,,девчонка/тип
4653,sedetevo,,вы садились
4655,poterto,,смочь/мочь
4658,ferito,,раненый/пострадавший
4659,sacro,,священный/святой
4660,moriremo,,мы умрём
4665,prenderco,,возьмём
4667,girato,,повёрнутый/снятый
4674,stabile,,стабильный/устойчивый
4676,separato,,отделённый/раздельный
4680,ostaggo,,заложник
4681,caramelle,,конфеты
4682,faccia,,лицо
4684,sbaglia,,ошибается
4689,trattava,,лечил/имел дело
4691,sfortuna,,невезение
4694,mobilo,,мобильный/мебель
4702,fango,,грязь/ил
4709,valigie,,чемоданы
4712,isolato,,изолированный/блок
4714,gelosa,,ревнивая
4715,parlero,,поговорю
4719,accomodo,,устраиваю/размещаю
4722,entusiasta,,восторженный/увлечённый
4726,controllate,,проверенные/контролируемые
4732,rallenta,,замедляет
4743,lane,,переулки
4747,pietre,,камни
4750,nora,,Нора
4757,riprese,,возобновил/съёмки
4767,marine,,морские/морпехи
4769,guido,,веду/управляю
4770,motoro,,мотор/двигатель
4772,streghe,,ведьмы
4774,volonta,,воля/желание
4779,preferisce,,предпочитает
4783,dale,,Дейл
4787,abilita,,способность/умение
4798,dozzina,,дюжина
4805,magnifica,,великолепная
4821,schifoso,,мерзкий/отвратительный
4827,porco,,свинья/свинский
4830,paige,,Пейдж
4835,segnalo,,сигнализирую/отмечаю
4836,ridotto,,уменьшенный/редуцированный
4839,promesse,,обещания
4843,quarta,,четвёртая
4844,lega,,лига/связка
4845,nervo,,нерв
4853,sensibile,,чувствительный
4854,familiaro,,знакомый
4857,chiacchierata,,беседа/болтовня
4871,dipendento,,зависимый/подчинённый
4873,giornalisto,,журналист
4874,invisibile,,невидимый
4879,batte,,бьёт/стучит
4881,concesso,,предоставленный/допущенный
4883,opziono,,опция/вариант
4885,rosie,,Рози
4893,risulta,,оказывается/выходит
4894,portera,,принесёт
4895,esso,,оно/это
4898,scene,,сцены
4899,indosso,,на мне/одетый
4911,lance,,копья
4913,quinto,,пятый
4918,manette,,наручники
4930,ridicola,,смешная/нелепая
4932,datto,,данный/факт
4936,preghiera,,молитва
4938,tuta,,комбинезон/костюм
4943,servirebbe,,служил бы/пригодился бы
4949,martedì,,вторник
4964,valle,,долина
5002,cazzata,,херня/глупость
5053,oso,,медведь
5085,ambasciata,,посольство
5097,pattuglia,,патруль
5110,perdente,,проигравший/неудачник
5112,complicata,,сложная/запутанная
5115,seguitemo,,следуйте за мной
5121,coordinate,,координаты
5127,giovedo,,четверг
5131,muniziono,,боеприпасы
5133,impressionante,,впечатляющий
5135,ribello,,мятежник
5137,marte,,Марс
5143,sedile,,сиденье
5147,sposarso,,жениться/выйти замуж
5149,lasciatelo,,оставьте его/пусть уйдёт
5151,solita,,обычная/привычная
5152,personaggo,,персонаж
5157,accomodato,,размещённый/устроенный
5158,legalo,,юридический/законный
5162,gita,,экскурсия/прогулка
5179,domestica,,домашняя/горничная
5183,trascorso,,прошедший/протёкший
5185,christine,,Кристин
5188,malissimo,,очень плохо
5189,robbie,,Робби
5192,cerebrale,,мозговой/церебральный
5198,situaziono,,ситуация
5202,sconvolta,,потрясённая/взволнованная
5209,seguimo,,следуем
5218,negozo,,магазин/торговля
5220,cellularo,,мобильный телефон
5222,andre,,Андреа
5228,interessanto,,интересный
5229,invitata,,приглашённая
5239,sana,,здоровая
5240,scopriremo,,мы узнаем/откроем
5241,miranda,,Миранда
5243,alzo,,поднимаю
5245,coppie,,пары
5264,mancava,,не хватало/отсутствовал
5267,chiappe,,ягодицы/бёдра
5270,stufa,,печь/камин
5271,uccidero,,убить
5272,rivolta,,восстание/бунт
5273,adatta,,подходит/подходящая
5277,felicita,,счастье
5281,fondamentale,,фундаментальный/основной
5289,sopravvissuto,,выживший
5291,guardarto,,посмотреть
5294,svelta,,быстрая/проворная
5297,boscho,,лес
5298,sorellina,,сестрёнка/младшая сестра
5300,pareccho,,довольно много/значительный
5306,gravo,,тяжёлый/серьёзный
5308,franca,,француженка/честная
5314,interrotto,,прерванный
5318,zone,,зоны/районы
5322,mura,,стены
5325,mele,,яблоки
5328,occuparso,,заниматься
5329,sere,,вечера
5333,ruote,,колёса
5338,principo,,принцип
5340,lutto,,траур/скорбь
5344,umane,,человеческие
5348,medio,,средний
5362,psicopatico,,психопат
5368,dovunque,,везде/куда бы ни
5369,leva,,поднимает/рычаг
5376,dicco,,говорю
5392,sciocca,,глупая/дура
5394,consapevole,,осознанный/сознательный
5405,mcgee,,МакГи
5407,preoccupatevo,,беспокоились
5411,incluso,,включая/включённый
5414,eterno,,вечный
5419,arriveremo,,мы прибудем
5424,insegnanto,,учитель
5426,mostrarto,,показать
5428,incidento,,инцидент/происшествие
5429,lire,,лиры
5430,ripresa,,возобновление/съёмка
5432,pulizie,,уборка/чистка
5434,interna,,внутренняя
5438,moro,,мавр/тёмный
5440,inutilo,,бесполезный
5445,senzatetto,,бездомный
5458,copie,,копии
5460,divertitevo,,развлекались
5464,positiva,,положительная
5467,radiaziono,,радиация/излучение
5469,vacca,,корова
5472,banche,,банки
5476,costoso,,дорогой/стоющий
5479,bimba,,девочка/малышка
5486,corea,,Корея
5492,dimensiono,,измерение/размер
5498,artisto,,художник/артист
5503,permettermo,,позволить мне
5504,comunicaziono,,коммуникация/связь
5505,decido,,решаю
5511,divertento,,развлечение
5519,corrotto,,коррумпированный/испорченный
5523,dee,,богини
5525,canada,,Канада
5526,noiosa,,скучная
5528,amanto,,любящий/возлюбленный
5542,finirao,,закончит
5548,fonto,,фонтан/источник
5549,bada,,обращает внимание/береги
5555,tasche,,карманы
5561,lascerao,,оставит/покинет
5565,decide,,решает
5566,legato,,связанный/привязанный
5569,romantica,,романтическая
5573,bicchiero,,стакан/бокал
5577,doloroso,,болезненный
5588,birre,,пиво/пива
5589,ginocchia,,колени
5596,legata,,связанная
5597,bottiglie,,бутылки
5598,carla,,Карла
5601,specifico,,конкретный/определённый
5603,dichiaro,,заявляю/объявляю
5609,assurda,,абсурдная/нелепая
5613,promettimo,,пообещали
5622,hope,,надежда/Хоуп
5624,deliziosa,,восхитительная/вкусная
5626,usarla,,использовать её
5627,rischioso,,рискованный
5630,matrimono,,брак/свадьба
5631,aveste,,вы имели
5635,tokyo,,Токио
5636,prossime,,следующие
5638,phoebe,,Фиби
5650,azzardo,,риск/азарт
5670,offrirto,,предложить
5675,piene,,полные
