C03 - Periodo ipotetico misto
Если бы я купил дом, сейчас жил бы там (se, avessi, comprato, casa, ora, abiterei, lì);Se avessi comprato una casa, ora abiterei lì
Если бы тот самый план был хороший, одобрили бы (se, piano, fosse, buono, l'avremmo, approvato);Se il piano fosse buono, l'avremmo approvato
Если бы та самая война закончилась, вернулись бы (se, guerra, finisse, torneremmo, casa);Se la guerra finisse, torneremmo a casa
Если бы тот самый фильм начинался раньше, успели бы (se, film, iniziasse, prima, faremmo, in tempo);Se il film iniziasse prima, faremmo in tempo
Если бы та самая еда была готова, ели бы (se, cibo, fosse, pronto, mangeremmo);Se il cibo fosse pronto, mangeremmo
Если бы тот самый ключ подошёл, открыли бы дверь (se, chiave, funzionasse, apriremmo, porta);Se la chiave funzionasse, apriremmo la porta
Если бы та самая рубашка была чистая, надел бы (se, camicia, fosse, pulita, la, metterei);Se la camicia fosse pulita, la metterei
Если бы тот самый врач сказал правду, знали бы (se, medico, dicesse, verità, sapremmo);Se il medico dicesse la verità, sapremmo
Если бы та самая страна была безопасная, поехали бы (se, paese, fosse, sicuro, ci, andremmo);Se il paese fosse sicuro, ci andremmo
Если бы тот самый экзамен был лёгкий, сдал бы (se, esame, fosse, facile, lo, passerei);Se l'esame fosse facile, lo passerei
Если бы та самая комната была тихая, спал бы (se, stanza, fosse, silenziosa, dormirei);Se la stanza fosse silenziosa, dormirei
Если бы тот самый знак был виден, повернули бы (se, cartello, fosse, visibile, gireremmo);Se il cartello fosse visibile, gireremmo
Если бы та самая статья была интересная, прочитал бы (se, articolo, fosse, interessante, lo, leggerei);Se l'articolo fosse interessante, lo leggerei
Если бы я купил дом вчера, сегодня жил бы там (se, avessi, comprato, casa, ieri, oggi, abiterei, lì);Se avessi comprato la casa ieri, oggi abiterei lì
Если бы она приехала утром, вечером работала бы (se, fosse, arrivata, mattina, sera, lavorerebbe);Se fosse arrivata la mattina, la sera lavorerebbe
Если бы мы встретили того самого друга, сейчас говорили бы (se, avessimo, incontrato, amico, ora, parleremmo);Se avessimo incontrato l'amico, ora parleremmo
Если бы та самая машина сломалась вчера, сегодня шли бы пешком (se, macchina, si fosse, rotta, ieri, oggi, andreste, a piedi);Se la macchina si fosse rotta ieri, oggi andreste a piedi
Если бы тот самый матч состоялся, сейчас обсуждали бы (se, partita, si fosse, giocata, ora, ne, parleremmo);Se la partita si fosse giocata, ora ne parleremmo
Если бы та самая война началась раньше, сейчас закончилась бы (se, guerra, fosse, iniziata, prima, ora, sarebbe, finita);Se la guerra fosse iniziata prima, ora sarebbe finita
Если бы я выпил кофе утром, сейчас не спал бы (se, avessi, bevuto, caffè, mattina, ora, non, dormirei);Se avessi bevuto il caffè la mattina, ora non dormirei
Если бы тот самый студент учился, сейчас знал бы ответ (se, studente, avesse, studiato, ora, saprebbe, risposta);Se lo studente avesse studiato, ora saprebbe la risposta
Если бы та самая книга вышла, сейчас читали бы (se, libro, fosse, uscito, ora, lo, leggeremmo);Se il libro fosse uscito, ora lo leggeremmo
Если бы они переехали в тот самый город, жили бы лучше (se, si, trasferissero, città, vivrebbero, meglio);Se si trasferissero nella città, vivrebbero meglio
Если бы тот самый проект начался, finishingали бы к пятнице (se, progetto, iniziasse, finiremmo, venerdì);Se il progetto iniziasse, finiremmo venerdì
Если бы та самая погода испортилась, остались бы дома (se, tempo, peggiorasse, resteremmo, casa);Se il tempo peggiorasse, resteremmo a casa
Если бы тот самый ребёнок пришёл, играли бы вместе (se, bambino, venisse, giocheremmo, insieme);Se il bambino venisse, giocheremmo insieme
