B19 - Infinito Passato
После покупки дома, я убрал кухню (dopo, aver, comprato, casa, pulire);Dopo aver comprato una casa, ho pulito la cucina
После того как она надела куртку, она вышла из дома (dopo, essersi, messa, giacca, uscire, casa);Dopo essersi messa la giacca, è uscita di casa
После того как дети заснули, родители сели разговаривать (dopo, essersi, addormentati, bambini, genitori, sedersi, parlare);Dopo essersi addormentati i bambini, i genitori si sono seduti a parlare
После того как я заплатил, я получил чек (dopo, aver, pagato, ricevere, ricevuta);Dopo aver pagato, ho ricevuto la ricevuta
После того как она спустилась, мы поехали на работу (dopo, essere, scesa, andare, lavoro);Dopo essere scesa, siamo andati al lavoro
После того как он поднялся, он увидел красивый вид (dopo, essere, salito, vedere, panorama, bello);Dopo essere salito, ha visto un bel panorama
После того как мы встретили друзей, мы пошли в ресторан (dopo, aver, incontrato, amici, andare, ristorante);Dopo aver incontrato gli amici, siamo andati al ristorante
После того как она решила проблему, она почувствовала облегчение (dopo, aver, risolto, problema, sentire, sollievo);Dopo aver risolto il problema, ha sentito sollievo
После того как он продал старую машину, он купил новую (dopo, aver, venduto, macchina, vecchio, comprare, nuovo);Dopo aver venduto la macchina vecchia, ne ha comprata una nuova
После того как мы выбрали подарок, мы его упаковали (dopo, aver, scelto, regalo, incartare);Dopo aver scelto il regalo, l'abbiamo incartato
После того как она объяснила правило, ученики поняли (dopo, aver, spiegato, regola, alunni, capire);Dopo aver spiegato la regola, gli alunni hanno capito
После того как он принял лекарство, он почувствовал себя лучше (dopo, aver, preso, medicina, sentirsi, meglio);Dopo aver preso la medicina, si è sentito meglio
После того как мы заказали пиццу, мы стали ждать (dopo, aver, ordinato, pizza, aspettare);Dopo aver ordinato la pizza, abbiamo aspettato
После того как она сняла обувь, она вошла в комнату (dopo, essersi, tolta, scarpe, entrare, stanza);Dopo essersi tolta le scarpe, è entrata nella stanza
После того как он включил свет, он увидел гостя (dopo, aver, acceso, luce, vedere, ospite);Dopo aver acceso la luce, ha visto l'ospite
После того как мы поставили цветы в вазу, мы накрыли стол (dopo, aver, messo, fiori, vaso, preparare, tavolo);Dopo aver messo i fiori nel vaso, abbiamo preparato il tavolo
После того как она поменяла работу, она переехала (dopo, aver, cambiato, lavoro, trasferirsi);Dopo aver cambiato lavoro, si è trasferita
После того как он построил дом, он посадил сад (dopo, aver, costruito, casa, piantare, giardino);Dopo aver costruito la casa, ha piantato un giardino
После того как мы убрали комнату, мы позвали гостей (dopo, aver, pulito, stanza, chiamare, ospiti);Dopo aver pulito la stanza, abbiamo chiamato gli ospiti
После того как она спела песню, публика аплодировала (dopo, aver, cantato, canzone, pubblico, applaudire);Dopo aver cantato la canzone, il pubblico ha applaudito
После того как он пробежал марафон, он очень устал (dopo, aver, corso, maratona, stancarsi, molto);Dopo aver corso la maratona, si è stancato molto
После того как мы выпили вино, мы стали весёлыми (dopo, aver, bevuto, vino, diventare, allegro);Dopo aver bevuto il vino, siamo diventati allegri
После того как она погладила собаку, она вымыла руки (dopo, aver, accarezzato, cane, lavare, mani);Dopo aver accarezzato il cane, ha lavato le mani
После того как он потерял ключи, он вызвал слесаря (dopo, aver, perso, chiavi, chiamare, fabbro);Dopo aver perso le chiavi, ha chiamato il fabbro
После того как мы нашли отель, мы зарегистрировались (dopo, aver, trovato, hotel, registrarsi);Dopo aver trovato l'hotel, ci siamo registrati
После того как она рассказала историю, дети заснули (dopo, aver, raccontato, storia, bambini, addormentarsi);Dopo aver raccontato la storia, i bambini si sono addormentati
После того как он позвонил врачу, он пошёл в больницу (dopo, aver, chiamato, medico, andare, ospedale);Dopo aver chiamato il medico, è andato all'ospedale
После того как мы пригласили гостей, мы приготовили ужин (dopo, aver, invitato, ospiti, cucinare, cena);Dopo aver invitato gli ospiti, abbiamo cucinato la cena
После того как она села на поезд, она позвонила маме (dopo, essere, salita, treno, chiamare, mamma);Dopo essere salita sul treno, ha chiamato la mamma
После того как он сошёл с автобуса, он пошёл в школу (dopo, essere, sceso, autobus, andare, scuola);Dopo essere sceso dall'autobus, è andato a scuola
После того как мы поняли правило, мы решили задачу (dopo, aver, capito, regola, risolvere, problema);Dopo aver capito la regola, abbiamo risolto il problema
После того как она купила билет, она вошла в кинотеатр (dopo, aver, comprato, biglietto, entrare, cinema);Dopo aver comprato il biglietto, è entrata nel cinema
После того как он позавтракал, он пошёл на работу (dopo, aver, fatto, colazione, andare, lavoro);Dopo aver fatto colazione, è andato al lavoro
После того как мы покатались на лодке, мы вернулись на берег (dopo, essere, andati, barca, tornare, spiaggia);Dopo essere andati in barca, siamo tornati sulla spiaggia
После того как она купила платье, она показала его подруге (dopo, aver, comprato, vestito, mostrare, amica);Dopo aver comprato il vestito, lo ha mostrato all'amica
После того как он прочитал газету, он выбросил её (dopo, aver, letto, giornale, buttare);Dopo aver letto il giornale, lo ha buttato
После того как мы закончили проект, мы праздновали (dopo, aver, finito, progetto, festeggiare);Dopo aver finito il progetto, abbiamo festeggiato
После того как она вернулась из поездки, она показала фотографии (dopo, essere, tornata, viaggio, mostrare, foto);Dopo essere tornata dal viaggio, ha mostrato le foto
После того как он купил хлеб, он пошёл домой (dopo, aver, comprato, pane, andare, casa);Dopo aver comprato il pane, è andato a casa
После того как мы услышали шум, мы вышли на улицу (dopo, aver, sentito, rumore, uscire, strada);Dopo aver sentito il rumore, siamo usciti in strada
После того как она нашла работу, она переехала в город (dopo, aver, trovato, lavoro, trasferirsi, città);Dopo aver trovato il lavoro, si è trasferita in città
После того как он разогрел обед, он поел (dopo, aver, riscaldato, pranzo, mangiare);Dopo aver riscaldato il pranzo, ha mangiato
После того как мы проверили документы, мы подписали контракт (dopo, aver, controllato, documenti, firmare, contratto);Dopo aver controllato i documenti, abbiamo firmato il contratto
После того как она пришла домой, она переоделась (dopo, essere, arrivata, casa, cambiarsi);Dopo essere arrivata a casa, si è cambiata
После того как он ответил на вопросы, он сдал экзамен (dopo, aver, risposto, domande, dare, esame);Dopo aver risposto alle domande, ha dato l'esame
После того как мы выпили чай, мы обсудили планы (dopo, aver, bevuto, tè, discutere, piani);Dopo aver bevuto il tè, abbiamo discusso i piani
После того как она убрала квартиру, она пошла в магазин (dopo, aver, pulito, appartamento, andare, negozio);Dopo aver pulito l'appartamento, è andata al negozio
После того как он налил воду, он включил плиту (dopo, aver, versato, acqua, accendere, fornello);Dopo aver versato l'acqua, ha acceso il fornello
После того как мы прошли через мост, мы увидели замок (dopo, essere, passati, ponte, vedere, castello);Dopo essere passati dal ponte, abbiamo visto il castello
После того как она заплатила за билет, она села в автобус (dopo, aver, pagato, biglietto, salire, autobus);Dopo aver pagato il biglietto, è salita sull'autobus
После того как он отправил сообщение, он стал ждать ответа (dopo, aver, mandato, messaggio, aspettare, risposta);Dopo aver mandato il messaggio, ha aspettato la risposta
После того как мы заказали еду, официант принёс воду (dopo, aver, ordinato, cibo, cameriere, portare, acqua);Dopo aver ordinato il cibo, il cameriere ha portato l'acqua
После того как она надела шляпу, она вышла на улицу (dopo, essersi, messa, cappello, uscire, strada);Dopo essersi messa il cappello, è uscita in strada
После того как он подарил цветы, она улыбнулась (dopo, aver, regalato, fiori, sorridere);Dopo aver regalato i fiori, ha sorriso
После того как мы вошли в церковь, мы увидели красивые картины (dopo, essere, entrati, chiesa, vedere, quadri, bello);Dopo essere entrati in chiesa, abbiamo visto dei quadri belli
После того как она спустилась в подвал, она нашла старую бутылку (dopo, essere, scesa, cantina, trovare, bottiglia, vecchio);Dopo essere scesa in cantina, ha trovato una bottiglia vecchia
После того как он попросил прощения, они помирились (dopo, aver, chiesto, scusa, fare, pace);Dopo aver chiesto scusa, hanno fatto pace
После того как мы покормили животных, мы убрали клетку (dopo, aver, dato, cibo, animali, pulire, gabbia);Dopo aver dato il cibo agli animali, abbiamo pulito la gabbia
После того как она погладила рубашку, она повесила её в шкаф (dopo, aver, stirato, camicia, appendere, armadio);Dopo aver stirato la camicia, l'ha appesa nell'armadio
После того как он полил цветы, он пошёл на кухню (dopo, aver, annaffiato, fiori, andare, cucina);Dopo aver annaffiato i fiori, è andato in cucina
После того как мы поиграли с детьми, мы уложили их спать (dopo, aver, giocato, bambini, mettere, letto);Dopo aver giocato coi bambini, li abbiamo messi a letto
После того как она купила учебник, она начала заниматься (dopo, aver, comprato, libro, iniziare, studiare);Dopo aver comprato il libro, ha iniziato a studiare
После того как он проверил масло, он завёл машину (dopo, aver, controllato, olio, accendere, macchina);Dopo aver controllato l'olio, ha acceso la macchina
После того как мы поставили чемоданы, мы подошли к стойке (dopo, aver, messo, valigie, avvicinarsi, banco);Dopo aver messo le valigie, ci siamo avvicinati al banco
После того как она выучила слова, она написала тест (dopo, aver, imparato, parole, scrivere, test);Dopo aver imparato le parole, ha scritto il test
После того как он заплатил налоги, он получил справку (dopo, aver, pagato, tasse, ricevere, documento);Dopo aver pagato le tasse, ha ricevuto il documento
После того как мы установили программу, мы перезагрузили компьютер (dopo, aver, installato, programma, riavviare, computer);Dopo aver installato il programma, abbiamo riavviato il computer
После того как она позвонила в дверь, сосед открыл (dopo, aver, suonato, campanello, vicino, aprire);Dopo aver suonato il campanello, il vicino ha aperto
После того как он взял зонт, он не боялся дождя (dopo, aver, preso, ombrello, non, temere, pioggia);Dopo aver preso l'ombrello, non ha temuto la pioggia
После того как мы выпили сок, мы пошли на прогулку (dopo, aver, bevuto, succo, andare, passeggiata);Dopo aver bevuto il succo, siamo andati a passeggiare
После того как она помыла руки, она начала готовить (dopo, essersi, lavate, mani, iniziare, cucinare);Dopo essersi lavata le mani, ha iniziato a cucinare
После того как он прочитал инструкцию, он собрал мебель (dopo, aver, letto, istruzione, montare, mobili);Dopo aver letto le istruzioni, ha montato i mobili
После того как мы забронировали номер, мы поехали в отель (dopo, aver, prenotato, stanza, andare, hotel);Dopo aver prenotato la stanza, siamo andati in hotel
После того как она накрасилась, она посмотрела в зеркало (dopo, essersi, truccata, guardare, specchio);Dopo essersi truccata, si è guardata nello specchio
После того как он построил забор, он покрасил его (dopo, aver, costruito, recinto, dipingere);Dopo aver costruito il recinto, lo ha dipinto
После того как мы послушали концерт, мы купили диск (dopo, aver, ascoltato, concerto, comprare, disco);Dopo aver ascoltato il concerto, abbiamo comprato il disco
После того как она сшила платье, она примерила его (dopo, aver, cucito, vestito, provare);Dopo aver cucito il vestito, lo ha provato
После того как он познакомился с командой, он начал тренировку (dopo, aver, conosciuto, squadra, iniziare, allenamento);Dopo aver conosciuto la squadra, ha iniziato l'allenamento
После того как мы заплатили за аренду, мы получили ключи (dopo, aver, pagato, affitto, ricevere, chiavi);Dopo aver pagato l'affitto, abbiamo ricevuto le chiavi
После того как она убрала со стола, она помыла посуду (dopo, aver, sparecchiato, tavolo, lavare, piatti);Dopo aver sparecchiato il tavolo, ha lavato i piatti
После того как он просмотрел расписание, он купил билет (dopo, aver, controllato, orario, comprare, biglietto);Dopo aver controllato l'orario, ha comprato il biglietto
После того как мы выбрали ресторан, мы пошли ужинать (dopo, aver, scelto, ristorante, andare, cena);Dopo aver scelto il ristorante, siamo andati a cena
После того как она сдала экзамен, она пошла праздновать (dopo, aver, dato, esame, andare, festeggiare);Dopo aver dato l'esame, è andata a festeggiare
После того как он загрузил багаж, он сел в такси (dopo, aver, caricato, bagaglio, salire, taxi);Dopo aver caricato il bagaglio, è salito sul taxi
После того как мы перевели текст, мы проверили перевод (dopo, aver, tradotto, testo, controllare, traduzione);Dopo aver tradotto il testo, abbiamo controllato la traduzione
