C09 - Trapassato Remoto
Когда он купил дом, стал работать (quando, ebbe, comprato, casa, lavorò);Quando ebbe comprato la casa, lavorò
Когда та самая девушка закончила учёбу, нашла работу (quando, ragazza, ebbe, finito, studi, trovò, lavoro);Quando la ragazza ebbe finito gli studi, trovò un lavoro
Когда тот самый генерал выиграл битву, вернулся героем (quando, generale, ebbe, vinto, battaglia, tornò, come, eroe);Quando il generale ebbe vinto la battaglia, tornò come eroe
Как только дождь кончился, мы пошли гулять (appena, pioggia, fu, finita, uscimmo);Appena la pioggia fu finita, uscimmo
Когда та самая машина сломалась, он пошёл пешком (quando, macchina, si, fu, rotta, andò, a piedi);Quando la macchina si fu rotta, andò a piedi
Когда тот самый ребёнок заснул, мать вышла (quando, bambino, si, fu, addormentato, madre, uscì);Quando il bambino si fu addormentato, la madre uscì
Когда я заплатил, получил квитанцию (quando, ebbi, pagato, ricevetti, ricevuta);Quando ebbi pagato, ricevetti la ricevuta
Когда они выпили вино, начали говорить (quando, ebbero, bevuto, vino, iniziarono, parlare);Quando ebbero bevuto il vino, iniziarono a parlare
Когда та самая собака убежала, тот самый мальчик заплакал (quando, cane, fu, scappato, ragazzino, pianse);Quando il cane fu scappato, il ragazzino pianse
Когда тот самый суд вынес приговор, все успокоились (quando, tribunale, ebbe, deciso, tutti, si, calmarono);Quando il tribunale ebbe deciso, tutti si calmarono
Когда мы услышали ту самую новость, удивились (quando, avemmo, sentito, notizia, ci, sorprendemmo);Quando avemmo sentito la notizia, ci sorprendemmo
Когда та самая погода улучшилась, пошли на море (quando, tempo, fu, migliorato, andarono, mare);Quando il tempo fu migliorato, andarono al mare
Когда тот самый поезд ушёл, мы пошли в кафе (quando, treno, fu, partito, andammo, bar);Quando il treno fu partito, andammo al bar
Когда я исправил ошибку, отправил документ (quando, ebbi, corretto, errore, spedii, documento);Quando ebbi corretto l'errore, spedii il documento
Когда та самая семья пообедала, убрала кухню (quando, famiglia, ebbe, pranzato, pulì, cucina);Quando la famiglia ebbe pranzato, pulì la cucina
Когда тот самый концерт закончился, зрители вышли (quando, concerto, fu, finito, pubblico, uscì);Quando il concerto fu finito, il pubblico uscì
Когда она помыла посуду, села отдыхать (quando, ebbe, lavato, piatti, si, sedette, riposare);Quando ebbe lavato i piatti, si sedette a riposare
Когда тот самый фильм закончился, мы обсудили (quando, film, fu, finito, lo, discutemmo);Quando il film fu finito, lo discutemmo
Когда та самая книга была переведена, стала популярной (quando, libro, fu, stato, tradotto, divenne, popolare);Quando il libro fu stato tradotto, divenne popolare
Когда тот самый мост был построен, открыли дорогу (quando, ponte, fu, stato, costruito, aprirono, strada);Quando il ponte fu stato costruito, aprirono la strada
Когда мы нашли тот самый адрес, пошли туда (quando, avemmo, trovato, indirizzo, ci, andammo);Quando avemmo trovato l'indirizzo, ci andammo
Когда та самая война началась, многие уехали (quando, guerra, fu, iniziata, molti, partirono);Quando la guerra fu iniziata, molti partirono
Когда тот самый матч закончился, фанаты праздновали (quando, partita, fu, finita, tifosi, festeggiarono);Quando la partita fu finita, i tifosi festeggiarono
Когда я встал, уже было поздно (quando, mi, fui, alzato, era già, tardi);Quando mi fui alzato, era già tardi
Когда та самая страна обрела независимость, праздновала (quando, paese, fu, diventato, indipendente, festeggiò);Quando il paese fu diventato indipendente, festeggiò
Когда тот самый брат уехал, она заплакала (quando, fratello, fu, partito, lei, pianse);Quando il fratello fu partito, lei pianse
Когда та самая дверь была открыта, вошёл тот самый друг (quando, porta, fu, aperta, entrò, amico);Quando la porta fu aperta, entrò l'amico
Когда тот самый министр выступил, журналисты задали вопросы (quando, ministro, ebbe, parlato, giornalisti, fecero, domande);Quando il ministro ebbe parlato, i giornalisti fecero domande
Когда та самая еда была готова, все сели (quando, cibo, fu, pronto, tutti, si, sedettero);Quando il cibo fu pronto, tutti si sedettero
Когда тот самый поезд прибыл, пассажиры вышли (quando, treno, fu, arrivato, passeggeri, scesero);Quando il treno fu arrivato, i passeggeri scesero
Когда та самая школа открылась, студенты пришли (quando, scuola, fu, aperta, studenti, vennero);Quando la scuola fu aperta, gli studenti vennero
Когда тот самый год закончился, все праздновали (quando, anno, fu, finito, tutti, festeggiarono);Quando l'anno fu finito, tutti festeggiarono
Когда та самая квартира была убрана, мы позвали гостей (quando, appartamento, fu, pulito, chiamammo, ospiti);Quando l'appartamento fu pulito, chiamammo gli ospiti
Когда тот самый план был утверждён, начали работать (quando, piano, fu, approvato, iniziammo, lavorare);Quando il piano fu approvato, iniziammo a lavorare
